token,observations,worlds,world_names,dominant_role,dominant_family,role_entropy,neighbor_count,incoming_count,outgoing_count,top_previous,top_next,avg_rekopplung,avg_carry,avg_strain,avg_sensory,avg_tension,avg_coherence,avg_raw_field,avg_adapted_field,avg_loudness,avg_visual_blur,center_share,recoupling_share,open_share,rand_share,condensation_zone
dio_mcm_episode_0q7skyc,5,3,"IND_BTC_1H,IND_SOL_1H,IND_SOL_5M",offene_variante,dio_1cut,-0.0,9,5,5,dio_mcm_episode_0kvu3mb,dio_mcm_episode_0rbnu89,0.62258,0.407526,0.232436,0.767373,0.228147,0.561856,0.228147,0.187983,0.408362,0.45489,0.0,0.0,1.0,0.0,driftzone
dio_mcm_episode_0r1o8ja,5,3,"IND_BTC_5M,IND_SOL_1H,IND_SOL_5M",offene_variante,dio_11q8,-0.0,9,5,5,dio_mcm_episode_0feihom,dio_mcm_episode_0n5sqpn,0.627675,0.411843,0.218323,0.77,0.155909,0.528501,0.155909,0.128976,0.249383,0.534826,0.0,0.0,1.0,0.0,driftzone
dio_mcm_episode_0t1ymth,3,1,IND_BTC_5M,offene_variante,dio_1oo7,0.918296,2,1,1,dio_mcm_episode_1ffzhaj,dio_mcm_episode_0db07p4,0.633501,0.417076,0.204419,0.76967,0.112072,0.46371,0.112072,0.094281,0.151821,0.553759,0.333333,0.0,0.666667,0.0,driftzone
dio_mcm_episode_0vq085e,3,1,IND_BTC_1H,zentrum_stabil,dio_0lsd,0.918296,2,1,1,dio_mcm_episode_0ppr02l,dio_mcm_episode_085wm7v,0.64482,0.422647,0.195499,0.813778,0.143953,0.558925,0.143953,0.122885,0.241912,0.42551,0.666667,0.0,0.333333,0.0,driftzone
dio_mcm_episode_0yx4mnl,3,1,IND_SOL_1H,offene_variante,dio_1b3m,0.918296,2,1,1,dio_mcm_episode_0qzjuvj,dio_mcm_episode_0ndgwx3,0.660803,0.44575,0.170979,0.815912,0.103178,0.443841,0.103178,0.08716,0.142583,0.503876,0.333333,0.0,0.666667,0.0,driftzone
dio_mcm_episode_180stw7,3,3,"IND_BTC_1H,IND_BTC_5M,IND_SOL_5M",zentrum_stabil,dio_1yhs,-0.0,5,3,3,dio_mcm_episode_0kluhxc,dio_mcm_episode_17qt878,0.675383,0.474855,0.173207,0.856034,0.20841,0.795947,0.20841,0.177555,0.380198,0.253123,1.0,0.0,0.0,0.0,driftzone
dio_mcm_episode_19g1diz,3,3,"IND_BTC_1H,IND_BTC_5M,IND_SOL_5M",zentrum_stabil,dio_0ilg,-0.0,6,3,3,dio_mcm_episode_0ifxej6,dio_mcm_episode_0v93uai,0.672821,0.451059,0.155661,0.870298,0.077636,0.63519,0.077636,0.068599,0.106637,0.265898,1.0,0.0,0.0,0.0,driftzone
dio_mcm_episode_00i7zy5,2,2,"IND_BTC_5M,IND_SOL_1H",offene_variante,dio_0m9z,1.0,3,2,2,dio_mcm_episode_0lg3agd,dio_mcm_episode_0393v08,0.654146,0.432647,0.179338,0.833742,0.118559,0.579163,0.118559,0.101586,0.194425,0.434021,0.5,0.0,0.5,0.0,driftzone
dio_mcm_episode_0i2iiq6,2,1,IND_SOL_5M,offene_variante,dio_1v2w,1.0,2,1,1,dio_mcm_episode_1kvosdw,dio_mcm_episode_1x5cw2v,0.662516,0.456172,0.166573,0.80008,0.079136,0.479112,0.079136,0.067748,0.093987,0.522051,0.5,0.0,0.5,0.0,driftzone
dio_mcm_episode_0mvjoir,2,1,IND_BTC_1H,offene_variante,dio_0sz4,1.0,2,1,1,dio_mcm_episode_1871pif,dio_mcm_episode_0l3i7ey,0.666371,0.470564,0.183051,0.827765,0.20154,0.75089,0.20154,0.171948,0.359785,0.30293,0.5,0.0,0.5,0.0,driftzone
dio_mcm_episode_0ndgwx3,2,1,IND_SOL_1H,offene_variante,dio_1v2w,1.0,2,1,1,dio_mcm_episode_0yx4mnl,dio_mcm_episode_0mji3u6,0.685561,0.515488,0.165121,0.789062,0.09216,0.460552,0.09216,0.078785,0.120477,0.516209,0.5,0.0,0.5,0.0,driftzone
dio_mcm_episode_0om13wf,2,2,"IND_BTC_5M,IND_SOL_5M",zentrum_stabil,dio_1oc2,-0.0,4,2,2,dio_mcm_episode_1iq1hgz,dio_mcm_episode_0y1i8dq,0.667497,0.45467,0.172528,0.849551,0.160381,0.662846,0.160381,0.137652,0.286459,0.376649,1.0,0.0,0.0,0.0,driftzone
dio_mcm_episode_102i30n,2,1,IND_SOL_5M,offene_variante,dio_1772,1.0,2,1,1,dio_mcm_episode_1k0rrn2,dio_mcm_episode_1ovglru,0.647477,0.429164,0.187175,0.813318,0.111041,0.579842,0.111041,0.095482,0.187402,0.369021,0.5,0.0,0.5,0.0,driftzone
dio_mcm_episode_1bcj8qx,2,2,"IND_BTC_1H,IND_BTC_5M",offene_variante,dio_0ioc,1.0,3,2,2,dio_mcm_episode_080f74u,dio_mcm_episode_0z748ck,0.658251,0.460394,0.199736,0.825338,0.211064,0.72524,0.211064,0.180623,0.383413,0.262817,0.5,0.0,0.5,0.0,driftzone
dio_mcm_episode_1ffzhaj,2,1,IND_BTC_5M,spannungsrand_kippnaehe,dio_1x3j,1.0,2,1,1,dio_mcm_episode_1y2gc2i,dio_mcm_episode_0t1ymth,0.62085,0.396296,0.240795,0.807589,0.305668,0.653256,0.305668,0.251158,0.546272,0.288788,0.5,0.0,0.0,0.5,driftzone
dio_mcm_episode_1iq1hgz,2,2,"IND_BTC_1H,IND_SOL_5M",offene_variante,dio_05il,-0.0,4,2,2,dio_mcm_episode_0rbnu89,dio_mcm_episode_0om13wf,0.606837,0.398119,0.240951,0.698859,0.130801,0.379248,0.130801,0.108727,0.177498,0.622496,0.0,0.0,1.0,0.0,driftzone
dio_mcm_episode_1t42af6,2,1,IND_BTC_5M,zentrum_stabil,dio_1pij,1.0,2,2,2,dio_mcm_episode_1joiyc3,dio_mcm_episode_1joiyc3,0.655863,0.437921,0.193663,0.828666,0.2435,0.464072,0.2435,0.202426,0.417766,0.354759,0.5,0.0,0.5,0.0,driftzone
dio_mcm_episode_1xp8o2t,2,1,IND_SOL_5M,zentrum_stabil,dio_1l99,1.0,3,2,2,dio_mcm_episode_0jbl5pq,dio_mcm_episode_1ehj34s,0.636671,0.412284,0.205108,0.796262,0.171216,0.423706,0.171216,0.140617,0.271483,0.539439,0.5,0.0,0.5,0.0,driftzone
dio_mcm_episode_1joiyc3,424,2,"IND_BTC_5M,IND_SOL_5M",zentrum_stabil,dio_104t,0.812821,4,6,6,dio_mcm_episode_0db07p4,dio_mcm_episode_0db07p4,0.681353,0.485103,0.162416,0.839552,0.122754,0.599842,0.122754,0.104728,0.203867,0.360783,0.775943,0.0,0.216981,0.007075,hoeherer_cluster_uebergang
dio_mcm_episode_0mji3u6,123,3,"IND_BTC_1H,IND_SOL_1H,IND_SOL_5M",zentrum_stabil,dio_155c,0.993698,6,11,11,dio_mcm_episode_0e7qvj1,dio_mcm_episode_0e7qvj1,0.682598,0.49464,0.165543,0.825671,0.123306,0.559488,0.123306,0.104078,0.198841,0.399841,0.682927,0.0,0.300813,0.01626,hoeherer_cluster_uebergang
dio_mcm_episode_0jbl5pq,28,4,"IND_BTC_1H,IND_BTC_5M,IND_SOL_1H,IND_SOL_5M",zentrum_stabil,dio_0m9z,0.966619,6,13,13,dio_mcm_episode_0lne9ax,dio_mcm_episode_0qzjuvj,0.690286,0.50476,0.164818,0.837178,0.121449,0.612878,0.121449,0.103635,0.19933,0.372212,0.607143,0.0,0.392857,0.0,hoeherer_cluster_uebergang
dio_mcm_episode_0aztxel,11,3,"IND_BTC_1H,IND_BTC_5M,IND_SOL_5M",zentrum_stabil,dio_155c,0.845351,7,6,6,dio_mcm_episode_0l3i7ey,dio_mcm_episode_0jbl5pq,0.687254,0.50888,0.170724,0.827822,0.149206,0.623245,0.149206,0.127318,0.259016,0.350876,0.727273,0.0,0.272727,0.0,hoeherer_cluster_uebergang
dio_mcm_episode_0hjnwsk,8,4,"IND_BTC_1H,IND_BTC_5M,IND_SOL_1H,IND_SOL_5M",zentrum_stabil,dio_00m4,0.811278,4,4,4,dio_mcm_episode_0aztxel,dio_mcm_episode_0qzjuvj,0.706278,0.52699,0.138807,0.854424,0.084895,0.61108,0.084895,0.073263,0.133841,0.327894,0.75,0.0,0.25,0.0,hoeherer_cluster_uebergang
dio_mcm_episode_0l3i7ey,8,4,"IND_BTC_1H,IND_BTC_5M,IND_SOL_1H,IND_SOL_5M",zentrum_stabil,dio_104t,0.811278,7,6,6,dio_mcm_episode_0n5sqpn,dio_mcm_episode_0aztxel,0.698736,0.525524,0.155218,0.838622,0.103843,0.599607,0.103843,0.090583,0.168307,0.359187,0.75,0.0,0.25,0.0,hoeherer_cluster_uebergang
dio_mcm_episode_07llqq8,7,2,"IND_BTC_1H,IND_SOL_1H",zentrum_stabil,dio_03ia,1.378783,5,3,3,dio_mcm_episode_0ne8zu9,dio_mcm_episode_01yulb6,0.64568,0.440868,0.208697,0.799122,0.196954,0.554062,0.196954,0.160539,0.342765,0.382553,0.571429,0.0,0.142857,0.285714,hoeherer_cluster_uebergang
dio_mcm_episode_0y1i8dq,7,3,"IND_BTC_1H,IND_SOL_1H,IND_SOL_5M",zentrum_stabil,dio_1oc2,0.863121,9,5,5,dio_mcm_episode_0om13wf,dio_mcm_episode_0ultars,0.666324,0.460141,0.171681,0.82759,0.134222,0.598249,0.134222,0.115292,0.222881,0.370682,0.714286,0.0,0.285714,0.0,hoeherer_cluster_uebergang
dio_mcm_episode_0ultars,6,2,"IND_BTC_1H,IND_SOL_1H",offene_variante,dio_0jy4,0.918296,5,4,4,dio_mcm_episode_0y1i8dq,dio_mcm_episode_0ne8zu9,0.651596,0.446201,0.189751,0.789299,0.116465,0.499702,0.116465,0.098022,0.166268,0.470907,0.333333,0.0,0.666667,0.0,hoeherer_cluster_uebergang
dio_mcm_episode_0v93uai,6,3,"IND_BTC_5M,IND_SOL_1H,IND_SOL_5M",zentrum_stabil,dio_0i80,0.918296,7,5,5,dio_mcm_episode_19g1diz,dio_mcm_episode_0jbl5pq,0.657989,0.439944,0.182388,0.841708,0.150254,0.660483,0.150254,0.127545,0.26027,0.354372,0.666667,0.0,0.333333,0.0,hoeherer_cluster_uebergang
dio_mcm_episode_1rkfb77,6,2,"IND_BTC_1H,IND_SOL_1H",offene_variante,dio_05u1,1.0,4,3,3,dio_mcm_episode_01yulb6,dio_mcm_episode_1u741ze,0.656938,0.452433,0.184982,0.802018,0.143173,0.509485,0.143173,0.121339,0.227056,0.47907,0.5,0.0,0.5,0.0,hoeherer_cluster_uebergang
