world,path,frames,avg_visual_form_salience,avg_auditory_stimulation,avg_direct_contact_pressure,avg_raw_field_intake_pressure,avg_adapted_field_intake_pressure,avg_adaptation_potential,field_intake_reduction,field_intake_reduction_ratio,avg_mcm_coherence,avg_mcm_tension,avg_mcm_asymmetry,max_tension_field_intake_delta,corr_auditory_tension,corr_visual_asymmetry,corr_visual_coherence,corr_auditory_coherence,direct_contact_active_ratio
SOL_2024_5M,data\kontrolliert_sol_2024_5m_test1_2000_SOLUSDT.csv,2000,0.29978358029668284,0.21396395329220394,0.0,0.1277124837397069,0.10869293988252332,0.1357623669067202,0.019019543857183574,0.14892470414989067,0.6075390637429716,0.10869293988252332,-0.003249232560991437,0.0,0.9953627572837938,0.056718771692162426,-0.4860056360894123,-0.1984032847731076,0.0
BTC_2024_5M,data\kontrolliert_btc_2024_5m_test1_2000_BTCUSDT.csv,2000,0.2824166958996005,0.20764632297256105,0.0,0.12414920929122457,0.10582698368966893,0.13358062377156937,0.018322225601555636,0.14758229799576125,0.6076674187654445,0.10582698368966893,0.003992715105848863,0.0,0.9950290614679842,0.052903757653438147,-0.5235246695818098,-0.25895333303415863,0.0
KAS_2024_5M,data\kontrolliert_kas_2024_5m_test1_2000_KASUSDT.csv,2000,0.29322459486319313,0.21385150473942088,0.0,0.12761831076480906,0.1086744255967825,0.1350510591913204,0.01894388516802656,0.14844174832355142,0.6085812791422628,0.1086744255967825,0.0007871347138285783,0.0,0.9954113839610208,0.09960402885493579,-0.46116695859021234,-0.19231960155098204,0.0
PAXG_2024_5M,data\kontrolliert_paxg_2024_5m_test1_2000_PAXGUSDT.csv,2000,0.26530630953419293,0.19235398924782957,0.0,0.11842078056392298,0.10096625221646034,0.13049753779108061,0.01745452834746264,0.14739413356628542,0.6024863862761282,0.10096625221646034,-0.0004853999444682024,0.0,0.9948736746127848,0.006830991915837391,-0.4737991288882911,-0.3315708421329386,0.0
