token,path_class,movement,base_zone,follow_zone,base_role,follow_role,base_worlds,follow_worlds,base_observations,follow_observations,contacts,worlds,dominant_prev,dominant_prev_count,dominant_next,dominant_next_count,current_role_profile,neighbor_role_profile,self_prev_share,self_next_share,neighbor_coverage,countercore_class
dio_mcm_episode_00yl137,junge_oberflaeche,stabil,junge_spur,junge_spur,spannungsrand_kippnaehe,zentrum_stabil,1,1,1,1,,,,,,,,,,,0,junge_oberflaeche_ohne_nachbarschaftsabdeckung
dio_mcm_episode_02ujuqf,junge_oberflaeche,verjuengung_oberflaeche,hoeherer_cluster_uebergang,junge_spur,zentrum_stabil,zentrum_stabil,2,1,6,1,,,,,,,,,,,0,junge_oberflaeche_ohne_nachbarschaftsabdeckung
dio_mcm_episode_08ubq99,junge_oberflaeche,stabil,junge_spur,junge_spur,zentrum_stabil,zentrum_stabil,1,1,1,1,,,,,,,,,,,0,junge_oberflaeche_ohne_nachbarschaftsabdeckung
dio_mcm_episode_0ag2osp,junge_oberflaeche,verjuengung_oberflaeche,driftzone,junge_spur,zentrum_stabil,offene_variante,2,1,4,1,,,,,,,,,,,0,junge_oberflaeche_ohne_nachbarschaftsabdeckung
dio_mcm_episode_0i5xsu7,junge_oberflaeche,stabil,junge_spur,junge_spur,offene_variante,offene_variante,1,1,1,1,,,,,,,,,,,0,junge_oberflaeche_ohne_nachbarschaftsabdeckung
dio_mcm_episode_0iiok1d,junge_oberflaeche,stabil,junge_spur,junge_spur,zentrum_stabil,offene_variante,1,1,1,1,,,,,,,,,,,0,junge_oberflaeche_ohne_nachbarschaftsabdeckung
dio_mcm_episode_0ml8r41,junge_oberflaeche,verjuengung_oberflaeche,driftzone,junge_spur,offene_variante,offene_variante,1,1,2,1,,,,,,,,,,,0,junge_oberflaeche_ohne_nachbarschaftsabdeckung
dio_mcm_episode_0mvt50o,junge_oberflaeche,verjuengung_oberflaeche,driftzone,junge_spur,offene_variante,offene_variante,2,1,2,1,,,,,,,,,,,0,junge_oberflaeche_ohne_nachbarschaftsabdeckung
dio_mcm_episode_0oc1i7g,junge_oberflaeche,stabil,junge_spur,junge_spur,zentrum_stabil,zentrum_stabil,1,1,1,1,,,,,,,,,,,0,junge_oberflaeche_ohne_nachbarschaftsabdeckung
dio_mcm_episode_0q7j4gf,junge_oberflaeche,stabil,junge_spur,junge_spur,zentrum_stabil,offene_variante,1,1,1,1,,,,,,,,,,,0,junge_oberflaeche_ohne_nachbarschaftsabdeckung
