after_hits;avg_afterimage;avg_carry;avg_hearing_gap;avg_hearing_stimulation;avg_rekopplung;avg_strain;avg_trust;avg_visual_gap;before_hits;bridge_role;dominant_class;dominant_inner_state;family;family_ticks_total;fieldtime_embedding;group_count;groups;neighbor_hits;selected_neighbors;stable_bridge_count;stable_share;target_avg_strain;target_avg_trust;target_dominant_class;target_embedding;target_family;target_ticks;total_neighbor_hits;type;unique_mcm_episodes;unrest_neighbor_count;unrest_share
;;;;;;;;;;;;;;;;;;;12;7;;0.18000617647058825;0.7464104588235294;tragend_unruhig;0.7162801629411765;dio_0jkk;85;170;target_summary;;2;
7;0.3581445360169491;0.5651415105932204;0.12214566101694915;0.2425704406779661;0.7167494661016949;0.15545060381355932;0.823943186440678;0.1326361504237288;6;stabile_bruecke;stabil;inner_effect_stable;dio_155c;472;0.7792101186440679;1;adapted_state_negative_stress_2024_5m_10k:13;13;;;0.9851694915254238;;;;;;;;neighbor_summary;2;;0.014830508474576272
3;0.4636764590846047;0.5764761775312066;0.06593228571428571;0.1438916241331484;0.7233269181692094;0.1493229916782247;0.8538042829403606;0.20662794868238557;5;stabile_bruecke;stabil;inner_effect_stable;dio_104t;721;0.8049227338418863;1;adapted_state_negative_stress_2024_5m_10k:8;8;;;0.9930651872399445;;;;;;;;neighbor_summary;1;;0.006934812760055479
5;0.22259015517241382;0.5400927931034483;0.17487433333333333;0.34322313218390804;0.7012420862068965;0.1692526896551724;0.7819027988505747;0.10739877011494253;3;stabile_bruecke;stabil;inner_effect_stable;dio_0oc3;174;0.7422879551724137;1;adapted_state_negative_stress_2024_5m_10k:8;8;;;0.9367816091954023;;;;;;;;neighbor_summary;1;;0.06321839080459771
5;0.3425299702970297;0.5592853465346534;0.12072336881188118;0.23679319801980198;0.7095410866336634;0.16437636138613862;0.818775301980198;0.21011618811881186;2;stabile_bruecke;stabil;inner_effect_stable;dio_0m9z;404;0.7727062722772277;1;adapted_state_negative_stress_2024_5m_10k:7;7;;;0.7277227722772277;;;;;;;;neighbor_summary;1;;0.2722772277227723
2;0.19959931896551725;0.5453511896551724;0.054946249999999995;0.13851240517241378;0.7008813706896552;0.16248149137931034;0.7665607586206896;0.34142930172413793;4;randnahe_unruhe;tragend_unruhig;inner_effect_carried_unrest;dio_00ja;116;0.7352289655172415;1;adapted_state_negative_stress_2024_5m_10k:6;6;;;0.22413793103448276;;;;;;;;neighbor_summary;1;;0.7758620689655172
4;0.1586651162790698;0.547685488372093;0.05615952325581395;0.13928229069767442;0.7085805465116279;0.14871912790697675;0.7492514069767442;0.24961408139534882;1;stabile_bruecke;stabil;inner_effect_stable;dio_1gp2;86;0.7276138825581395;1;adapted_state_negative_stress_2024_5m_10k:5;5;;;0.8604651162790697;;;;;;;;neighbor_summary;1;;0.13953488372093023
2;0.31467392580645165;0.5727103161290322;0.0700468129032258;0.15053632903225808;0.7265733967741935;0.13833080645161291;0.8108120161290322;0.14474467096774193;2;stabile_bruecke;stabil;inner_effect_stable;dio_0h9h;310;0.7736626996774194;1;adapted_state_negative_stress_2024_5m_10k:4;4;;;1.0;;;;;;;;neighbor_summary;1;;0.0
2;0.21107151677852348;0.5648890268456376;0.06826302013422818;0.14699914093959732;0.7239817315436241;0.13518365771812083;0.775368033557047;0.14504358389261746;2;stabile_bruecke;stabil;inner_effect_stable;dio_00ly;149;0.7483436812080537;1;adapted_state_negative_stress_2024_5m_10k:4;4;;;1.0;;;;;;;;neighbor_summary;1;;0.0
3;0.12580373170731707;0.5304807073170732;0.1205149024390244;0.23939168292682927;0.6952684390243902;0.16432824390243903;0.7099150487804878;0.2411558536585366;1;unbestimmt;tragend_unruhig;inner_effect_carried_unrest;dio_0pxr;41;0.6985586512195122;1;adapted_state_negative_stress_2024_5m_10k:4;4;;;0.36585365853658536;;;;;;;;neighbor_summary;1;;0.6341463414634146
0;0.048319;0.5285451578947369;0.04594821052631579;0.11916068421052632;0.7115167894736842;0.1304271052631579;0.6530193157894737;0.15822152631578948;3;stabiler_nachbar;stabil;inner_effect_stable;dio_0h6t;19;0.6800840763157896;1;adapted_state_negative_stress_2024_5m_10k:3;3;;;1.0;;;;;;;;neighbor_summary;1;;0.0
2;0.08851682857142856;0.5132620285714286;0.1854939714285714;0.3456205428571429;0.6809606571428571;0.18284254285714285;0.6997798285714286;0.2419704;1;randnahe_unruhe;tragend_unruhig;inner_effect_carried_unrest;dio_0u1o;35;0.6898453742857142;1;adapted_state_negative_stress_2024_5m_10k:3;3;;;0.08571428571428572;;;;;;;;neighbor_summary;1;;0.9142857142857143
1;0.07425835;0.51402575;0.061821749999999995;0.15231105;0.68840335;0.160715;0.654442;0.32162155000000003;2;unbestimmt;tragend_unruhig;inner_effect_carried_unrest;dio_1198;20;0.6633226725;1;adapted_state_negative_stress_2024_5m_10k:3;3;;;0.45;;;;;;;;neighbor_summary;1;;0.55
