pair,count,worlds,dominant_world,dominant_role_shift,pressure_delta,sharpness_delta,focus_delta,rekopplung_delta,loudness_delta
dio_mcm_episode_0e7qvj1->dio_mcm_episode_1hdpu9s,22,4,SOL2025_1H_2K_1h (9/22),zentrum_stabil->zentrum_stabil (19/22),-0.025126,0.106149,-0.016401,0.015887,-0.068608
dio_mcm_episode_1hdpu9s->dio_mcm_episode_0e7qvj1,21,4,SOL2025_1H_2K_1h (9/21),zentrum_stabil->offene_variante (11/21),0.043475,-0.115442,0.023815,-0.034820,0.103628
dio_mcm_episode_0z748ck->dio_mcm_episode_0e7qvj1,15,4,SOL2025_5M_2K_5m (5/15),zentrum_stabil->zentrum_stabil (8/15),0.025639,0.095916,0.021227,-0.019443,0.093388
dio_mcm_episode_0qzjuvj->dio_mcm_episode_0z748ck,13,4,BTC2025_1H_2K_1h (4/13),zentrum_stabil->zentrum_stabil (9/13),-0.005660,0.050510,-0.007661,0.003098,-0.023023
dio_mcm_episode_1ahj81f->dio_mcm_episode_1jx2k4i,12,2,SOL2025_1H_2K_1h (9/12),zentrum_stabil->zentrum_stabil (11/12),-0.014817,-0.147025,-0.022784,0.004567,-0.082444
dio_mcm_episode_0jbl5pq->dio_mcm_episode_0qzjuvj,11,4,SOL2025_1H_2K_1h (4/11),zentrum_stabil->zentrum_stabil (5/11),0.016896,0.081221,0.009335,0.000497,0.083637
dio_mcm_episode_1jx2k4i->dio_mcm_episode_1ahj81f,11,2,SOL2025_1H_2K_1h (9/11),zentrum_stabil->zentrum_stabil (8/11),0.023436,0.083360,0.024277,-0.010429,0.103726
dio_mcm_episode_0mji3u6->dio_mcm_episode_0e7qvj1,10,3,SOL2025_1H_2K_1h (5/10),zentrum_stabil->zentrum_stabil (8/10),-0.015532,0.037989,-0.007749,0.008230,-0.041930
dio_mcm_episode_1hdpu9s->dio_mcm_episode_1q3us3f,10,2,BTC2025_1H_2K_1h (7/10),zentrum_stabil->zentrum_stabil (10/10),-0.015915,-0.007631,-0.013480,0.007755,-0.058438
dio_mcm_episode_1q3us3f->dio_mcm_episode_1hdpu9s,10,2,BTC2025_1H_2K_1h (7/10),zentrum_stabil->zentrum_stabil (6/10),0.025748,-0.135015,0.029813,-0.017642,0.053041
