source,target,direction_type,outside_token,outside_path_class,outside_zone,outside_role,relation,edge_kind,count,worlds,duration_avg,exit_phase,exit_rekopplung_delta_avg,exit_strain_delta_avg
dio_mcm_episode_1jx2k4i,dio_mcm_episode_1joiyc3,aussen_zu_kern,dio_mcm_episode_1jx2k4i,stabile_insel,stabile_bedeutungsinsel,zentrum_stabil,eintritt,aussen_zu_bruecke,17,5,203.117647,gemischter_austritt,-0.034954,-0.019077
dio_mcm_episode_1joiyc3,dio_mcm_episode_1jx2k4i,kern_zu_aussen,dio_mcm_episode_1jx2k4i,stabile_insel,stabile_bedeutungsinsel,zentrum_stabil,austritt,bruecke_zu_aussen,16,5,58.875,rekoppelnder_austritt,0.015843,-0.022255
dio_mcm_episode_0db07p4,dio_mcm_episode_1joiyc3,kern_intern,-,-,-,-,austritt,bruecke_zu_bruecke,11,5,19.727273,rekoppelnder_austritt,0.037903,-0.045612
dio_mcm_episode_0db07p4,dio_mcm_episode_1joiyc3,kern_intern,-,-,-,-,eintritt,bruecke_zu_bruecke,11,5,190.0,oeffnend_belastender_austritt,-0.059079,0.073915
dio_mcm_episode_1joiyc3,dio_mcm_episode_0db07p4,kern_intern,-,-,-,-,eintritt,bruecke_zu_bruecke,6,4,1.666667,rekoppelnder_austritt,0.049849,-0.065693
dio_mcm_episode_1joiyc3,dio_mcm_episode_0db07p4,kern_intern,-,-,-,-,austritt,bruecke_zu_bruecke,6,4,5.666667,oeffnend_belastender_austritt,-0.030455,0.050285
dio_mcm_episode_1i1sl4l,dio_mcm_episode_0db07p4,aussen_zu_kern,dio_mcm_episode_1i1sl4l,unbekannt,unbekannt,unbekannt,eintritt,aussen_zu_bruecke,4,2,24.25,rekoppelnder_austritt,0.018555,-0.02229
dio_mcm_episode_0db07p4,dio_mcm_episode_1i1sl4l,kern_zu_aussen,dio_mcm_episode_1i1sl4l,unbekannt,unbekannt,unbekannt,austritt,bruecke_zu_aussen,2,2,3.5,rekoppelnder_austritt,0.029326,-0.039012
dio_mcm_episode_0t1ymth,dio_mcm_episode_0db07p4,aussen_zu_kern,dio_mcm_episode_0t1ymth,rekoppelnder_pfad,stabile_bedeutungsinsel,zentrum_stabil,eintritt,aussen_zu_bruecke,1,1,36.0,rekoppelnder_austritt,0.042089,-0.0418
dio_mcm_episode_04s5k7g,dio_mcm_episode_0db07p4,aussen_zu_kern,dio_mcm_episode_04s5k7g,unbekannt,unbekannt,unbekannt,eintritt,aussen_zu_bruecke,1,1,38.0,oeffnend_belastender_austritt,-0.040883,0.06131
dio_mcm_episode_0mqw5s3,dio_mcm_episode_0db07p4,aussen_zu_kern,dio_mcm_episode_0mqw5s3,unbekannt,unbekannt,unbekannt,eintritt,aussen_zu_bruecke,1,1,60.0,rekoppelnder_austritt,0.033963,-0.035924
dio_mcm_episode_0nuo9k1,dio_mcm_episode_0db07p4,aussen_zu_kern,dio_mcm_episode_0nuo9k1,unbekannt,unbekannt,unbekannt,eintritt,aussen_zu_bruecke,1,1,21.0,rekoppelnder_austritt,0.026216,-0.018712
dio_mcm_episode_1q3u8v6,dio_mcm_episode_0db07p4,aussen_zu_kern,dio_mcm_episode_1q3u8v6,unbekannt,unbekannt,unbekannt,eintritt,aussen_zu_bruecke,1,1,2.0,oeffnend_belastender_austritt,-0.048613,0.06138
dio_mcm_episode_1rzvd1k,dio_mcm_episode_1joiyc3,aussen_zu_kern,dio_mcm_episode_1rzvd1k,unbekannt,unbekannt,unbekannt,eintritt,aussen_zu_bruecke,1,1,283.0,oeffnend_belastender_austritt,-0.158211,0.21964
dio_mcm_episode_1joiyc3,dio_mcm_episode_0sxikqi,kern_zu_aussen,dio_mcm_episode_0sxikqi,junge_oberflaeche,junge_spur,spannungsrand_kippnaehe,austritt,bruecke_zu_aussen,1,1,283.0,oeffnend_belastender_austritt,-0.158211,0.21964
dio_mcm_episode_1joiyc3,dio_mcm_episode_0mm85pw,kern_zu_aussen,dio_mcm_episode_0mm85pw,randpfad,randnahe_verdichtung,spannungsrand_kippnaehe,austritt,bruecke_zu_aussen,1,1,896.0,oeffnend_belastender_austritt,-0.18455,0.197734
