token,relation,neighbor_token,count,is_core_token,neighbor_path_class,neighbor_movement,neighbor_base_zone,neighbor_follow_zone,neighbor_base_role,neighbor_follow_role
dio_mcm_episode_0b7nep9,entry,dio_mcm_episode_0ykar6i,44,0,offener_driftpfad,oeffnung_oder_drift,hoeherer_cluster_uebergang,driftzone,zentrum_stabil,zentrum_stabil
dio_mcm_episode_0b7nep9,exit,dio_mcm_episode_0ykar6i,44,0,offener_driftpfad,oeffnung_oder_drift,hoeherer_cluster_uebergang,driftzone,zentrum_stabil,zentrum_stabil
dio_mcm_episode_0b7nep9,entry,dio_mcm_episode_1eju9g0,10,0,junge_oberflaeche,verjuengung_oberflaeche,stabile_bedeutungsinsel,junge_spur,zentrum_stabil,zentrum_stabil
dio_mcm_episode_0b7nep9,exit,dio_mcm_episode_1eju9g0,10,0,junge_oberflaeche,verjuengung_oberflaeche,stabile_bedeutungsinsel,junge_spur,zentrum_stabil,zentrum_stabil
dio_mcm_episode_0b7nep9,entry,dio_mcm_episode_0w4x7xs,9,0,rekoppelnder_pfad,reifung_oder_verdichtung,stabile_bedeutungsinsel,rekopplungszone,zentrum_stabil,zentrum_stabil
dio_mcm_episode_0b7nep9,exit,dio_mcm_episode_0w4x7xs,8,0,rekoppelnder_pfad,reifung_oder_verdichtung,stabile_bedeutungsinsel,rekopplungszone,zentrum_stabil,zentrum_stabil
dio_mcm_episode_0b7nep9,exit,dio_mcm_episode_0mw7rev,3,0,randpfad,stabil,randnahe_verdichtung,randnahe_verdichtung,spannungsrand_kippnaehe,spannungsrand_kippnaehe
dio_mcm_episode_0b7nep9,entry,dio_mcm_episode_01s42m6,3,0,-,-,-,-,-,-
dio_mcm_episode_0b7nep9,exit,dio_mcm_episode_1pmt8u2,1,0,junge_oberflaeche,verjuengung_oberflaeche,rekopplungszone,junge_spur,zentrum_stabil,zentrum_stabil
dio_mcm_episode_0b7nep9,exit,dio_mcm_episode_01s42m6,1,0,-,-,-,-,-,-
dio_mcm_episode_0b7nep9,exit,dio_mcm_episode_0li6lg1,1,0,-,-,-,-,-,-
dio_mcm_episode_0b7nep9,entry,dio_mcm_episode_1f4jh6c,1,0,rekoppelnder_pfad,reifung_oder_verdichtung,driftzone,rekopplungszone,zentrum_stabil,zentrum_stabil
dio_mcm_episode_0b7nep9,entry,dio_mcm_episode_17c7qwp,1,0,brueckenpfad,reifung_oder_verdichtung,stabile_bedeutungsinsel,hoeherer_cluster_uebergang,zentrum_stabil,zentrum_stabil
dio_mcm_episode_0b7nep9,entry,dio_mcm_episode_0ybr5e3,1,0,stabile_insel,stabil,stabile_bedeutungsinsel,stabile_bedeutungsinsel,zentrum_stabil,zentrum_stabil
dio_mcm_episode_0b7nep9,exit,dio_mcm_episode_0ybr5e3,1,0,stabile_insel,stabil,stabile_bedeutungsinsel,stabile_bedeutungsinsel,zentrum_stabil,zentrum_stabil
dio_mcm_episode_0b7nep9,exit,dio_mcm_episode_17eveju,1,0,-,-,-,-,-,-
dio_mcm_episode_0b7nep9,entry,dio_mcm_episode_00nzcuc,1,0,-,-,-,-,-,-
