token,observations,worlds,world_names,dominant_role,dominant_family,role_entropy,neighbor_count,incoming_count,outgoing_count,top_previous,top_next,avg_rekopplung,avg_carry,avg_strain,avg_sensory,avg_tension,avg_coherence,avg_raw_field,avg_adapted_field,avg_loudness,avg_visual_blur,center_share,recoupling_share,open_share,rand_share,condensation_zone
dio_mcm_episode_1iq1hgz,15,4,"XRP2024_1H,XRP2024_5M,XRP2025_1H,XRP2025_5M",offene_variante,dio_1198,0.721928,15,11,11,dio_mcm_episode_0r1o8ja,dio_mcm_episode_1i31hl0,0.63915,0.45001,0.218403,0.742616,0.169385,0.471019,0.169385,0.1416,0.27539,0.512175,0.2,0.0,0.8,0.0,driftzone
dio_mcm_episode_09rbps0,11,2,"XRP2024_5M,XRP2025_5M",offene_variante,dio_1sub,1.240671,4,6,6,dio_mcm_episode_03hr8bf,dio_mcm_episode_0d40zcv,0.66006,0.475863,0.192788,0.769945,0.154916,0.440549,0.154916,0.128125,0.243981,0.505089,0.272727,0.0,0.636364,0.090909,driftzone
dio_mcm_episode_0r1o8ja,7,4,"XRP2024_1H,XRP2024_5M,XRP2025_1H,XRP2025_5M",offene_variante,dio_0p0e,0.591673,11,7,7,dio_mcm_episode_0ifxej6,dio_mcm_episode_1iq1hgz,0.638693,0.436054,0.204805,0.755872,0.138627,0.428709,0.138627,0.114623,0.206524,0.574491,0.142857,0.0,0.857143,0.0,driftzone
dio_mcm_episode_0yk71el,7,2,"XRP2024_5M,XRP2025_5M",offene_variante,dio_1ffm,0.591673,5,4,4,dio_mcm_episode_00dz86x,dio_mcm_episode_01yulb6,0.621543,0.421133,0.227984,0.717128,0.163539,0.389026,0.163539,0.134247,0.246736,0.628544,0.142857,0.0,0.857143,0.0,driftzone
dio_mcm_episode_1mesbjy,6,3,"XRP2024_5M,XRP2025_1H,XRP2025_5M",offene_variante,dio_1lym,-0.0,10,6,6,dio_mcm_episode_06meqq1,dio_mcm_episode_1i31hl0,0.643397,0.455965,0.206402,0.734123,0.151557,0.398999,0.151557,0.123476,0.219612,0.655129,0.0,0.0,1.0,0.0,driftzone
dio_mcm_episode_062iou2,5,3,"XRP2024_1H,XRP2024_5M,XRP2025_5M",offene_variante,dio_07o2,-0.0,9,5,5,dio_mcm_episode_0zbhkta,dio_mcm_episode_1n1dhu9,0.609166,0.399484,0.238944,0.71358,0.150845,0.40312,0.150845,0.122802,0.215143,0.610689,0.0,0.0,1.0,0.0,driftzone
dio_mcm_episode_0qhs6nb,5,4,"XRP2024_1H,XRP2024_5M,XRP2025_1H,XRP2025_5M",offene_variante,dio_05yg,0.721928,8,5,5,dio_mcm_episode_0q7skyc,dio_mcm_episode_0om13wf,0.644529,0.443796,0.19874,0.770877,0.12543,0.517234,0.12543,0.106071,0.187675,0.493127,0.2,0.0,0.8,0.0,driftzone
dio_mcm_episode_1al8fjz,5,2,"XRP2024_5M,XRP2025_5M",zentrum_stabil,dio_17db,0.970951,4,3,3,dio_mcm_episode_06ccuqv,dio_mcm_episode_1k0rrn2,0.639491,0.414519,0.203356,0.820564,0.199424,0.542326,0.199424,0.165881,0.343744,0.353886,0.6,0.0,0.4,0.0,driftzone
dio_mcm_episode_0mvt50o,4,4,"XRP2024_1H,XRP2024_5M,XRP2025_1H,XRP2025_5M",offene_variante,dio_1cky,-0.0,6,4,4,dio_mcm_episode_0f1kb3e,dio_mcm_episode_0n5sqpn,0.662631,0.483936,0.198425,0.786063,0.208471,0.624168,0.208471,0.171334,0.379495,0.441651,0.0,0.0,1.0,0.0,driftzone
dio_mcm_episode_0n49e5a,4,1,XRP2025_5M,offene_variante,dio_02ez,0.811278,4,2,2,dio_mcm_episode_0mav7hx,dio_mcm_episode_07llqq8,0.610839,0.395012,0.24773,0.764985,0.267728,0.569285,0.267728,0.219308,0.474886,0.377507,0.25,0.0,0.75,0.0,driftzone
dio_mcm_episode_0rbnu89,4,3,"XRP2024_1H,XRP2024_5M,XRP2025_1H",offene_variante,dio_06l6,-0.0,8,4,4,dio_mcm_episode_1ve60mw,dio_mcm_episode_0y1i8dq,0.631768,0.430708,0.222556,0.768787,0.210099,0.648445,0.210099,0.170021,0.358653,0.534684,0.0,0.0,1.0,0.0,driftzone
dio_mcm_episode_1vo5mbv,4,2,"XRP2024_1H,XRP2025_1H",offene_variante,dio_0wx9,-0.0,5,3,3,dio_mcm_episode_0dbqs19,dio_mcm_episode_062iou2,0.599546,0.39047,0.25818,0.711403,0.211521,0.494714,0.211521,0.169772,0.34364,0.608729,0.0,0.0,1.0,0.0,driftzone
dio_mcm_episode_00yl137,3,2,"XRP2024_5M,XRP2025_5M",zentrum_stabil,dio_1rg9,0.918296,3,3,3,dio_mcm_episode_00er6t0,dio_mcm_episode_0tv1tha,0.649071,0.449237,0.201225,0.796029,0.222399,0.52061,0.222399,0.180493,0.391639,0.380445,0.666667,0.0,0.0,0.333333,driftzone
dio_mcm_episode_07llqq8,3,2,"XRP2025_1H,XRP2025_5M",offene_variante,dio_0p0e,-0.0,5,3,3,dio_mcm_episode_0n49e5a,dio_mcm_episode_00dz86x,0.60829,0.393866,0.238988,0.717596,0.178521,0.289881,0.178521,0.143797,0.254426,0.706326,0.0,0.0,1.0,0.0,driftzone
