phase,episodes,zentrum,offen,rand_kipp,rekopplungsnaehe,auditory_loudness,auditory_softening,auditory_stimulation,visual_salience,visual_sharpness,visual_blur,raw_field_intake,adapted_field_intake,intake_reduction,adaptation_ratio,regulation_damping,adaptation_potential,felt_pressure,felt_relaxation,mcm_tension,mcm_coherence,mcm_asymmetry,auditory_to_field_gap,hoeren_score,sehen_score,feldinput_score,druck_score,strongest_axis,limiting_axis
ruhig_vorlast,700,0.984286,0.005714,0.001429,0.008571,0.02275,0.040087,0.02275,0.102869,0.838679,0.161321,0.017298,0.015763,0.001536,0.911219,0.081133,0.081133,0.026484,0.886584,0.017298,0.791947,0.001965,0.005452,0.050952,0.26419,0.196863,-0.131569,sehen,adaptation
oeffnung,700,0.975714,0.011429,0.001429,0.011429,0.028703,0.045158,0.028703,0.133883,0.833679,0.166321,0.022089,0.020053,0.002036,0.907836,0.083361,0.083361,0.034436,0.874304,0.022089,0.773505,0.024623,0.006614,0.06402,0.300204,0.210901,-0.093713,sehen,adaptation
bruch_impuls,700,0.882857,0.054286,0.0,0.062857,0.068364,0.077124,0.068364,0.246417,0.807736,0.192264,0.04776,0.042971,0.004788,0.899742,0.094389,0.094389,0.066181,0.832296,0.04776,0.71895,-0.144823,0.020604,0.157332,0.438681,0.284297,-0.197342,sehen,adaptation
randflackern,700,0.287143,0.497143,0.004286,0.211429,0.145439,0.175995,0.145439,0.370953,0.624177,0.375823,0.093785,0.080826,0.012959,0.861819,0.130794,0.130794,0.105701,0.779302,0.093785,0.63648,0.004593,0.051653,0.342531,0.746776,0.449158,0.048219,sehen,adaptation
gegenpol,700,0.972857,0.01,0.001429,0.015714,0.050998,0.062917,0.050998,0.201538,0.820975,0.179025,0.036787,0.033277,0.00351,0.904589,0.089492,0.089492,0.053328,0.848952,0.036787,0.739891,0.101454,0.014211,0.116207,0.380563,0.252558,0.021778,sehen,adaptation
rekopplung,700,0.991429,0.005714,0.001429,0.001429,0.027891,0.044427,0.027891,0.126643,0.835463,0.164537,0.021211,0.019344,0.001867,0.911986,0.082857,0.082857,0.032676,0.877337,0.021211,0.778569,0.022626,0.006681,0.062464,0.291181,0.208135,-0.098955,sehen,adaptation
ruhe_nachhall,700,0.992857,0.002857,0.001429,0.002857,0.025213,0.042095,0.025213,0.10574,0.837539,0.162461,0.018665,0.016964,0.0017,0.908896,0.081666,0.081666,0.027649,0.885502,0.018665,0.790673,0.000702,0.006548,0.056974,0.268201,0.200662,-0.130084,sehen,adaptation
zweiter_kippimpuls,500,0.98,0.006,0.004,0.01,0.082461,0.087832,0.082461,0.230506,0.802682,0.197318,0.053847,0.048237,0.00561,0.895821,0.096269,0.096269,0.066105,0.838755,0.053847,0.731001,-0.123451,0.028614,0.193536,0.427824,0.300232,-0.171251,sehen,adaptation
zweite_rekopplung,594,0.986532,0.005051,0.0,0.008418,0.031496,0.047082,0.031496,0.119983,0.83491,0.16509,0.022452,0.020485,0.001968,0.912366,0.083148,0.083148,0.031825,0.880589,0.022452,0.78497,0.023223,0.009044,0.072036,0.285073,0.211202,-0.098617,sehen,adaptation
