token,segments,worlds,world_profile,dominant_enter,dominant_enter_count,dominant_exit,dominant_exit_count,end_role_profile,exit_role_profile,duration_avg,within_rekopplung_delta,exit_rekopplung_delta,within_strain_delta,exit_strain_delta,within_loudness_delta,exit_loudness_delta,within_blur_delta,exit_blur_delta,within_tension_delta,exit_tension_delta
dio_mcm_episode_05lquqm,5,5,DOGE_2024_5M:1; PAXG_2025_5M:1; SYNTH_RAND:1; XRP_2024_5M:1; XRP_2025_5M:1,dio_mcm_episode_0ag2osp,1,dio_mcm_episode_079228h,1,zentrum_stabil:4; offene_variante:1,zentrum_stabil:3; offene_variante:2,1.2,0.0035525999999999947,0.008138200000000073,0.0007323999999999997,-0.003916399999999998,-0.037656800000000004,-0.1250432,0.0206284,0.1379762,-0.017240600000000002,-0.05243939999999999
dio_mcm_episode_0b7nep9,70,5,DOGE_2024_5M:24; PAXG_2025_5M:23; XRP_2024_5M:12; XRP_2025_5M:9; DOGE_2025_5M:2,dio_mcm_episode_0ykar6i,44,dio_mcm_episode_0ykar6i,44,zentrum_stabil:60; offene_variante:10,zentrum_stabil:65; spannungsrand_kippnaehe:4; offene_variante:1,107.81428571428572,0.06015567142857143,0.003220828571428577,-0.06169382857142857,-0.0067821999999999995,-0.25996814285714287,-0.028966285714285712,-0.099644,-0.03263842857142857,-0.11130285714285715,-0.015527414285714285
dio_mcm_episode_0db07p4,7,3,SOL_2024_5M:3; BTC_2024_5M:2; KAS_2024_5M:2,dio_mcm_episode_1joiyc3,3,dio_mcm_episode_1joiyc3,6,zentrum_stabil:5; offene_variante:2,zentrum_stabil:7,10.571428571428571,0.02113714285714287,0.03567814285714283,-0.022584142857142858,-0.03963285714285714,-0.042022,-0.09032971428571428,-0.03996557142857143,-0.04101471428571428,-0.02192457142857143,-0.040535714285714286
dio_mcm_episode_0e7qvj1,90,8,XRP_2025_5M:34; DOGE_2025_5M:19; DOGE_2024_5M:18; XRP_2024_5M:7; PAXG_2024_5M:6; SOL_2024_5M:4; BTC_2024_5M:1; SYNTH_RAND:1,dio_mcm_episode_0mji3u6,25,dio_mcm_episode_18l3thm,30,zentrum_stabil:84; offene_variante:6,zentrum_stabil:67; offene_variante:14; spannungsrand_kippnaehe:5,193.1,0.03315033333333333,-0.010318918604651162,-0.03129503333333333,0.008859011627906978,-0.15377939999999998,0.01050646511627907,-0.034589433333333336,0.010374372093023256,-0.06778983333333334,0.002844081395348837
dio_mcm_episode_0hjnwsk,8,4,DOGE_2025_5M:4; XRP_2025_5M:2; SOL_2024_5M:1; XRP_2024_5M:1,dio_mcm_episode_0aztxel,4,dio_mcm_episode_18n06fj,8,offene_variante:6; zentrum_stabil:2,zentrum_stabil:7; offene_variante:1,2.625,0.01168925000000004,0.011814874999999975,0.004438375000000001,-0.029800999999999994,0.013662124999999997,-0.053921624999999994,0.070656125,-0.109394,0.0022993750000000037,-0.022625500000000003
dio_mcm_episode_0jbl5pq,11,6,XRP_2025_5M:4; DOGE_2024_5M:2; DOGE_2025_5M:2; PAXG_2024_5M:1; SOL_2024_5M:1; XRP_2024_5M:1,dio_mcm_episode_0lne9ax,6,dio_mcm_episode_0qzjuvj,9,zentrum_stabil:8; offene_variante:3,zentrum_stabil:8; offene_variante:3,2.5454545454545454,0.00615981818181817,-0.011200181818181831,-0.005675000000000003,0.01400200000000001,-0.013976909090909085,-0.0020990000000000036,-0.10153090909090907,0.024382181818181827,-0.004742909090909092,7.53636363636354e-05
dio_mcm_episode_0l3i7ey,5,3,DOGE_2025_5M:2; XRP_2025_5M:2; XRP_2024_5M:1,dio_mcm_episode_0ldht3x,3,dio_mcm_episode_0lne9ax,2,zentrum_stabil:4; offene_variante:1,zentrum_stabil:4; offene_variante:1,1.4,0.005925399999999992,0.008722200000000036,-0.001425599999999999,-0.004242400000000002,0.01755320000000001,0.04679919999999998,0.013988400000000002,-0.08190499999999998,0.0090568,0.014909399999999998
dio_mcm_episode_0mji3u6,25,6,XRP_2025_5M:8; DOGE_2024_5M:6; DOGE_2025_5M:5; XRP_2024_5M:3; SOL_2024_5M:2; BTC_2024_5M:1,dio_mcm_episode_0e7qvj1,12,dio_mcm_episode_0e7qvj1,25,zentrum_stabil:18; offene_variante:7,zentrum_stabil:24; offene_variante:1,14.08,0.03427856,0.014040959999999991,-0.026937199999999998,-0.019130160000000004,-0.052906159999999994,-0.008782760000000006,-0.14716811999999999,-0.04307388,-0.02778404,-0.0024386800000000004
dio_mcm_episode_0mvjoir,3,3,DOGE_2024_5M:1; DOGE_2025_5M:1; PAXG_2024_5M:1,dio_mcm_episode_0mw7rev,1,dio_mcm_episode_0n5sqpn,1,offene_variante:2; zentrum_stabil:1,offene_variante:2; zentrum_stabil:1,1.0,0.0,-0.026403999999999983,0.0,0.030211666666666675,0.0,-0.04458233333333333,0.0,0.06654666666666666,0.0,-0.015102333333333334
dio_mcm_episode_0om13wf,6,2,XRP_2025_5M:4; DOGE_2025_5M:2,dio_mcm_episode_0r1o8ja,1,dio_mcm_episode_0ultars,3,offene_variante:4; zentrum_stabil:2,zentrum_stabil:3; offene_variante:3,1.3333333333333333,-0.006702333333333328,0.05787050000000001,0.010093666666666667,-0.038366166666666666,0.03671633333333334,-0.0013285000000000057,0.015233666666666664,-0.12251166666666669,0.013064666666666667,-0.002486666666666667
