group;segments;total_ticks;avg_duration;max_duration;long_segments;strained_segments;carried_tick_share;avg_carry;avg_rekopplung;avg_strain;avg_afterimage;avg_temporal_trust
lang_10k;5;9994.0;1998.8;5176.0;3;2;0.9997998799279568;0.5374608957374425;0.7059521623974384;0.15288528467080248;0.1767536405843506;0.7068354972983791
kurz_stress;1;994.0;994.0;994.0;0;0;1.0;0.5009333460764588;0.6915870754527162;0.15651040945674044;0.13006163179074445;0.5396891177062374
