role_family,symbol_family,asset,label,window_start,total_count,phase_presence,dominant_role,family_reading,rekopplung_frueh,rekopplung_mitte,rekopplung_spaet,strain_frueh,strain_mitte,strain_spaet,afterimage_delta_spaet_frueh,temporal_delta_spaet_frueh,boundary
rf_05,dio_1xrt,BTC,start7000_real_7000,7000,49,3,field_stabil,kernfamilie_mit_feldzeitverdichtung,0.734493,0.753221,0.754172,0.151033,0.163037,0.165833,0.483810,0.234732,passive_connected_family_followworld_trace_no_action_no_direction
rf_05,dio_0fe7,DOGE,start1000_real_7000,1000,47,3,field_stabil,kernfamilie_mit_feldzeitverdichtung,0.748873,0.751513,0.755284,0.152852,0.165448,0.163687,0.385271,0.177591,passive_connected_family_followworld_trace_no_action_no_direction
rf_05,dio_0fe7,PAXG,start1000_real_7000,1000,50,3,field_stabil,kernfamilie_mit_feldzeitverdichtung,0.750450,0.751771,0.757640,0.148344,0.164527,0.163890,0.454037,0.210741,passive_connected_family_followworld_trace_no_action_no_direction
rf_05,dio_1xrt,PAXG,start1000_real_7000,1000,54,3,field_stabil,kernfamilie_mit_feldzeitverdichtung,0.752655,0.754936,0.757865,0.154982,0.165607,0.166185,0.348860,0.161647,passive_connected_family_followworld_trace_no_action_no_direction
rf_05,dio_0fe7,PAXG,start7000_real_7000,7000,44,3,field_stabil,kernfamilie_mit_feldzeitverdichtung,0.735599,0.755446,0.757163,0.148585,0.164308,0.164596,0.417111,0.198746,passive_connected_family_followworld_trace_no_action_no_direction
rf_07,dio_0g2r,BTC,start1000_real_7000,1000,69,3,field_stabil,kernfamilie_mit_feldzeitverdichtung,0.741759,0.747141,0.742720,0.161727,0.171099,0.177286,0.327323,0.148262,passive_connected_family_followworld_trace_no_action_no_direction
rf_07,dio_1ewh,BTC,start1000_real_7000,1000,90,3,field_stabil,kernfamilie_mit_feldzeitverdichtung,0.738833,0.748244,0.747081,0.162511,0.170752,0.172339,0.323454,0.158393,passive_connected_family_followworld_trace_no_action_no_direction
rf_07,dio_0g2r,BTC,start7000_real_7000,7000,74,3,field_stabil,kernfamilie_mit_feldzeitverdichtung,0.740988,0.745457,0.747779,0.164250,0.171406,0.170782,0.292495,0.144069,passive_connected_family_followworld_trace_no_action_no_direction
rf_07,dio_1ewh,BTC,start7000_real_7000,7000,97,3,field_stabil,kernfamilie_mit_feldzeitverdichtung,0.740839,0.749475,0.750699,0.163974,0.170478,0.171245,0.239706,0.113794,passive_connected_family_followworld_trace_no_action_no_direction
rf_07,dio_0g2r,DOGE,start1000_real_7000,1000,75,3,field_stabil,kernfamilie_mit_feldzeitverdichtung,0.737066,0.746605,0.747416,0.159685,0.168671,0.172301,0.492860,0.241641,passive_connected_family_followworld_trace_no_action_no_direction
