dataset,universe_scope,triad_paths,triads,connected_collision_excess,connected_empirical_upper_p,isolated_collision_excess,isolated_empirical_upper_p,connected_minus_isolated_excess,connected_higher_excess_paths,isolated_higher_excess_paths,connected_mean_pair_state_disagreement,isolated_mean_pair_state_disagreement,connected_mean_signature_variance,isolated_mean_signature_variance,connected_mean_afterimage_variance,isolated_mean_afterimage_variance,connected_median_convergence_tick,isolated_median_convergence_tick,connected_dynamic_center_paths,connected_no_unique_center_paths,no_central_field,production_field_modified,memory_written,influences_action,viranz_parameter_used
2091_basis,a,128,16,601956.0625,0.030303,612232.6875,0.030303,-10276.625,1,127,0.01057386,0.010883006,6.3e-11,6.3e-11,8.13e-10,8.13e-10,29.0,29.0,64,18,1,0,0,0,0
2091_basis,b,128,16,534196.59375,0.030303,541384.3125,0.030303,-7187.71875,0,128,0.010712714,0.010786071,6.3e-11,6.3e-11,8.13e-10,8.13e-10,29.5,27.5,67,11,1,0,0,0,0
2091_basis,all,256,16,1136152.65625,0.030303,1153617.0,0.030303,-17464.34375,1,255,0.010643287,0.010834538,6.3e-11,6.3e-11,8.13e-10,8.13e-10,29.0,29.0,131,29,1,0,0,0,0
2092_holdout,a,120,15,596308.5,0.030303,605751.53125,0.030303,-9443.03125,9,111,0.009926224,0.01037894,0.0,0.0,7.33e-10,7.33e-10,26.5,29.5,56,19,1,0,0,0,0
2092_holdout,b,120,15,542014.25,0.030303,547547.40625,0.030303,-5533.15625,40,80,0.010275542,0.010448804,0.0,0.0,7.33e-10,7.33e-10,27.0,27.0,60,17,1,0,0,0,0
2092_holdout,all,240,15,1138322.75,0.030303,1153298.9375,0.030303,-14976.1875,49,191,0.010100883,0.010413872,0.0,0.0,7.33e-10,7.33e-10,27.0,28.0,116,36,1,0,0,0,0
