left_world,right_world,profile_scope,left_episodes,right_episodes,profile_dimensions,profile_cloud_distance,profile_dtw_distance,ordered_to_cloud_ratio
real_anchor,real_follow,field_core_raw,29,23,4,0.005586110833347797,0.023174857982460058,4.1486570305965795
real_anchor,null_shuffle,field_core_raw,29,25,4,0.005404188251238286,0.016719758849666852,3.093852040745579
real_anchor,null_random,field_core_raw,29,21,4,0.008609705645708923,0.02729450572633859,3.170201961543502
real_follow,null_shuffle,field_core_raw,23,25,4,0.006085351048476581,0.020219258162813083,3.3226116294268366
real_follow,null_random,field_core_raw,23,21,4,0.008985446591258942,0.019692810587986175,2.19163403710433
null_shuffle,null_random,field_core_raw,25,21,4,0.007817978519432504,0.022906736413544317,2.9300075916820356
real_anchor,real_follow,field_full_raw,29,23,7,0.014657464813777941,0.046080293083943916,3.143810588624349
real_anchor,null_shuffle,field_full_raw,29,25,7,0.014788962445939354,0.0415402343843291,2.8088673925691734
real_anchor,null_random,field_full_raw,29,21,7,0.017777790628467696,0.05586474874708231,3.14238984554277
real_follow,null_shuffle,field_full_raw,23,25,7,0.016191113416125207,0.044338770554128215,2.7384633418706046
real_follow,null_random,field_full_raw,23,21,7,0.019235831090959388,0.05224612327350823,2.7160834916076637
null_shuffle,null_random,field_full_raw,25,21,7,0.01715539180442325,0.042723382681303386,2.4903763882727428
real_anchor,real_follow,field_full_plus_duration_standardized,29,23,8,0.15858464434848196,0.4830744335074366,3.046161471005379
real_anchor,null_shuffle,field_full_plus_duration_standardized,29,25,8,0.14460939062919315,0.41562167724737287,2.8740988080995957
real_anchor,null_random,field_full_plus_duration_standardized,29,21,8,0.1874056528098643,0.5295431786552024,2.825652111958756
real_follow,null_shuffle,field_full_plus_duration_standardized,23,25,8,0.16236281039123016,0.45468026347551865,2.8003966079419236
real_follow,null_random,field_full_plus_duration_standardized,23,21,8,0.20151311345492023,0.4844504710161378,2.4040642453004057
null_shuffle,null_random,field_full_plus_duration_standardized,25,21,8,0.18626318399085534,0.4599096339390073,2.4691386890583096
