sequence,compact_reconstructed_entries,2082_verbose_entries,compact_reconstructed_sha256,2082_verbose_sha256,exact_reconstruction
forward,5311,5311,91379512053a83f096469c870b9dcb7e00189bf4ccf538d7c2ab1bc8c81b892d,91379512053a83f096469c870b9dcb7e00189bf4ccf538d7c2ab1bc8c81b892d,1
reverse,5165,5165,9c19d7224e76edfa7f504615f794a6fe7c0bf70dc5ca859fc947cfffd0e531fe,9c19d7224e76edfa7f504615f794a6fe7c0bf70dc5ca859fc947cfffd0e531fe,1
