asset,year,timeframe,window_start,window_end,group,role_family,component,primary_axis,expected_relation,observed_relation,expected_relation_match,pseudo_same_relation,pseudo_families,mean_match_distance,median_source_event_ratio,observed_control_minus_real_family_continuity_score,pseudo_mean_control_minus_real_family_continuity_score,observed_percentile_control_minus_real_family_continuity_score,observed_control_minus_real_mean_family_event_share,pseudo_mean_control_minus_real_mean_family_event_share,observed_percentile_control_minus_real_mean_family_event_share,observed_control_minus_real_mean_member_coverage,pseudo_mean_control_minus_real_mean_member_coverage,observed_percentile_control_minus_real_mean_member_coverage
BTC,2024,5m,0,1000,overall,rf_05,volume,1,verstaerkt,verstaerkt,1,0,100,0.2312181863878203,0.9826866916979557,0.026964285714285552,-0.1416394670964203,1.0,0.004024144869215294,-0.009141515761234072,1.0,0.04166666666666663,-0.34500000000000003,1.0
BTC,2024,5m,36000,37000,overall,rf_05,volume,1,verstaerkt,gemischt,0,23,100,0.2312181863878203,0.9826866916979557,-0.01966269841269841,-0.02235275323766931,0.54,0.010060362173038233,-0.0034037558685446005,1.0,-0.04166666666666663,-0.10041666666666667,0.78
BTC,2024,5m,72000,73000,overall,rf_05,volume,1,verstaerkt,gemischt,0,16,100,0.2312181863878203,0.9826866916979557,-0.18176613668723296,-0.04767106100942439,0.01,0.007712944332662643,-0.00511737089201878,1.0,-0.125,-0.13333333333333333,0.52
SOL,2024,5m,0,1000,overall,rf_05,volume,1,verstaerkt,gemischt,0,55,100,0.2312181863878203,0.9826866916979557,0.0010702341137123206,0.0208743160714989,0.27,-0.0013413816230717635,-0.0009691482226693491,0.355,0.0,0.045,0.24
SOL,2024,5m,36000,37000,overall,rf_05,volume,1,verstaerkt,gemischt,0,29,100,0.2312181863878203,0.9826866916979557,0.005309282736322585,-0.035786176938160906,0.78,0.001341381623071767,-0.0024714956405097266,1.0,0.0,-0.11416666666666667,0.84
SOL,2024,5m,72000,73000,overall,rf_05,volume,1,verstaerkt,verstaerkt,1,7,100,0.2312181863878203,0.9826866916979557,0.17840383726306053,0.03520111249855556,1.0,0.010395707578806174,-0.0017739771965124083,1.0,0.08333333333333337,0.07208333333333333,0.53
BTC,2025,5m,0,1000,overall,rf_05,volume,1,verstaerkt,verstaerkt,1,0,100,0.2312181863878203,0.9826866916979557,0.1654684601113171,-0.07196024259699708,1.0,0.012072434607645878,-0.004014084507042253,1.0,0.08333333333333337,-0.21041666666666667,1.0
BTC,2025,5m,36000,37000,overall,rf_05,volume,1,verstaerkt,gemischt,0,15,100,0.2312181863878203,0.9826866916979557,-0.003205574912891973,-0.030324873579765405,0.93,0.0073775989268947025,-0.00335010060362173,1.0,0.0,-0.07750000000000001,0.93
BTC,2025,5m,72000,73000,overall,rf_05,volume,1,verstaerkt,gemischt,0,52,100,0.2312181863878203,0.9826866916979557,0.0009108009108008686,-0.06829821155849654,0.93,0.011066398390342052,-0.0006036217303822936,1.0,0.0,-0.15125,0.9
SOL,2025,5m,0,1000,overall,rf_05,volume,1,verstaerkt,verstaerkt,1,0,100,0.2312181863878203,0.9826866916979557,0.2527505232862375,-0.08744851445340708,1.0,0.002012072434607645,-0.0029242119382964452,1.0,0.125,-0.2325,1.0
SOL,2025,5m,36000,37000,overall,rf_05,volume,1,verstaerkt,verstaerkt,1,46,100,0.2312181863878203,0.9826866916979557,0.029592576160899164,0.018986131451297683,0.55,0.00033534540576794433,0.0034741784037558695,0.18,0.08333333333333337,0.025833333333333333,0.71
SOL,2025,5m,72000,73000,overall,rf_05,volume,1,verstaerkt,gemischt,0,66,100,0.2312181863878203,0.9826866916979557,-0.260515873015873,-0.03880386420423345,0.0,0.003353454057679412,0.0010261569416498994,0.96,-0.16666666666666663,-0.1075,0.33
