group,role_family,component,primary_axis,expected_relation,observed_relation,expected_relation_match,pseudo_same_relation,pseudo_families,mean_match_distance,median_source_event_ratio,observed_control_minus_real_family_continuity_score,pseudo_mean_control_minus_real_family_continuity_score,observed_percentile_control_minus_real_family_continuity_score,observed_control_minus_real_mean_family_event_share,pseudo_mean_control_minus_real_mean_family_event_share,observed_percentile_control_minus_real_mean_family_event_share,observed_control_minus_real_mean_member_coverage,pseudo_mean_control_minus_real_mean_member_coverage,observed_percentile_control_minus_real_mean_member_coverage
overall,rf_05,volume,1,verstaerkt,verstaerkt,1,0,100,0.2312181863878203,0.9826866916979557,0.014487518178555758,-0.03988469604061617,1.0,0.005700871898054998,-0.0024390789179521578,1.0,0.006944444444444531,-0.11076388888888888,1.0
year:2024,rf_05,volume,1,verstaerkt,gemischt,0,2,100,0.2312181863878203,0.9826866916979557,-0.004382327694186561,-0.031371702342934606,0.96,0.005365526492287057,-0.003812877263581489,1.0,-0.00694444444444442,-0.09597222222222222,1.0
year:2025,rf_05,volume,1,verstaerkt,verstaerkt,1,0,100,0.2312181863878203,0.9826866916979557,0.028252966609529473,-0.04631035530731348,1.0,0.006036217303822939,-0.0010652805723228257,1.0,0.02083333333333337,-0.12555555555555556,1.0
asset:BTC,rf_05,volume,1,verstaerkt,gemischt,0,0,100,0.2312181863878203,0.9826866916979557,-0.004262566137566148,-0.06468284376791722,1.0,0.008718980549966462,-0.0042717415604739545,1.0,-0.00694444444444442,-0.1696527777777778,1.0
asset:SOL,rf_05,volume,1,verstaerkt,verstaerkt,1,7,100,0.2312181863878203,0.9826866916979557,0.03498254837214698,-0.014954076746416438,0.99,0.0026827632461435304,-0.0006064162754303602,1.0,0.02083333333333337,-0.051875,0.955
