role_family,component,response_symbol,observations,evidence_sources,mean_observation_directional_persistence,minimum_observation_directional_persistence,maximum_observation_directional_persistence,mean_source_directional_persistence,total_source_sign_switches,highest_persistence_axis,lowest_persistence_axis
rf_06,sign,dio_rresponse_03igbym,6,2,0.8888888888888888,0.6666666666666666,1.0,1.0,0,member_coverage,continuity
rf_05,sign,dio_rresponse_04au0hp,11,3,0.36363636363636365,0.09090909090909091,0.7272727272727273,0.5555555555555556,2,member_coverage,continuity
rf_13,wick,dio_rresponse_04mp7cc,6,2,0.2777777777777778,0.16666666666666666,0.3333333333333333,0.6666666666666666,1,event_share,member_coverage
rf_17,magnitude,dio_rresponse_05pxui5,6,2,0.611111111111111,0.5,0.6666666666666666,1.0,0,event_share,member_coverage
rf_17,wick,dio_rresponse_07ykzww,6,2,0.7222222222222222,0.5,1.0,1.0,0,continuity,event_share
rf_21,volume,dio_rresponse_080724q,6,2,0.6111111111111112,0.0,1.0,0.6666666666666666,1,continuity,event_share
rf_21,sign,dio_rresponse_08d5azh,6,2,0.5,0.16666666666666666,0.6666666666666666,0.6666666666666666,1,event_share,member_coverage
rf_07,volume,dio_rresponse_0c15fbo,6,2,0.6666666666666666,0.0,1.0,0.6666666666666666,0,event_share,member_coverage
rf_08,sign,dio_rresponse_0ehk2v5,11,3,0.7575757575757576,0.6363636363636364,1.0,1.0,0,event_share,continuity
rf_05,volume,dio_rresponse_0gpsabe,21,5,0.49206349206349204,0.23809523809523808,1.0,0.7333333333333333,2,event_share,continuity
rf_07,magnitude,dio_rresponse_0hbaf09,6,2,0.2222222222222222,0.0,0.6666666666666666,0.3333333333333333,1,event_share,continuity
rf_05,wick,dio_rresponse_0jzvf64,6,2,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,2,event_share,member_coverage
rf_10,wick,dio_rresponse_0k6vvw6,6,2,0.9444444444444444,0.8333333333333334,1.0,1.0,0,member_coverage,event_share
rf_13,volume,dio_rresponse_0wjbe72,6,2,0.5,0.16666666666666666,0.6666666666666666,0.6666666666666666,1,member_coverage,event_share
rf_07,sign,dio_rresponse_0xmmivn,6,2,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,0,continuity,member_coverage
rf_10,volume,dio_rresponse_10ffbvw,6,2,0.5555555555555556,0.16666666666666666,0.8333333333333334,0.6666666666666666,1,member_coverage,event_share
rf_21,magnitude,dio_rresponse_10icwaj,6,2,0.5555555555555556,0.3333333333333333,1.0,0.8333333333333334,1,event_share,continuity
rf_10,magnitude,dio_rresponse_115nq6h,6,2,1.0,1.0,1.0,1.0,0,member_coverage,continuity
rf_17,volume,dio_rresponse_15if51a,6,2,1.0,1.0,1.0,1.0,0,member_coverage,continuity
rf_10,sign,dio_rresponse_17fhgij,6,2,1.0,1.0,1.0,1.0,0,member_coverage,continuity
rf_13,magnitude,dio_rresponse_1fzgwzt,6,2,0.8333333333333334,0.6666666666666666,1.0,1.0,0,continuity,event_share
rf_21,wick,dio_rresponse_1g0d5i4,6,2,0.2777777777777778,0.0,0.6666666666666666,0.3333333333333333,2,continuity,event_share
rf_08,magnitude,dio_rresponse_1g81dn5,6,2,0.8888888888888888,0.6666666666666666,1.0,1.0,0,member_coverage,event_share
rf_08,wick,dio_rresponse_1iqzcc4,6,2,0.8333333333333334,0.6666666666666666,1.0,1.0,0,continuity,event_share
rf_08,volume,dio_rresponse_1jy76dq,11,3,0.12121212121212122,0.09090909090909091,0.18181818181818182,0.3333333333333333,3,event_share,continuity
rf_17,sign,dio_rresponse_1nes2tp,6,2,1.0,1.0,1.0,1.0,0,member_coverage,continuity
rf_05,magnitude,dio_rresponse_1o57ww3,6,2,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,2,member_coverage,continuity
rf_13,sign,dio_rresponse_1omemxt,6,2,0.3888888888888889,0.3333333333333333,0.5,0.6666666666666666,1,member_coverage,continuity
rf_07,wick,dio_rresponse_1p2p9b2,6,2,0.3333333333333333,0.0,1.0,0.3333333333333333,1,continuity,event_share
rf_06,wick,dio_rresponse_1u6wbsr,6,2,0.4444444444444444,0.16666666666666666,0.6666666666666666,0.6666666666666666,1,continuity,event_share
rf_06,volume,dio_rresponse_1xjfy5x,6,2,1.0,1.0,1.0,1.0,0,member_coverage,continuity
rf_06,magnitude,dio_rresponse_1y446tm,6,2,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,2,event_share,member_coverage
