dataset,worlds,relations,event_rows,transition_links,transition_nodes,unique_transition_edges,recurring_transition_edges,transition_links_on_recurring_edges,transition_collision_pairs,maximum_transition_support,consecutive_world_transition_links,two_step_path_instances,unique_two_step_paths,recurring_two_step_paths,two_step_instances_on_recurring_paths,two_step_path_collision_pairs,maximum_two_step_path_support,gap_transition_collision_p,activity_transition_collision_p,gap_two_step_collision_p,activity_two_step_collision_p,read_by_mini_dio,influences_field,influences_action
2091_basis,64,2580,10092,7512,63,975,649,7186,99541,86,2672,6308,2380,906,4834,27262,50,0.001996007984031936,0.004975124378109453,0.001996007984031936,0.004975124378109453,0,0,0
2092_holdout,60,1932,7807,5875,59,804,555,5626,68374,72,1894,4828,1986,757,3599,16855,37,0.001996007984031936,0.004975124378109453,0.001996007984031936,0.004975124378109453,0,0,0
