dataset,universe_scope,paths,sources,observed_same_tick_closures,observed_synchrony_excess,collective_null_excess_mean,collective_null_excess_max,observed_minus_collective_null_mean,empirical_upper_p,positive_sources,negative_sources,tie_sources,permutations
2091_basis,a,384,48,11296,3987.338368539,3098.091452668,3304.061430005,889.246915871,0.030303,48,0,0,32
2091_basis,b,384,48,12786,5101.622356484,3358.261675479,3529.629405841,1743.360681005,0.030303,48,0,0,32
2091_basis,all,768,48,24082,9088.960725023,6456.353128147,6715.468277934,2632.607596876,0.030303,48,0,0,32
2092_holdout,a,352,44,10941,4234.141993955,3169.602026688,3337.226586106,1064.539967267,0.030303,44,0,0,32
2092_holdout,b,352,44,10727,3865.594159114,2839.891301612,3063.122860023,1025.702857502,0.030303,44,0,0,32
2092_holdout,all,704,44,21668,8099.736153069,6009.4933283,6264.1570997,2090.242824769,0.030303,44,0,0,32
