role_family,component,response_axis,observations,holdouts,mean_value,median_value,minimum_value,maximum_value,positive_observations,negative_observations,zero_observations,observation_directional_persistence,mean_null_percentile,minimum_null_percentile,maximum_null_percentile,holdout_ids,holdout_mean_path,holdout_sign_path,holdout_directional_persistence,axis_persistence_percentile,axis_mean_null_percentile,axis_signed_mean_percentile
rf_05,volume,continuity,15,3,0.022447325229293047,0.014487518178555758,-0.07682465230402058,0.16999372367994803,8,7,0,0.06666666666666667,0.8173333333333334,0.1,1.0,2081_30m_windows;2083_5m_windows;2086_5m_windows,0.109501;0.013816;-0.055975,1;1;-1,0.3333333333333333,0.0625,0.9375,0.8125
rf_05,volume,event_share,15,3,0.004294284223861689,0.003744690364408672,0.0026827632461435304,0.008718980549966462,15,0,0,1.0,1.0,1.0,1.0,2081_30m_windows;2083_5m_windows;2086_5m_windows,0.003968;0.005701;0.003214,1;1;1,1.0,0.8125,0.9375,0.9375
rf_05,volume,member_coverage,15,3,0.024305555555555573,0.006944444444444531,-0.06944444444444442,0.20138888888888895,8,7,0,0.06666666666666667,0.9523333333333334,0.8,1.0,2081_30m_windows;2083_5m_windows;2086_5m_windows,0.118056;0.006944;-0.052083,1;1;-1,0.3333333333333333,0.1875,0.9375,0.8125
rf_06,volume,continuity,15,3,-0.058397127991485234,-0.058116472395409846,-0.1366369047619047,0.00568086883876362,1,14,0,0.8666666666666667,0.3333333333333333,0.0,1.0,2081_30m_windows;2083_5m_windows;2086_5m_windows,-0.094379;-0.022113;-0.058700,-1;-1;-1,1.0,0.625,0.3125,0.3125
rf_06,volume,event_share,15,3,-0.0015090543259557345,-0.001229599821149117,-0.004024144869215292,0.00016767270288397043,1,14,0,0.8666666666666667,0.156,0.0,0.75,2081_30m_windows;2083_5m_windows;2086_5m_windows,-0.001118;-0.001090;-0.002319,-1;-1;-1,1.0,0.5625,0.3125,0.1875
rf_06,volume,member_coverage,15,3,-0.12037037037037036,-0.12847222222222224,-0.24305555555555552,0.0,0,14,1,0.9333333333333333,0.269,0.0,1.0,2081_30m_windows;2083_5m_windows;2086_5m_windows,-0.128472;-0.083333;-0.149306,-1;-1;-1,1.0,0.8125,0.3125,0.3125
rf_07,volume,continuity,15,3,-0.008054462331942017,-0.00646640935279974,-0.021354127236480114,0.0021654889446091063,1,14,0,0.8666666666666667,0.6086666666666667,0.49,0.82,2081_30m_windows;2083_5m_windows;2086_5m_windows,-0.005704;-0.013602;-0.004857,-1;-1;-1,1.0,0.625,0.6875,0.6875
rf_07,volume,event_share,15,3,0.0029994783515910274,0.002962217750950142,0.0001676727028839739,0.005477308294209702,15,0,0,1.0,0.9526666666666667,0.53,1.0,2081_30m_windows;2083_5m_windows;2086_5m_windows,0.004248;0.002180;0.002571,1;1;1,1.0,0.8125,0.8125,0.8125
rf_07,volume,member_coverage,15,3,0.0,0.0,0.0,0.0,0,0,15,0.0,0.671,0.56,0.815,2081_30m_windows;2083_5m_windows;2086_5m_windows,0.000000;0.000000;0.000000,0;0;0,0.0,0.0625,0.6875,0.6875
rf_08,volume,continuity,15,3,0.03702120671011637,0.044642857142857206,-0.20765873015873004,0.2541062801932368,10,5,0,0.3333333333333333,0.7873333333333333,0.2,1.0,2081_30m_windows;2083_5m_windows;2086_5m_windows,-0.083030;0.141418;0.052675,-1;1;1,0.3333333333333333,0.1875,0.8125,0.9375
