group,role_family,pseudo_index,pseudo_id,component,members,match_distance,source_event_ratio,real_family_continuity_score,control_family_continuity_score,control_minus_real_family_continuity_score,real_mean_family_event_share,control_mean_family_event_share,control_minus_real_mean_family_event_share,real_mean_member_coverage,control_mean_member_coverage,control_minus_real_mean_member_coverage,relation
overall,rf_05,1,rf_05_pseudo_001,sign,dio_0g2r;dio_0ioc;dio_0jsd;dio_0lr0;dio_1ejq;dio_1sub;dio_1udx;dio_1v2w,0.20766033226272262,0.9758030871923238,0.6204184523809524,0.6058440668882626,-0.014574385492689745,0.02095908786049631,0.01841605186675609,-0.002543035993740221,0.6145833333333334,0.5763888888888888,-0.03819444444444453,abgeschwaecht
overall,rf_05,1,rf_05_pseudo_001,magnitude,dio_0g2r;dio_0ioc;dio_0jsd;dio_0lr0;dio_1ejq;dio_1sub;dio_1udx;dio_1v2w,0.20766033226272262,0.9758030871923238,0.6204184523809524,0.6176677489177488,-0.0027507034632036076,0.02095908786049631,0.01967359713838587,-0.0012854907221104411,0.6145833333333334,0.5972222222222222,-0.01736111111111116,abgeschwaecht
overall,rf_05,1,rf_05_pseudo_001,wick,dio_0g2r;dio_0ioc;dio_0jsd;dio_0lr0;dio_1ejq;dio_1sub;dio_1udx;dio_1v2w,0.20766033226272262,0.9758030871923238,0.6204184523809524,0.6068004030880645,-0.013618049292887902,0.02095908786049631,0.019477978985021238,-0.0014811088754750727,0.6145833333333334,0.5833333333333334,-0.03125,abgeschwaecht
overall,rf_05,1,rf_05_pseudo_001,volume,dio_0g2r;dio_0ioc;dio_0jsd;dio_0lr0;dio_1ejq;dio_1sub;dio_1udx;dio_1v2w,0.20766033226272262,0.9758030871923238,0.6204184523809524,0.5756480762594892,-0.04477037612146317,0.02095908786049631,0.020567851553767044,-0.00039123630672926665,0.6145833333333334,0.4965277777777778,-0.11805555555555558,abgeschwaecht
timeframe:1h,rf_05,1,rf_05_pseudo_001,sign,dio_0g2r;dio_0ioc;dio_0jsd;dio_0lr0;dio_1ejq;dio_1sub;dio_1udx;dio_1v2w,0.20766033226272262,0.9758030871923238,0.612367724867725,0.5993971572368785,-0.012970567630846475,0.018108651911468814,0.016040688575899843,-0.002067963335568971,0.5833333333333334,0.5555555555555556,-0.02777777777777779,abgeschwaecht
timeframe:1h,rf_05,1,rf_05_pseudo_001,magnitude,dio_0g2r;dio_0ioc;dio_0jsd;dio_0lr0;dio_1ejq;dio_1sub;dio_1udx;dio_1v2w,0.20766033226272262,0.9758030871923238,0.612367724867725,0.6158700614519579,0.0035023365842329346,0.018108651911468814,0.017829197406662195,-0.00027945450480661854,0.5833333333333334,0.5763888888888888,-0.006944444444444531,gemischt
timeframe:1h,rf_05,1,rf_05_pseudo_001,wick,dio_0g2r;dio_0ioc;dio_0jsd;dio_0lr0;dio_1ejq;dio_1sub;dio_1udx;dio_1v2w,0.20766033226272262,0.9758030871923238,0.612367724867725,0.6236349386179446,0.011267213750219662,0.018108651911468814,0.018499888218198077,0.0003912363067292632,0.5833333333333334,0.6180555555555556,0.03472222222222221,verstaerkt
timeframe:1h,rf_05,1,rf_05_pseudo_001,volume,dio_0g2r;dio_0ioc;dio_0jsd;dio_0lr0;dio_1ejq;dio_1sub;dio_1udx;dio_1v2w,0.20766033226272262,0.9758030871923238,0.612367724867725,0.5669956801285915,-0.04537204473913348,0.018108651911468814,0.017661524703778225,-0.000447127207690589,0.5833333333333334,0.4722222222222222,-0.11111111111111116,abgeschwaecht
timeframe:15m,rf_05,1,rf_05_pseudo_001,sign,dio_0g2r;dio_0ioc;dio_0jsd;dio_0lr0;dio_1ejq;dio_1sub;dio_1udx;dio_1v2w,0.20766033226272262,0.9758030871923238,0.6291603789403085,0.6124839989759343,-0.01667637996437421,0.023809523809523808,0.02079141515761234,-0.0030181086519114678,0.6458333333333334,0.5972222222222222,-0.04861111111111116,abgeschwaecht
timeframe:15m,rf_05,1,rf_05_pseudo_001,magnitude,dio_0g2r;dio_0ioc;dio_0jsd;dio_0lr0;dio_1ejq;dio_1sub;dio_1udx;dio_1v2w,0.20766033226272262,0.9758030871923238,0.6291603789403085,0.6194548804370232,-0.009705498503285281,0.023809523809523808,0.021517996870109544,-0.0022915269394142637,0.6458333333333334,0.6180555555555556,-0.02777777777777779,abgeschwaecht
timeframe:15m,rf_05,1,rf_05_pseudo_001,wick,dio_0g2r;dio_0ioc;dio_0jsd;dio_0lr0;dio_1ejq;dio_1sub;dio_1udx;dio_1v2w,0.20766033226272262,0.9758030871923238,0.6291603789403085,0.590413576632839,-0.03874680230746952,0.023809523809523808,0.0204560697518444,-0.0033534540576794086,0.6458333333333334,0.5486111111111112,-0.09722222222222221,abgeschwaecht
timeframe:15m,rf_05,1,rf_05_pseudo_001,volume,dio_0g2r;dio_0ioc;dio_0jsd;dio_0lr0;dio_1ejq;dio_1sub;dio_1udx;dio_1v2w,0.20766033226272262,0.9758030871923238,0.6291603789403085,0.5842644557823129,-0.04489592315799562,0.023809523809523808,0.023474178403755867,-0.00033534540576794086,0.6458333333333334,0.5208333333333334,-0.125,abgeschwaecht
overall,rf_05,2,rf_05_pseudo_002,sign,dio_0g2r;dio_0gh3;dio_0ioc;dio_0jsd;dio_0lr0;dio_1sub;dio_1udx;dio_1v2w,0.20873912203161948,0.9799749687108886,0.6162970430107526,0.6123736015490533,-0.003923441461699317,0.02079141515761234,0.018555779119159403,-0.002235636038452938,0.6041666666666666,0.59375,-0.01041666666666663,abgeschwaecht
overall,rf_05,2,rf_05_pseudo_002,magnitude,dio_0g2r;dio_0gh3;dio_0ioc;dio_0jsd;dio_0lr0;dio_1sub;dio_1udx;dio_1v2w,0.20873912203161948,0.9799749687108886,0.6162970430107526,0.6135841380543634,-0.002712904956389206,0.02079141515761234,0.01953386988598256,-0.00125754527162978,0.6041666666666666,0.5868055555555556,-0.01736111111111105,abgeschwaecht
overall,rf_05,2,rf_05_pseudo_002,wick,dio_0g2r;dio_0gh3;dio_0ioc;dio_0jsd;dio_0lr0;dio_1sub;dio_1udx;dio_1v2w,0.20873912203161948,0.9799749687108886,0.6162970430107526,0.601761876213315,-0.014535166797437604,0.02079141515761234,0.019422088084059916,-0.0013693270735524246,0.6041666666666666,0.5694444444444444,-0.03472222222222221,abgeschwaecht
overall,rf_05,2,rf_05_pseudo_002,volume,dio_0g2r;dio_0gh3;dio_0ioc;dio_0jsd;dio_0lr0;dio_1sub;dio_1udx;dio_1v2w,0.20873912203161948,0.9799749687108886,0.6162970430107526,0.5744327984817115,-0.04186424452904114,0.02079141515761234,0.020567851553767044,-0.00022356360384529622,0.6041666666666666,0.4930555555555556,-0.11111111111111105,abgeschwaecht
timeframe:1h,rf_05,2,rf_05_pseudo_002,sign,dio_0g2r;dio_0gh3;dio_0ioc;dio_0jsd;dio_0lr0;dio_1sub;dio_1udx;dio_1v2w,0.20873912203161948,0.9799749687108886,0.5961819727891157,0.6046688773548634,0.008486904565747744,0.017605633802816902,0.01615247037782249,-0.0014531634249944116,0.5416666666666666,0.5694444444444444,0.02777777777777779,gemischt
timeframe:1h,rf_05,2,rf_05_pseudo_002,magnitude,dio_0g2r;dio_0gh3;dio_0ioc;dio_0jsd;dio_0lr0;dio_1sub;dio_1udx;dio_1v2w,0.20873912203161948,0.9799749687108886,0.5961819727891157,0.6128578963230861,0.016675923533970405,0.017605633802816902,0.017661524703778228,5.589090096132579e-05,0.5416666666666666,0.5694444444444444,0.02777777777777779,verstaerkt
timeframe:1h,rf_05,2,rf_05_pseudo_002,wick,dio_0g2r;dio_0gh3;dio_0ioc;dio_0jsd;dio_0lr0;dio_1sub;dio_1udx;dio_1v2w,0.20873912203161948,0.9799749687108886,0.5961819727891157,0.610430402930403,0.014248430141287294,0.017605633802816902,0.018164542812430136,0.0005589090096132336,0.5416666666666666,0.5833333333333334,0.04166666666666674,verstaerkt
timeframe:1h,rf_05,2,rf_05_pseudo_002,volume,dio_0g2r;dio_0gh3;dio_0ioc;dio_0jsd;dio_0lr0;dio_1sub;dio_1udx;dio_1v2w,0.20873912203161948,0.9799749687108886,0.5961819727891157,0.5643664965986395,-0.0318154761904762,0.017605633802816902,0.017605633802816902,0.0,0.5416666666666666,0.4652777777777778,-0.07638888888888884,gemischt
timeframe:15m,rf_05,2,rf_05_pseudo_002,sign,dio_0g2r;dio_0gh3;dio_0ioc;dio_0jsd;dio_0lr0;dio_1sub;dio_1udx;dio_1v2w,0.20873912203161948,0.9799749687108886,0.6368797868797869,0.6202623015873016,-0.0166174852924853,0.02397719651240778,0.02095908786049631,-0.0030181086519114678,0.6666666666666666,0.6180555555555556,-0.04861111111111105,abgeschwaecht
timeframe:15m,rf_05,2,rf_05_pseudo_002,magnitude,dio_0g2r;dio_0gh3;dio_0ioc;dio_0jsd;dio_0lr0;dio_1sub;dio_1udx;dio_1v2w,0.20873912203161948,0.9799749687108886,0.6368797868797869,0.6142744467238592,-0.022605340155927633,0.02397719651240778,0.0214062150681869,-0.002570981444220879,0.6666666666666666,0.6041666666666666,-0.0625,abgeschwaecht
timeframe:15m,rf_05,2,rf_05_pseudo_002,wick,dio_0g2r;dio_0gh3;dio_0ioc;dio_0jsd;dio_0lr0;dio_1sub;dio_1udx;dio_1v2w,0.20873912203161948,0.9799749687108886,0.6368797868797869,0.5935564135564135,-0.043323373323373326,0.02397719651240778,0.020679633355689692,-0.0032975631567180863,0.6666666666666666,0.5555555555555556,-0.11111111111111105,abgeschwaecht
timeframe:15m,rf_05,2,rf_05_pseudo_002,volume,dio_0g2r;dio_0gh3;dio_0ioc;dio_0jsd;dio_0lr0;dio_1sub;dio_1udx;dio_1v2w,0.20873912203161948,0.9799749687108886,0.6368797868797869,0.5844124674810541,-0.052467319398732726,0.02397719651240778,0.023530069304717193,-0.0004471272076905855,0.6666666666666666,0.5208333333333334,-0.14583333333333326,abgeschwaecht
overall,rf_05,3,rf_05_pseudo_003,sign,dio_0g2r;dio_0ioc;dio_0jsd;dio_14l0;dio_1ejq;dio_1sub;dio_1udx;dio_1v2w,0.20936207585715216,0.9787234042553191,0.6466617063492063,0.616465603139743,-0.03019610320946331,0.022635814889336015,0.019086742678291975,-0.0035490722110440402,0.6770833333333334,0.6006944444444444,-0.07638888888888895,abgeschwaecht
overall,rf_05,3,rf_05_pseudo_003,magnitude,dio_0g2r;dio_0ioc;dio_0jsd;dio_14l0;dio_1ejq;dio_1sub;dio_1udx;dio_1v2w,0.20936207585715216,0.9787234042553191,0.6466617063492063,0.6318749999999999,-0.014786706349206424,0.022635814889336015,0.02012072434607646,-0.0025150905432595565,0.6770833333333334,0.6180555555555556,-0.05902777777777779,abgeschwaecht
overall,rf_05,3,rf_05_pseudo_003,wick,dio_0g2r;dio_0ioc;dio_0jsd;dio_14l0;dio_1ejq;dio_1sub;dio_1udx;dio_1v2w,0.20936207585715216,0.9787234042553191,0.6466617063492063,0.6227125567673195,-0.023949149581886764,0.022635814889336015,0.02031634249944109,-0.002319472389894925,0.6770833333333334,0.6215277777777778,-0.05555555555555558,abgeschwaecht
overall,rf_05,3,rf_05_pseudo_003,volume,dio_0g2r;dio_0ioc;dio_0jsd;dio_14l0;dio_1ejq;dio_1sub;dio_1udx;dio_1v2w,0.20936207585715216,0.9787234042553191,0.6466617063492063,0.5862849175103112,-0.06037678883889508,0.022635814889336015,0.02129443326626425,-0.0013413816230717635,0.6770833333333334,0.5208333333333334,-0.15625,abgeschwaecht
timeframe:1h,rf_05,3,rf_05_pseudo_003,sign,dio_0g2r;dio_0ioc;dio_0jsd;dio_14l0;dio_1ejq;dio_1sub;dio_1udx;dio_1v2w,0.20936207585715216,0.9787234042553191,0.6540103541416566,0.6150515547749154,-0.03895879936674129,0.01995305164319249,0.01704672479320367,-0.0029063268499888197,0.6875,0.5902777777777778,-0.09722222222222221,abgeschwaecht
timeframe:1h,rf_05,3,rf_05_pseudo_003,magnitude,dio_0g2r;dio_0ioc;dio_0jsd;dio_14l0;dio_1ejq;dio_1sub;dio_1udx;dio_1v2w,0.20936207585715216,0.9787234042553191,0.6540103541416566,0.6244771886259615,-0.02953316551569518,0.01995305164319249,0.018220433713391458,-0.00173261792980103,0.6875,0.5972222222222222,-0.09027777777777779,abgeschwaecht
timeframe:1h,rf_05,3,rf_05_pseudo_003,wick,dio_0g2r;dio_0ioc;dio_0jsd;dio_14l0;dio_1ejq;dio_1sub;dio_1udx;dio_1v2w,0.20936207585715216,0.9787234042553191,0.6540103541416566,0.6359840297790587,-0.01802632436259799,0.01995305164319249,0.019394142633579255,-0.0005589090096132336,0.6875,0.6458333333333334,-0.04166666666666663,abgeschwaecht
timeframe:1h,rf_05,3,rf_05_pseudo_003,volume,dio_0g2r;dio_0ioc;dio_0jsd;dio_14l0;dio_1ejq;dio_1sub;dio_1udx;dio_1v2w,0.20936207585715216,0.9787234042553191,0.6540103541416566,0.5685405643738977,-0.08546978976775899,0.01995305164319249,0.018108651911468814,-0.0018443997317236747,0.6875,0.4722222222222222,-0.2152777777777778,abgeschwaecht
timeframe:15m,rf_05,3,rf_05_pseudo_003,sign,dio_0g2r;dio_0ioc;dio_0jsd;dio_14l0;dio_1ejq;dio_1sub;dio_1udx;dio_1v2w,0.20936207585715216,0.9787234042553191,0.640097760958688,0.6183106575963718,-0.02178710336231615,0.025318578135479542,0.02112676056338028,-0.004191817572099261,0.6666666666666666,0.6111111111111112,-0.05555555555555547,abgeschwaecht
timeframe:15m,rf_05,3,rf_05_pseudo_003,magnitude,dio_0g2r;dio_0ioc;dio_0jsd;dio_14l0;dio_1ejq;dio_1sub;dio_1udx;dio_1v2w,0.20936207585715216,0.9787234042553191,0.640097760958688,0.6392544919829183,-0.0008432689757696954,0.025318578135479542,0.022021014978761456,-0.0032975631567180863,0.6666666666666666,0.6388888888888888,-0.02777777777777779,abgeschwaecht
