source_file,world,preview_symbol,symbol_family,field_effect,depth_state,positive_phase_proximity,mcm_carry_quality,mcm_strain_quality,mcm_rekopplung_quality,mcm_sensory_coupling,mcm_visual_field_gap,mcm_hearing_field_gap,mcm_feldwirkung_mcm_coherence,mcm_feldwirkung_mcm_tension,mcm_feldwirkung_mcm_asymmetry
debug\2005_mb_targeted_btc_quiet2025\dio_mini_lauf_47\episodes.csv,MB_TARGET_RUHIG_BTC_QUIET2025,dio_mcm_episode_0tfzgic,dio_0l7p,stabil,multiworld_depth_seed,0.993082,0.589241,0.154336,0.727654,0.847730,0.235311,0.025306,0.571017,0.051437,-0.009370
debug\2005_mb_targeted_paxg_real2024\dio_mini_lauf_46\episodes.csv,MB_TARGET_RUHIG_PAXG_REAL2024,dio_mcm_episode_0wo0tz1,dio_0l7p,stabil,multiworld_depth_seed,0.989334,0.581962,0.150476,0.726160,0.850922,0.235252,0.019090,0.586589,0.053711,-0.010090
debug\2005_mb_targeted_btc_quiet2025\dio_mini_lauf_47\episodes.csv,MB_TARGET_RUHIG_BTC_QUIET2025,dio_mcm_episode_0tfzgic,dio_0l7p,stabil,multiworld_depth_seed,0.988987,0.589231,0.153711,0.728043,0.848448,0.239594,0.017844,0.569114,0.050885,0.001295
debug\2005_mb_targeted_paxg_real2024\dio_mini_lauf_46\episodes.csv,MB_TARGET_RUHIG_PAXG_REAL2024,dio_mcm_episode_0vig3jz,dio_0l7p,stabil,multiworld_depth_seed,0.988857,0.594455,0.153292,0.730506,0.847668,0.235298,0.023285,0.564512,0.053923,-0.004190
debug\2005_mb_targeted_paxg_real2024\dio_mini_lauf_46\episodes.csv,MB_TARGET_RUHIG_PAXG_REAL2024,dio_mcm_episode_0icnf2v,dio_0l7p,stabil,multiworld_depth_seed,0.988731,0.592465,0.157614,0.728122,0.848593,0.234256,0.021817,0.572645,0.054116,0.004754
debug\2005_mb_targeted_doge_transition2024\dio_mini_lauf_48\episodes.csv,MB_TARGET_UEBERGANG_DOGE2024,dio_mcm_episode_1qlxgj7,dio_0l7p,stabil,multiworld_depth_seed,0.988687,0.589092,0.152703,0.728240,0.846994,0.240346,0.026453,0.581945,0.055478,-0.001785
debug\2005_mb_targeted_paxg_real2024\dio_mini_lauf_46\episodes.csv,MB_TARGET_RUHIG_PAXG_REAL2024,dio_mcm_episode_0icnf2v,dio_0l7p,stabil,multiworld_depth_seed,0.988529,0.590857,0.155513,0.728040,0.847059,0.237213,0.027235,0.580524,0.057548,-0.003535
debug\2005_mb_targeted_paxg_real2024\dio_mini_lauf_46\episodes.csv,MB_TARGET_RUHIG_PAXG_REAL2024,dio_mcm_episode_0icnf2v,dio_0l7p,stabil,multiworld_depth_seed,0.988093,0.592152,0.153386,0.729467,0.850033,0.235402,0.014279,0.563046,0.049370,-0.006295
debug\2005_mb_targeted_doge_transition2024\dio_mini_lauf_48\episodes.csv,MB_TARGET_UEBERGANG_DOGE2024,dio_mcm_episode_1qlxgj7,dio_0l7p,stabil,multiworld_depth_seed,0.988045,0.582318,0.150797,0.726301,0.849949,0.229004,0.032351,0.594614,0.055764,-0.003594
debug\2005_mb_targeted_doge_transition2024\dio_mini_lauf_48\episodes.csv,MB_TARGET_UEBERGANG_DOGE2024,dio_mcm_episode_0icnf2v,dio_0l7p,stabil,multiworld_depth_seed,0.987643,0.596512,0.152418,0.731573,0.850379,0.228009,0.024659,0.575453,0.052243,-0.019020
