dataset,universe_scope,order_label,synchrony_excess,minus_original,at_least_original
2092_holdout,all,reverse_rotation_02,765.523665646,-7334.212487423,0
2092_holdout,all,reverse_rotation_03,274.105740139,-7825.63041293,0
2092_holdout,all,reverse_rotation_04,261.331319245,-7838.404833824,0
2092_holdout,all,reverse_rotation_05,213.702920403,-7886.033232666,0
2092_holdout,all,reverse_rotation_06,267.646525673,-7832.089627396,0
2092_holdout,all,reverse_rotation_07,296.762336406,-7802.973816663,0
2092_holdout,all,reverse_rotation_08,143.146022118,-7956.590130951,0
2092_holdout,all,reverse_rotation_09,331.405840903,-7768.330312166,0
2092_holdout,all,reverse_rotation_10,260.551863026,-7839.184290043,0
2092_holdout,all,reverse_rotation_11,183.867069377,-7915.869083692,0
