sequence,position,world_id,corpus,variant,world_profiles,episode_observations,active_neighborhoods,historical_neighborhoods,active_three_scope_neighborhoods,active_world_pair_observations
forward,77,W2079_077,holdout_2024,real,77,1941,1937,1937,512,40858
forward,78,W2079_078,holdout_2024,shuffle,78,1976,1960,1960,519,42063
forward,79,W2079_079,holdout_2024,random_sign,79,1997,1992,1992,525,43052
forward,80,W2079_080,holdout_2024,real,80,2020,1999,1999,528,44102
forward,81,W2079_081,holdout_2024,shuffle,81,2037,2046,2046,541,45029
reverse,1,W2079_081,holdout_2024,shuffle,1,17,0,0,0,0
reverse,2,W2079_080,holdout_2024,real,2,40,9,9,2,9
reverse,3,W2079_079,holdout_2024,random_sign,3,61,24,24,6,29
reverse,4,W2079_078,holdout_2024,shuffle,4,96,50,50,10,77
reverse,5,W2079_077,holdout_2024,real,5,127,74,74,18,133
reverse,6,W2079_076,holdout_2024,random_sign,6,152,91,91,23,200
reverse,7,W2079_075,holdout_2024,shuffle,7,187,114,114,29,290
reverse,8,W2079_074,holdout_2024,real,8,212,139,139,34,393
reverse,9,W2079_073,holdout_2024,random_sign,9,233,169,169,44,498
reverse,10,W2079_072,holdout_2024,shuffle,10,254,190,190,50,617
reverse,11,W2079_071,holdout_2024,real,11,283,217,217,56,766
reverse,12,W2079_070,holdout_2024,random_sign,12,300,248,248,63,900
reverse,13,W2079_069,holdout_2024,shuffle,13,321,278,278,70,1043
reverse,14,W2079_068,holdout_2024,real,14,336,281,281,73,1188
reverse,15,W2079_067,holdout_2024,random_sign,15,353,294,294,83,1337
reverse,16,W2079_066,holdout_2024,shuffle,16,386,312,312,90,1543
reverse,17,W2079_065,holdout_2024,real,17,413,327,327,96,1756
reverse,18,W2079_064,holdout_2024,random_sign,18,446,378,378,109,1998
reverse,19,W2079_063,holdout_2024,shuffle,19,467,394,394,113,2215
reverse,20,W2079_062,holdout_2024,real,20,488,421,421,122,2455
reverse,21,W2079_061,holdout_2024,random_sign,21,509,454,454,131,2719
reverse,22,W2079_060,holdout_2024,shuffle,22,542,477,477,137,3020
reverse,23,W2079_059,holdout_2024,real,23,565,503,503,141,3304
reverse,24,W2079_058,holdout_2024,random_sign,24,594,538,538,144,3639
reverse,25,W2079_057,holdout_2024,shuffle,25,621,551,551,152,3983
reverse,26,W2079_056,holdout_2024,real,26,654,586,586,158,4413
reverse,27,W2079_055,holdout_2024,random_sign,27,677,615,615,166,4780
reverse,28,W2079_054,holdout_2024,shuffle,28,702,637,637,174,5123
reverse,29,W2079_053,holdout_2024,real,29,723,655,655,181,5511
reverse,30,W2079_052,holdout_2024,random_sign,30,742,669,669,183,5873
reverse,31,W2079_051,holdout_2024,shuffle,31,765,677,677,192,6260
reverse,32,W2079_050,holdout_2024,real,32,786,695,695,197,6650
reverse,33,W2079_049,holdout_2024,random_sign,33,803,721,721,201,7101
reverse,34,W2079_048,holdout_2024,shuffle,34,830,750,750,211,7551
reverse,35,W2079_047,holdout_2024,real,35,869,808,808,234,8142
reverse,36,W2079_046,holdout_2024,random_sign,36,892,852,852,247,8676
