dataset,pair_index,direction,asset,year,source_file,source_start,target_start,gap_ticks,source_terminal_signature,source_terminal_afterimage,post_gap_signature,post_gap_afterimage,blank_gap_control_exact,target_ticks,continuity_affected_ticks,exact_convergence_tick,exact_convergence_reached,affected_target_share,first_signature_difference,maximum_signature_difference,final_signature_difference,mean_absolute_signature_difference,mean_absolute_activation_difference,mean_absolute_afterimage_difference,field_learning_used,memory_read,memory_written,influences_action
2091_basis,1,forward,BTC,2024,1-12_2024_30m_BTCUSDT.csv,0,1000,0,0.009889128337119706,0.1252453871666786,0.009889128337119706,0.1252453871666786,1,994,292,293,1,0.2937625754527163,0.0033621610137379732,0.0033621610137379732,0.0,2.8419163982374534e-05,0.0002879325180358595,0.0008619279973749446,0,0,0,0
2091_basis,1,forward,BTC,2024,1-12_2024_30m_BTCUSDT.csv,0,1000,1,0.009889128337119706,0.1252453871666786,0.0032062233411033064,0.10939838499016268,1,994,292,293,1,0.2937625754527163,0.0029462405805719526,0.0029462405805719526,0.0,2.4925469595837187e-05,0.00025148415571202596,0.0007528516238073051,0,0,0,0
2091_basis,1,forward,BTC,2024,1-12_2024_30m_BTCUSDT.csv,0,1000,2,0.009889128337119706,0.1252453871666786,0.002815090729850959,0.09555480150520036,1,994,282,283,1,0.2837022132796781,0.002582721918069542,0.002582721918069542,0.0,2.1867250088749927e-05,0.00021962923962013422,0.0006575505737234336,0,0,0,0
2091_basis,1,forward,BTC,2024,1-12_2024_30m_BTCUSDT.csv,0,1000,4,0.009889128337119706,0.1252453871666786,0.002171142069439845,0.07289695454018875,1,994,282,283,1,0.2837022132796781,0.0019865673190163774,0.0019865673190163774,0.0,1.6842509530298178e-05,0.00016747315196304898,0.0005015518003652841,0,0,0,0
2091_basis,1,forward,BTC,2024,1-12_2024_30m_BTCUSDT.csv,0,1000,8,0.009889128337119706,0.1252453871666786,0.0012933475417883573,0.04241334258605165,1,994,282,283,1,0.2837022132796781,0.0011787410080101209,0.0011787410080101209,0.0,1.0014763939996012e-05,9.730272233921635e-05,0.00029167235530828885,0,0,0,0
2091_basis,1,forward,BTC,2024,1-12_2024_30m_BTCUSDT.csv,0,1000,16,0.009889128337119706,0.1252453871666786,0.00046111970543900193,0.014340223881270923,1,994,282,283,1,0.2837022132796781,0.0004182857602106835,0.0004182857602106835,0.0,3.5648110171217472e-06,3.2780388975213185e-05,9.848771215244172e-05,0,0,0,0
2091_basis,1,forward,BTC,2024,1-12_2024_30m_BTCUSDT.csv,0,1000,32,0.009889128337119706,0.1252453871666786,5.962022762077455e-05,0.0016309847284015626,1,994,261,262,1,0.2625754527162978,5.377284041614607e-05,5.377284041614607e-05,0.0,4.6042834052142376e-07,3.717417419568099e-06,1.1174470334207745e-05,0,0,0,0
2091_basis,1,forward,BTC,2024,1-12_2024_30m_BTCUSDT.csv,0,1000,64,0.009889128337119706,0.1252453871666786,1.0610601481254597e-06,2.1138105410311376e-05,1,994,244,245,1,0.2454728370221328,9.474213651591845e-07,9.474213651591845e-07,0.0,8.170277355070891e-09,4.9565146525751135e-08,1.464417534390821e-07,0,0,0,0
2091_basis,2,reverse,BTC,2024,1-12_2024_30m_BTCUSDT.csv,1000,0,0,0.009098471163288777,0.11910431353628657,0.009098471163288777,0.11910431353628657,1,994,293,294,1,0.2947686116700201,0.0031554726208442513,0.0031554726208442513,0.0,2.697400367478153e-05,0.00027271340536143604,0.0008185410734434529,0,0,0,0
2091_basis,2,reverse,BTC,2024,1-12_2024_30m_BTCUSDT.csv,1000,0,1,0.009098471163288777,0.11910431353628657,0.003013438200665566,0.10403455066917112,1,994,293,294,1,0.2947686116700201,0.0027652707896765006,0.0027652707896765006,0.0,2.3654880427535175e-05,0.00023819950383993427,0.0007149610146736148,0,0,0,0
2091_basis,2,reverse,BTC,2024,1-12_2024_30m_BTCUSDT.csv,1000,0,2,0.009098471163288777,0.11910431353628657,0.0026457623081184664,0.09086984672013958,1,994,293,294,1,0.2947686116700201,0.002424163581088248,0.002424163581088248,0.0,2.074966992888247e-05,0.00020803473189271625,0.0006244609904437647,0,0,0,0
2091_basis,2,reverse,BTC,2024,1-12_2024_30m_BTCUSDT.csv,1000,0,4,0.009098471163288777,0.11910431353628657,0.0020403965001028258,0.06932295389196579,1,994,293,294,1,0.2947686116700201,0.0018646443078204874,0.0018646443078204874,0.0,1.5976960822536738e-05,0.00015864440734143922,0.0004763188772342853,0,0,0,0
2091_basis,2,reverse,BTC,2024,1-12_2024_30m_BTCUSDT.csv,1000,0,8,0.009098471163288777,0.11910431353628657,0.001215203182091268,0.04033375919145951,1,994,293,294,1,0.2947686116700201,0.0011062872561732615,0.0011062872561732615,0.0,9.493866791489362e-06,9.219306896597047e-05,0.00027700575574232314,0,0,0,0
2091_basis,2,reverse,BTC,2024,1-12_2024_30m_BTCUSDT.csv,1000,0,16,0.009098471163288777,0.11910431353628657,0.00043302228279869286,0.01363682407552165,1,994,287,288,1,0.2887323943661972,0.00039237844181816764,0.00039237844181816764,0.0,3.37447473356551e-06,3.109100623749889e-05,9.35446624494797e-05,0,0,0,0
2091_basis,2,reverse,BTC,2024,1-12_2024_30m_BTCUSDT.csv,1000,0,32,0.009098471163288777,0.11910431353628657,5.591454121153189e-05,0.00155085349821264,1,994,266,267,1,0.2676056338028169,5.036880296913765e-05,5.036880296913765e-05,0.0,4.344484318309654e-07,3.5612456323798805e-06,1.0629140530172166e-05,0,0,0,0
2091_basis,2,reverse,BTC,2024,1-12_2024_30m_BTCUSDT.csv,1000,0,64,0.009098471163288777,0.11910431353628657,9.922867047390143e-07,2.0408300016534784e-05,1,994,235,236,1,0.23641851106639838,8.845845861282439e-07,8.845845861282439e-07,0.0,7.659243763058257e-09,4.768441185962145e-08,1.4121618172415134e-07,0,0,0,0
2091_basis,3,forward,BTC,2024,1-12_2024_30m_BTCUSDT.csv,1000,2000,0,0.009098471163288777,0.11910431353628657,0.009098471163288777,0.11910431353628657,1,994,302,303,1,0.3038229376257545,0.003132465832029402,0.003132465832029402,0.0,2.6604851036681964e-05,0.0002735042193221075,0.0008193303045159953,0,0,0,0
2091_basis,3,forward,BTC,2024,1-12_2024_30m_BTCUSDT.csv,1000,2000,1,0.009098471163288777,0.11910431353628657,0.003013438200665566,0.10403455066917112,1,994,295,296,1,0.29678068410462777,0.0027455486608289397,0.0027455486608289397,0.0,2.333653595058014e-05,0.00023888337650818052,0.0007156430770863608,0,0,0,0
2091_basis,3,forward,BTC,2024,1-12_2024_30m_BTCUSDT.csv,1000,2000,2,0.009098471163288777,0.11910431353628657,0.0026457623081184664,0.09086984672013958,1,994,295,296,1,0.29678068410462777,0.002407227097250531,0.002407227097250531,0.0,2.0474882173639806e-05,0.00020862663895819162,0.0006250511514960778,0,0,0,0
2091_basis,3,forward,BTC,2024,1-12_2024_30m_BTCUSDT.csv,1000,2000,4,0.009098471163288777,0.11910431353628657,0.0020403965001028258,0.06932295389196579,1,994,295,296,1,0.29678068410462777,0.0018520945417799068,0.0018520945417799068,0.0,1.577173805199295e-05,0.0001590893983460594,0.00047676202745723813,0,0,0,0
2091_basis,3,forward,BTC,2024,1-12_2024_30m_BTCUSDT.csv,1000,2000,8,0.009098471163288777,0.11910431353628657,0.001215203182091268,0.04033375919145951,1,994,295,296,1,0.29678068410462777,0.0010992905166987811,0.0010992905166987811,0.0,9.37861739693733e-06,9.244653909287482e-05,0.0002772580234178042,0,0,0,0
2091_basis,3,forward,BTC,2024,1-12_2024_30m_BTCUSDT.csv,1000,2000,16,0.009098471163288777,0.11910431353628657,0.00043302228279869286,0.01363682407552165,1,994,282,283,1,0.2837022132796781,0.00039012278038924077,0.00039012278038924077,0.0,3.3376666312308e-06,3.117644873560136e-05,9.362841915786535e-05,0,0,0,0
2091_basis,3,forward,BTC,2024,1-12_2024_30m_BTCUSDT.csv,1000,2000,32,0.009098471163288777,0.11910431353628657,5.591454121153189e-05,0.00155085349821264,1,994,267,268,1,0.2686116700201207,5.0123713519513446e-05,5.0123713519513446e-05,0.0,4.3071150811288227e-07,3.5714909526121984e-06,1.0638899742212547e-05,0,0,0,0
2091_basis,3,forward,BTC,2024,1-12_2024_30m_BTCUSDT.csv,1000,2000,64,0.009098471163288777,0.11910431353628657,9.922867047390143e-07,2.0408300016534784e-05,1,994,228,229,1,0.22937625754527163,8.817544900150548e-07,8.817544900150548e-07,0.0,7.627272705436504e-09,4.781209974590284e-08,1.4134383737615456e-07,0,0,0,0
2091_basis,4,reverse,BTC,2024,1-12_2024_30m_BTCUSDT.csv,2000,1000,0,0.010635609911134332,0.12350702331832737,0.010635609911134332,0.12350702331832737,1,994,292,293,1,0.2937625754527163,0.0033027857423929326,0.0033027857423929326,0.0,2.7939580368887715e-05,0.00028406813064523807,0.0008500959012710301,0,0,0,0
2091_basis,4,reverse,BTC,2024,1-12_2024_30m_BTCUSDT.csv,2000,1000,1,0.010635609911134332,0.12350702331832737,0.0031496944297963853,0.10788316550768123,1,994,292,293,1,0.2937625754527163,0.002894595508108071,0.002894595508108071,0.0,2.4507761663756806e-05,0.0002481167257132315,0.0007425392297829369,0,0,0,0
2091_basis,4,reverse,BTC,2024,1-12_2024_30m_BTCUSDT.csv,2000,1000,2,0.010635609911134332,0.12350702331832737,0.0027657797053440973,0.09423410273308823,1,994,282,283,1,0.2837022132796781,0.0025377736616086412,0.0025377736616086412,0.0,2.150327492641026e-05,0.00021669515495514432,0.0006485630008481495,0,0,0,0
2091_basis,4,reverse,BTC,2024,1-12_2024_30m_BTCUSDT.csv,2000,1000,4,0.010635609911134332,0.12350702331832737,0.0021335932034866243,0.07189364069885504,1,994,282,283,1,0.2837022132796781,0.001952469800723942,0.001952469800723942,0.0,1.6565844215319597e-05,0.00016524606391093513,0.0004947258304015518,0,0,0,0
2091_basis,4,reverse,BTC,2024,1-12_2024_30m_BTCUSDT.csv,2000,1000,8,0.010635609911134332,0.12350702331832737,0.0012715321855504063,0.04183445601632082,1,994,282,283,1,0.2837022132796781,0.0011590335000418988,0.0011590335000418988,0.0,9.854357792432112e-06,9.602042991561184e-05,0.0002877365321366801,0,0,0,0
2091_basis,4,reverse,BTC,2024,1-12_2024_30m_BTCUSDT.csv,2000,1000,16,0.010635609911134332,0.12350702331832737,0.0004537167667504331,0.014147733679854552,1,994,282,283,1,0.2837022132796781,0.00041163145515075994,0.00041163145515075994,0.0,3.5103901700808214e-06,3.235661730248474e-05,9.718129529806602e-05,0,0,0,0
2091_basis,4,reverse,BTC,2024,1-12_2024_30m_BTCUSDT.csv,2000,1000,32,0.010635609911134332,0.12350702331832737,5.8751835967312904e-05,0.001609807987398068,1,994,261,262,1,0.2625754527162978,5.2994829849650586e-05,5.2994829849650586e-05,0.0,4.5401158374589303e-07,3.671863207228357e-06,1.1031808512008184e-05,0,0,0,0
2091_basis,4,reverse,BTC,2024,1-12_2024_30m_BTCUSDT.csv,2000,1000,64,0.010635609911134332,0.12350702331832737,1.048089750779526e-06,2.092365099129355e-05,1,994,244,245,1,0.2454728370221328,9.358609754823999e-07,9.358609754823999e-07,0.0,8.073296167641913e-09,4.907065283283764e-08,1.4496446531031115e-07,0,0,0,0
2091_basis,5,forward,BTC,2024,1-12_2024_30m_BTCUSDT.csv,2000,3000,0,0.010635609911134332,0.12350702331832737,0.010635609911134332,0.12350702331832737,1,994,302,303,1,0.3038229376257545,0.003387098901618847,0.003387098901618847,0.0,2.8280600521293795e-05,0.00028288786479960086,0.0008489163935152356,0,0,0,0
2091_basis,5,forward,BTC,2024,1-12_2024_30m_BTCUSDT.csv,2000,3000,1,0.010635609911134332,0.12350702331832737,0.0031496944297963853,0.10788316550768123,1,994,291,292,1,0.29275653923541245,0.002966553885394926,0.002966553885394926,0.0,2.479986952335755e-05,0.00024709841248917434,0.0007415216458471826,0,0,0,0
2091_basis,5,forward,BTC,2024,1-12_2024_30m_BTCUSDT.csv,2000,3000,2,0.010635609911134332,0.12350702331832737,0.0027657797053440973,0.09423410273308823,1,994,286,287,1,0.28772635814889336,0.0025993028926809235,0.0025993028926809235,0.0,2.1753889893810845e-05,0.00021581541144129803,0.0006476839853328877,0,0,0,0
2091_basis,5,forward,BTC,2024,1-12_2024_30m_BTCUSDT.csv,2000,3000,4,0.010635609911134332,0.12350702331832737,0.0021335932034866243,0.07189364069885504,1,994,286,287,1,0.28772635814889336,0.0019976741230299296,0.0019976741230299296,0.0,1.6751087468755762e-05,0.0001645872926064269,0.0004940677157336492,0,0,0,0
2091_basis,5,forward,BTC,2024,1-12_2024_30m_BTCUSDT.csv,2000,3000,8,0.010635609911134332,0.12350702331832737,0.0012715321855504063,0.04183445601632082,1,994,286,287,1,0.28772635814889336,0.0011837879962747454,0.0011837879962747454,0.0,9.956835609569236e-06,9.564735847170398e-05,0.00028736377653076374,0,0,0,0
2091_basis,5,forward,BTC,2024,1-12_2024_30m_BTCUSDT.csv,2000,3000,16,0.010635609911134332,0.12350702331832737,0.0004537167667504331,0.014147733679854552,1,994,278,279,1,0.2796780684104628,0.00041927600325762475,0.00041927600325762475,0.0,3.5425631822274663e-06,3.223386365908058e-05,9.705881147865228e-05,0,0,0,0
2091_basis,5,forward,BTC,2024,1-12_2024_30m_BTCUSDT.csv,2000,3000,32,0.010635609911134332,0.12350702331832737,5.8751835967312904e-05,0.001609807987398068,1,994,259,260,1,0.2605633802816901,5.372635735748435e-05,5.372635735748435e-05,0.0,4.572041583102141e-07,3.6579935713235683e-06,1.1018134460948679e-05,0,0,0,0
2091_basis,5,forward,BTC,2024,1-12_2024_30m_BTCUSDT.csv,2000,3000,64,0.010635609911134332,0.12350702331832737,1.048089750779526e-06,2.092365099129355e-05,1,994,239,240,1,0.24044265593561368,9.403294262272377e-07,9.403294262272377e-07,0.0,8.09763071135491e-09,4.889134856461181e-08,1.4478515718010125e-07,0,0,0,0
2091_basis,6,reverse,BTC,2024,1-12_2024_30m_BTCUSDT.csv,3000,2000,0,0.009035609212267188,0.12687011529685102,0.009035609212267188,0.12687011529685102,1,994,302,303,1,0.3038229376257545,0.0034026567177567147,0.0034026567177567147,0.0,2.8927367728495548e-05,0.0002914000609851385,0.0008728460907960979,0,0,0,0
2091_basis,6,reverse,BTC,2024,1-12_2024_30m_BTCUSDT.csv,3000,2000,1,0.009035609212267188,0.12687011529685102,0.003271936764892982,0.11081774636753633,1,994,295,296,1,0.29678068410462777,0.0029824060716238778,0.0029824060716238778,0.0,2.5375157143315826e-05,0.00025451341061280477,0.0007623903871268132,0,0,0,0
2091_basis,6,reverse,BTC,2024,1-12_2024_30m_BTCUSDT.csv,3000,2000,2,0.009035609212267188,0.12687011529685102,0.0028730706553911703,0.09679475846022174,1,994,295,296,1,0.29678068410462777,0.002615002357718505,0.002615002357718505,0.0,2.226517244805868e-05,0.00022227528662535246,0.0006658839772217013,0,0,0,0
2091_basis,6,reverse,BTC,2024,1-12_2024_30m_BTCUSDT.csv,3000,2000,4,0.009035609212267188,0.12687011529685102,0.002216310739762336,0.07384325402208063,1,994,295,296,1,0.29678068410462777,0.0020122419348195418,0.0020122419348195418,0.0,1.7154115649254766e-05,0.00016949108166190193,0.0005079115031633501,0,0,0,0
2091_basis,6,reverse,BTC,2024,1-12_2024_30m_BTCUSDT.csv,3000,2000,8,0.009035609212267188,0.12687011529685102,0.0013208133727834945,0.04296441997851578,1,994,295,296,1,0.29678068410462777,0.0011948884676229177,0.0011948884676229177,0.0,1.0205893815064949e-05,9.847414195855165e-05,0.00029537465419071575,0,0,0,0
2091_basis,6,reverse,BTC,2024,1-12_2024_30m_BTCUSDT.csv,3000,2000,16,0.009035609212267188,0.12687011529685102,0.0004713227289132762,0.014526953721043588,1,994,282,283,1,0.2837022132796781,0.00042458167607121056,0.00042458167607121056,0.0,3.6368021679994476e-06,3.317097529159526e-05,9.973972245933959e-05,0,0,0,0
2091_basis,6,reverse,BTC,2024,1-12_2024_30m_BTCUSDT.csv,3000,2000,32,0.009035609212267188,0.12687011529685102,6.10460704619807e-05,0.0016523433406281903,1,994,267,268,1,0.2686116700201207,5.4713294116129525e-05,5.4713294116129525e-05,0.0,4.707036201633316e-07,3.7528549610571405e-06,1.1314557381315584e-05,0,0,0,0
