dataset,profile_component,triads,a_to_b_mean_identity_auc,a_to_b_median_identity_rank,a_to_b_label_null_max_auc,a_to_b_auc_label_p,b_to_a_mean_identity_auc,b_to_a_median_identity_rank,b_to_a_label_null_max_auc,b_to_a_auc_label_p,mutual_nearest_edges,same_triad_mutual_edges_posthoc,edge_label_null_permutations,edge_label_null_mean_same_source_edges,edge_label_null_max_same_source_edges,same_source_edge_label_p,profile_used_source_label,fields_connected,production_field_modified,memory_written,influences_action,viranz_parameter_used
2091_basis,edge,16,0.9083333333333333,2.0,0.7458333333333333,0.000244081034903588,0.8666666666666667,2.0,0.7541666666666667,0.000244081034903588,10,4,4096,0.61865234375,4,0.002196729314132292,0,0,0,0,0,0
2091_basis,center,16,0.8958333333333334,3.0,0.75,0.000244081034903588,0.8583333333333334,2.5,0.7291666666666666,0.000244081034903588,10,3,4096,0.630615234375,5,0.028313400048816207,0,0,0,0,0,0
2091_basis,combined,16,0.8916666666666667,2.5,0.775,0.000244081034903588,0.8625,2.0,0.7458333333333333,0.000244081034903588,10,3,4096,0.6337890625,4,0.021235050036612156,0,0,0,0,0,0
2091_basis,strict_edge,16,0.9083333333333333,2.0,0.7583333333333333,0.000244081034903588,0.8958333333333334,2.0,0.7875,0.000244081034903588,9,4,4096,0.552490234375,5,0.00244081034903588,0,0,0,0,0,0
2091_basis,strict_center,16,0.7708333333333334,4.0,0.7354166666666667,0.000244081034903588,0.81875,3.5,0.7895833333333333,0.000244081034903588,8,3,4096,0.495849609375,4,0.01195997071027581,0,0,0,0,0,0
2091_basis,strict_combined,16,0.9020833333333333,2.0,0.7541666666666667,0.000244081034903588,0.9208333333333334,2.0,0.7395833333333334,0.000244081034903588,10,5,4096,0.62353515625,4,0.000244081034903588,0,0,0,0,0,0
2092_holdout,edge,15,0.9142857142857143,2,0.7476190476190477,0.000244081034903588,0.9,2,0.7619047619047618,0.000244081034903588,8,3,4096,0.521728515625,4,0.013180375884793752,0,0,0,0,0,0
2092_holdout,center,15,0.9,2,0.7857142857142857,0.000244081034903588,0.8904761904761905,2,0.7428571428571428,0.000244081034903588,7,2,4096,0.4453125,3,0.0710275811569441,0,0,0,0,0,0
2092_holdout,combined,15,0.9142857142857143,2,0.7523809523809523,0.000244081034903588,0.9095238095238095,2,0.7523809523809523,0.000244081034903588,8,3,4096,0.533203125,5,0.013668537954600928,0,0,0,0,0,0
2092_holdout,strict_edge,15,0.719047619047619,4,0.7523809523809523,0.002928972418843056,0.7380952380952381,4,0.7666666666666667,0.001464486209421528,7,1,4096,0.447509765625,4,0.3700268489138394,0,0,0,0,0,0
2092_holdout,strict_center,15,0.7333333333333333,3,0.7333333333333333,0.000732243104710764,0.7595238095238095,4,0.7285714285714285,0.000244081034903588,8,1,4096,0.5302734375,4,0.4210397852086893,0,0,0,0,0,0
2092_holdout,strict_combined,15,0.7761904761904762,4,0.8214285714285714,0.000732243104710764,0.8047619047619048,3,0.7547619047619047,0.000244081034903588,7,2,4096,0.467041015625,5,0.07688552599463022,0,0,0,0,0,0
