transfer,source_relations,source_gap_instances,target_relations,target_worlds,predictions,frozen_source_mean_score,target_online_mean_score,target_full_mean_score_diagnostic,frozen_minus_online_mean,frozen_minus_target_full_mean,frozen_better_than_online,frozen_equal_to_online,frozen_worse_than_online,frozen_online_nontie_win_share,first_half_frozen_minus_online,second_half_frozen_minus_online,positive_target_sources,target_sources,future_target_reads,label_identity_p,read_by_mini_dio,influences_field,influences_action
2091_basis_to_2092_holdout,2580,7512,1932,60,5875,0.9309787234042554,0.9138738077769626,0.9319794570799707,0.017104915627292737,-0.0010007336757153346,968,4295,612,0.6126582278481013,0.04524106724918084,0.00013877781436703128,6,6,0,0.000999000999000999,0,0,0
2092_holdout_to_2091_basis,1932,5875,2580,64,7512,0.9386368906523755,0.9250264093579306,0.9400464632931396,0.013610481294445016,-0.0014095726407640263,955,5875,682,0.5833842394624312,0.03244321247579852,0.0007444724725882325,4,4,0,0.000999000999000999,0,0,0
