preview_symbol,shift_label,real_origin,shuffle_origin,random_sign_origin,real_state,shuffle_state,random_sign_state,real_function,shuffle_function,random_sign_function,real_depth,shuffle_depth,random_sign_depth,real_null_share,shuffle_null_share,random_sign_null_share,real_mixed_share,shuffle_mixed_share,random_sign_mixed_share,real_count,shuffle_count,random_sign_count
dio_mcm_episode_12tgchq,realwelt_stabil,realwelt_getragen,realwelt_getragen,realwelt_getragen,positive_recoupling_field_phase,stable_crossworld_field_phase,stable_crossworld_field_phase,milieu_island,milieu_island,milieu_island,0.824693,0.859001,0.859984,0.0,0.14698492462311558,0.2624909485879797,0.0,0.0,0.0,2037,2388,2762
dio_mcm_episode_0nu3wih,realwelt_stabil,realwelt_getragen,realwelt_getragen,realwelt_getragen,stable_crossworld_field_phase,stable_crossworld_field_phase,stable_crossworld_field_phase,active_recoupling,active_recoupling,active_recoupling,0.814007,0.826714,0.822826,0.0,0.06280193236714976,0.14912280701754385,0.0,0.0,0.0,388,414,456
dio_mcm_episode_15z3zml,realwelt_stabil,realwelt_getragen,realwelt_getragen,realwelt_getragen,positive_recoupling_field_phase,stable_crossworld_field_phase,stable_crossworld_field_phase,active_recoupling,active_recoupling,active_recoupling,0.765175,0.796331,0.798964,0.0,0.16216216216216217,0.29545454545454547,0.0,0.0,0.0,31,37,44
dio_mcm_episode_171moy1,realwelt_stabil,realwelt_getragen,realwelt_getragen,realwelt_getragen,positive_recoupling_field_phase,stable_crossworld_field_phase,stable_crossworld_field_phase,active_recoupling,active_recoupling,active_recoupling,0.745621,0.771291,0.784621,0.0,0.17391304347826086,0.2962962962962963,0.0,0.0,0.0,19,23,27
dio_mcm_episode_1i3ov0z,realwelt_stabil,realwelt_getragen,realwelt_getragen,realwelt_getragen,positive_recoupling_field_phase,positive_recoupling_field_phase,positive_recoupling_field_phase,active_recoupling,active_recoupling,active_recoupling,0.729424,0.759879,0.760127,0.0,0.03125,0.015873015873015872,0.0,0.0,0.0,62,64,63
dio_mcm_episode_1fdlu6e,realwelt_stabil,realwelt_getragen,realwelt_getragen,realwelt_getragen,positive_recoupling_field_phase,positive_recoupling_field_phase,positive_recoupling_field_phase,milieu_island,milieu_island,milieu_island,0.728673,0.769849,0.728673,0.0,0.01303538175046555,0.0,0.0,0.0,0.0,530,537,530
dio_mcm_episode_0f9q533,realwelt_stabil,realwelt_getragen,realwelt_getragen,realwelt_getragen,positive_recoupling_field_phase,positive_recoupling_field_phase,positive_recoupling_field_phase,active_recoupling,active_recoupling,active_recoupling,0.717095,0.737321,0.734653,0.0,0.1875,0.1875,0.0,0.0,0.0,13,16,16
dio_mcm_episode_0hiolzy,realwelt_stabil,realwelt_getragen,realwelt_getragen,realwelt_getragen,positive_recoupling_field_phase,positive_recoupling_field_phase,positive_recoupling_field_phase,milieu_island,milieu_island,milieu_island,0.702644,0.702644,0.702644,0.0,0.0,0.0,0.0,0.0,0.0,15,15,15
dio_mcm_episode_16bqw8k,realwelt_stabil,realwelt_getragen,realwelt_getragen,realwelt_getragen,stable_crossworld_field_phase,stable_crossworld_field_phase,stable_crossworld_field_phase,active_recoupling,active_recoupling,active_recoupling,0.701787,0.73278,0.728449,0.0,0.3,0.2222222222222222,0.0,0.0,0.0,21,30,27
dio_mcm_episode_19h8lor,realwelt_stabil,realwelt_getragen,realwelt_getragen,realwelt_getragen,positive_recoupling_field_phase,positive_recoupling_field_phase,positive_recoupling_field_phase,active_recoupling,active_recoupling,active_recoupling,0.698505,0.722451,0.711966,0.0,0.2,0.047619047619047616,0.0,0.0,0.0,20,25,21
dio_mcm_episode_0nleev0,realwelt_stabil,realwelt_getragen,realwelt_getragen,realwelt_getragen,positive_recoupling_field_phase,positive_recoupling_field_phase,positive_recoupling_field_phase,active_recoupling,active_recoupling,active_recoupling,0.695127,0.714209,0.711816,0.0,0.09090909090909091,0.16666666666666666,0.0,0.0,0.0,10,11,12
dio_mcm_episode_0mfdlry,realwelt_stabil,realwelt_getragen,realwelt_getragen,realwelt_getragen,positive_recoupling_field_phase,stable_crossworld_field_phase,positive_recoupling_field_phase,active_recoupling,active_recoupling,active_recoupling,0.676972,0.709819,0.68825,0.0,0.25,0.07692307692307693,0.0,0.0,0.0,12,16,13
dio_mcm_episode_0hlxzy4,realwelt_stabil,realwelt_getragen,realwelt_getragen,realwelt_getragen,positive_recoupling_field_phase,positive_recoupling_field_phase,positive_recoupling_field_phase,active_recoupling,active_recoupling,active_recoupling,0.671779,0.671779,0.681886,0.0,0.0,0.125,0.0,0.0,0.0,7,7,8
dio_mcm_episode_1f9nms9,realwelt_stabil,realwelt_getragen,realwelt_getragen,realwelt_getragen,positive_recoupling_field_phase,positive_recoupling_field_phase,positive_recoupling_field_phase,active_recoupling,active_recoupling,active_recoupling,0.660881,0.680781,0.687039,0.0,0.125,0.2222222222222222,0.0,0.0,0.0,7,8,9
dio_mcm_episode_0d5sirp,realwelt_stabil,realwelt_getragen,realwelt_getragen,realwelt_getragen,positive_recoupling_field_phase,positive_recoupling_field_phase,positive_recoupling_field_phase,active_recoupling,active_recoupling,active_recoupling,0.651479,0.651479,0.677028,0.0,0.0,0.18181818181818182,0.0,0.0,0.0,9,9,11
dio_mcm_episode_00svqqo,realwelt_stabil,realwelt_getragen,realwelt_getragen,realwelt_getragen,positive_recoupling_field_phase,positive_recoupling_field_phase,positive_recoupling_field_phase,active_recoupling,active_recoupling,active_recoupling,0.651396,0.684034,0.681485,0.0,0.18181818181818182,0.1,0.0,0.0,0.0,9,11,10
dio_mcm_episode_17q5fcr,realwelt_stabil,realwelt_getragen,realwelt_getragen,realwelt_getragen,positive_recoupling_field_phase,positive_recoupling_field_phase,positive_recoupling_field_phase,milieu_island,milieu_island,milieu_island,0.651076,0.651076,0.651076,0.0,0.0,0.0,0.0,0.0,0.0,22,22,22
dio_mcm_episode_0a6jsal,realwelt_stabil,realwelt_getragen,realwelt_getragen,realwelt_getragen,positive_recoupling_field_phase,positive_recoupling_field_phase,positive_recoupling_field_phase,active_recoupling,active_recoupling,active_recoupling,0.649818,0.683143,0.649818,0.0,0.125,0.0,0.0,0.0,0.0,7,8,7
dio_mcm_episode_1iwpq62,realwelt_stabil,realwelt_getragen,realwelt_getragen,realwelt_getragen,positive_recoupling_field_phase,positive_recoupling_field_phase,positive_recoupling_field_phase,active_recoupling,active_recoupling,active_recoupling,0.643518,0.676988,0.678564,0.0,0.13636363636363635,0.09523809523809523,0.0,0.0,0.0,19,22,21
dio_mcm_episode_1rppkb5,realwelt_stabil,realwelt_getragen,realwelt_getragen,realwelt_getragen,positive_recoupling_field_phase,positive_recoupling_field_phase,positive_recoupling_field_phase,active_recoupling,active_recoupling,active_recoupling,0.640174,0.640174,0.640174,0.0,0.0,0.0,0.0,0.0,0.0,17,17,17
dio_mcm_episode_02ixe4y,realwelt_stabil,realwelt_getragen,realwelt_getragen,realwelt_getragen,positive_recoupling_field_phase,positive_recoupling_field_phase,positive_recoupling_field_phase,milieu_island,milieu_island,milieu_island,0.639739,0.680239,0.639739,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,6,7,6
dio_mcm_episode_13upl05,realwelt_stabil,realwelt_getragen,realwelt_getragen,realwelt_getragen,positive_recoupling_field_phase,positive_recoupling_field_phase,positive_recoupling_field_phase,active_recoupling,active_recoupling,active_recoupling,0.63532,0.63532,0.63532,0.0,0.0,0.0,0.0,0.0,0.0,16,16,16
dio_mcm_episode_13vl4wk,realwelt_stabil,realwelt_getragen,realwelt_getragen,realwelt_getragen,positive_recoupling_field_phase,positive_recoupling_field_phase,positive_recoupling_field_phase,active_recoupling,active_recoupling,active_recoupling,0.630953,0.709731,0.687001,0.0,0.11538461538461539,0.20689655172413793,0.0,0.0,0.0,23,26,29
dio_mcm_episode_0g2f7e4,realwelt_stabil,realwelt_getragen,realwelt_getragen,realwelt_getragen,positive_recoupling_field_phase,positive_recoupling_field_phase,positive_recoupling_field_phase,active_recoupling,active_recoupling,active_recoupling,0.627072,0.627072,0.654844,0.0,0.0,0.25,0.0,0.0,0.0,6,6,8
dio_mcm_episode_1xppyx0,realwelt_stabil,realwelt_getragen,realwelt_getragen,realwelt_getragen,positive_recoupling_field_phase,positive_recoupling_field_phase,positive_recoupling_field_phase,active_recoupling,active_recoupling,active_recoupling,0.626926,0.626926,0.626926,0.0,0.0,0.0,0.0,0.0,0.0,6,6,6
dio_mcm_episode_0vnrnvb,realwelt_stabil,realwelt_getragen,realwelt_getragen,realwelt_getragen,positive_recoupling_field_phase,stable_crossworld_field_phase,stable_crossworld_field_phase,open_surface,open_surface,open_surface,0.62238,0.64228,0.642318,0.0,0.125,0.125,0.0,0.0,0.0,7,8,8
