role_family,members,total_follow_events,event_concentration,shared_label_count,majority_label_count,mean_label_jaccard,min_label_jaccard,max_mcm_distance,mean_mcm_distance,avg_carry,avg_strain,avg_rekopplung,family_reading,shared_labels,majority_labels,member_symbols,boundary
rf_05,8,2397,0.265332,6,10,0.832738,0.700000,0.017157,0.010308,0.516500,0.136250,0.703750,familie_breit_getragen,btc2025_current;doge2025;doge2025_clean;paxg2025;sol2026_stable;xrp2025_clean,btc2025_current;btc2025_follow;doge2025;doge2025_clean;doge2025_follow;paxg2025;paxg2025_follow;sol2026_stable;xrp2025_clean;xrp2025_follow,dio_0fe7;dio_1xrt;dio_17dc;dio_1ba6;dio_0v65;dio_0ein;dio_0u24;dio_0qup,passive_family_cohesion_trace_no_action_no_direction
rf_06,8,800,0.183750,5,6,0.743197,0.555556,0.012070,0.007849,0.471750,0.176250,0.675250,familie_breit_getragen,btc2025_current;doge2025;doge2025_clean;paxg2025;xrp2025_clean,btc2025_current;doge2025;doge2025_clean;paxg2025;sol2026_stable;xrp2025_clean,dio_0s8r;dio_1xme;dio_0f8s;dio_0nx9;dio_0gh3;dio_1ejq;dio_0lr0;dio_1yhs,passive_family_cohesion_trace_no_action_no_direction
rf_13,3,434,0.603687,6,9,0.722222,0.600000,0.006848,0.004739,0.454333,0.202000,0.652333,familie_breit_getragen,btc2025_current;doge2025;doge2025_clean;paxg2025;paxg2025_follow;xrp2025_clean,btc2025_current;doge2025;doge2025_clean;doge2025_follow;paxg2025;paxg2025_follow;sol2026_stable;xrp2025_clean;xrp2025_follow,dio_1sub;dio_1t9l;dio_14l0,passive_family_cohesion_trace_no_action_no_direction
rf_07,2,2342,0.611870,10,10,1.000000,1.000000,0.001658,0.001658,0.531500,0.154500,0.701500,familie_breit_getragen,btc2025_current;btc2025_follow;doge2025;doge2025_clean;doge2025_follow;paxg2025;paxg2025_follow;sol2026_stable;xrp2025_clean;xrp2025_follow,btc2025_current;btc2025_follow;doge2025;doge2025_clean;doge2025_follow;paxg2025;paxg2025_follow;sol2026_stable;xrp2025_clean;xrp2025_follow,dio_1ewh;dio_0g2r,passive_family_cohesion_trace_no_action_no_direction
rf_10,2,435,0.556322,6,8,0.750000,0.750000,0.004301,0.004301,0.468500,0.198500,0.661000,familie_breit_getragen,btc2025_current;doge2025;doge2025_clean;paxg2025;sol2026_stable;xrp2025_clean,btc2025_current;doge2025;doge2025_clean;doge2025_follow;paxg2025;paxg2025_follow;sol2026_stable;xrp2025_clean,dio_0jsd;dio_0ioc,passive_family_cohesion_trace_no_action_no_direction
rf_08,2,307,0.504886,8,10,0.800000,0.800000,0.001581,0.001581,0.504500,0.142000,0.695500,familie_breit_getragen,btc2025_current;btc2025_follow;doge2025;doge2025_clean;doge2025_follow;paxg2025;sol2026_stable;xrp2025_clean,btc2025_current;btc2025_follow;doge2025;doge2025_clean;doge2025_follow;paxg2025;paxg2025_follow;sol2026_stable;xrp2025_clean;xrp2025_follow,dio_0h6t;dio_1w94,passive_family_cohesion_trace_no_action_no_direction
rf_17,2,307,0.540717,5,7,0.714286,0.714286,0.001118,0.001118,0.444000,0.200500,0.655000,familie_breit_getragen,btc2025_current;doge2025;doge2025_clean;paxg2025;xrp2025_clean,btc2025_current;btc2025_follow;doge2025;doge2025_clean;paxg2025;sol2026_stable;xrp2025_clean,dio_1udx;dio_1cmd,passive_family_cohesion_trace_no_action_no_direction
rf_21,2,1446,0.714385,7,10,0.700000,0.700000,0.004637,0.004637,0.503000,0.183500,0.677500,familie_kernlastig_getragen,btc2025_current;doge2025;doge2025_clean;paxg2025;sol2026_stable;xrp2025_clean;xrp2025_follow,btc2025_current;btc2025_follow;doge2025;doge2025_clean;doge2025_follow;paxg2025;paxg2025_follow;sol2026_stable;xrp2025_clean;xrp2025_follow,dio_1pij;dio_1v2w,passive_family_cohesion_trace_no_action_no_direction
