scope,permutations,seed,observed_shared_edges,null_mean_shared_edges,null_sd_shared_edges,null_max_shared_edges,observed_to_null_ratio,z_score,empirical_p_ge_observed
raw_equal,200,2084,10283,5259.4,404.8095972182478,6346,1.9551659885158004,12.409784833464785,0.004975124378109453
depth_rank_movement,200,2084,7712,1554.185,185.96225631831854,2115,4.962086238124805,33.113251699094455,0.004975124378109453
support_rank_movement,200,2084,7708,1547.215,186.43786840392698,2106,4.9818544933962,33.04470842078258,0.004975124378109453
full_rank_movement,200,2084,7709,1546.15,186.41128587078626,2106,4.985932800827863,33.060498301974434,0.004975124378109453
robust,200,2084,7707,1540.265,186.80033397989416,2104,5.003684430925847,33.012440977025996,0.004975124378109453
