raum,symbol_family,role_status,worlds,family_events,total_events,event_share,fields,bridge_reifung,bridge_mcm
real_multi_asset,dio_17j2,weltuebergreifende_grundrolle,5,46,119928,0.000384,tragende_rekopplung:5,weltuebergreifend_feldstabil,0.503/0.132/0.706
null_shuffle,dio_17j2,weltuebergreifende_grundrolle,7,26,107952,0.000241,tragende_rekopplung:7,weltuebergreifend_feldstabil,0.491/0.138/0.699
