dataset,profile_mode,direction,comparison_scope,source_key,source_asset,source_year,source_file,source_start,cohort_a_transition_observations,cohort_b_transition_observations,cohort_a_exact_convergence_count,cohort_b_exact_convergence_count,cohort_a_max_convergence_tick,cohort_b_max_convergence_tick,candidate_pool_size,same_source_distance,nearest_other_distance,identity_rank,identity_distance_tie_size,identity_in_nearest_tie,identity_unique_nearest,nearest_tie_size,identity_auc,source_label_read_by_field,field_learning_used,memory_read,memory_written,influences_action
2091_basis,raw,a_to_b,global,2091_basis|BTC|2024|0,BTC,2024,1-12_2024_30m_BTCUSDT.csv,0,41,40,4,4,305,293,56,37.0,29.0,35,3,0,0,1,0.36363636363636365,0,0,0,0,0
2091_basis,raw,a_to_b,global,2091_basis|BTC|2024|10000,BTC,2024,1-12_2024_30m_BTCUSDT.csv,10000,43,41,4,4,305,293,56,38.0,31.0,34,3,0,0,1,0.38181818181818183,0,0,0,0,0
2091_basis,raw,a_to_b,global,2091_basis|BTC|2024|11000,BTC,2024,1-12_2024_30m_BTCUSDT.csv,11000,34,37,4,4,305,293,56,35.0,36.0,1,1,1,1,1,1.0,0,0,0,0,0
2091_basis,raw,a_to_b,global,2091_basis|BTC|2024|12000,BTC,2024,1-12_2024_30m_BTCUSDT.csv,12000,43,44,4,4,305,293,56,35.0,32.0,13,6,0,0,1,0.7363636363636363,0,0,0,0,0
2091_basis,raw,a_to_b,global,2091_basis|BTC|2024|13000,BTC,2024,1-12_2024_30m_BTCUSDT.csv,13000,43,38,4,4,305,293,56,39.0,31.0,35,4,0,0,1,0.35454545454545455,0,0,0,0,0
2091_basis,raw,a_to_b,global,2091_basis|BTC|2024|14000,BTC,2024,1-12_2024_30m_BTCUSDT.csv,14000,38,39,4,4,305,293,56,31.0,30.0,2,1,0,0,1,0.9818181818181818,0,0,0,0,0
2091_basis,raw,a_to_b,global,2091_basis|BTC|2024|15000,BTC,2024,1-12_2024_30m_BTCUSDT.csv,15000,40,38,4,4,305,293,56,30.0,29.0,2,4,0,0,1,0.9545454545454546,0,0,0,0,0
2091_basis,raw,a_to_b,global,2091_basis|BTC|2024|2000,BTC,2024,1-12_2024_30m_BTCUSDT.csv,2000,38,44,4,4,305,293,56,36.0,30.0,17,7,0,0,1,0.6545454545454545,0,0,0,0,0
2091_basis,raw,a_to_b,global,2091_basis|BTC|2024|3000,BTC,2024,1-12_2024_30m_BTCUSDT.csv,3000,38,37,4,4,305,293,56,41.0,30.0,42,4,0,0,1,0.22727272727272727,0,0,0,0,0
2091_basis,raw,a_to_b,global,2091_basis|BTC|2024|4000,BTC,2024,1-12_2024_30m_BTCUSDT.csv,4000,40,36,4,4,305,293,56,40.0,33.0,20,6,0,0,1,0.6090909090909091,0,0,0,0,0
