transfer,source_relations,target_relations,target_worlds,predictions,cumulative_mean_score,frozen_source_mean_score,target_online_mean_score,target_full_mean_score_diagnostic,cumulative_minus_frozen_mean,cumulative_minus_online_mean,cumulative_minus_target_full_mean,cumulative_better_than_frozen,cumulative_equal_to_frozen,cumulative_worse_than_frozen,cumulative_frozen_nontie_win_share,cumulative_frozen_one_sided_sign_p,cumulative_better_than_online,cumulative_equal_to_online,cumulative_worse_than_online,first_half_cumulative_minus_frozen,second_half_cumulative_minus_frozen,positive_target_sources,target_sources,future_target_reads,label_identity_p,read_by_mini_dio,influences_field,influences_action
2091_basis_plus_2092_holdout,2580,1932,60,5875,0.9311049156272927,0.9309787234042554,0.9138738077769626,0.9319794570799707,0.00012619222303741762,0.017231107850330152,-0.000874541452677917,145,5620,110,0.5686274509803921,0.016518452262756948,877,4472,526,-9.751911374629445e-05,0.0002610904643176369,5,6,0,0.8955223880597015,0,0,0
2092_holdout_plus_2091_basis,1932,2580,64,7512,0.9387818200556529,0.9386368906523755,0.9250264093579306,0.9400464632931396,0.00014492940327733792,0.013755410697722353,-0.0012646432374866883,455,6620,437,0.5100896860986547,0.2846217236680094,709,6486,317,3.9674562786318314e-05,0.00021683664250142905,3,4,0,1.0,0,0,0
