asset,window_start,window_end,world_label,source_path,data_path,world_events,role_family,target_members,found_members,member_coverage,found_symbols,missing_symbols,total_family_events,family_event_share,event_concentration,event_balance,dominant_member,phase_complete_members,phase_complete_ratio,early_family_events,late_family_events,mean_rekopplung_spaet,mean_strain_spaet,mean_afterimage_delta,mean_temporal_delta,source_follow_reading,boundary,world_kind,timeframe,year
BTC,0,1000,real_btc_2024_1h_0_1000,data/1-12_2024_1h_BTCUSDT.csv,data/generated/2074_rf05_holdout/holdout_2074_btc_2024_1h_start0_rows1000.csv,994,rf_05,8,5,0.625,dio_0fe7;dio_1xrt;dio_17dc;dio_1ba6;dio_0qup,dio_0v65;dio_0ein;dio_0u24,13,0.013078470824949699,0.38461538461538464,0.7032967032967034,dio_0fe7,0,0.0,4,4,0.74202725,0.14824175,0.131469,0.20752574999999995,familie_fragmentarisch_lesbar,passive_same_basis_family_followworld_summary_no_action_no_direction,real,1h,2024
BTC,0,1000,real_btc_2024_15m_0_1000,data/1-12_2024_15m_BTCUSDT.csv,data/generated/2074_rf05_holdout/holdout_2074_btc_2024_15m_start0_rows1000.csv,994,rf_05,8,4,0.5,dio_0fe7;dio_1xrt;dio_17dc;dio_0v65,dio_1ba6;dio_0ein;dio_0u24;dio_0qup,15,0.015090543259557344,0.4,0.6857142857142857,dio_1xrt,1,0.125,5,6,0.7453363333333334,0.14244216666666668,0.2409515333333333,0.5720604999999999,familie_fragmentarisch_lesbar,passive_same_basis_family_followworld_summary_no_action_no_direction,real,15m,2024
BTC,3000,4000,real_btc_2024_1h_3000_4000,data/1-12_2024_1h_BTCUSDT.csv,data/generated/2074_rf05_holdout/holdout_2074_btc_2024_1h_start3000_rows1000.csv,994,rf_05,8,6,0.75,dio_0fe7;dio_1xrt;dio_17dc;dio_1ba6;dio_0v65;dio_0ein,dio_0u24;dio_0qup,22,0.022132796780684104,0.3181818181818182,0.7792207792207793,dio_1xrt,2,0.25,8,4,0.747514,0.1391745,0.18577212499999998,0.37395899999999993,familie_fragmentarisch_lesbar,passive_same_basis_family_followworld_summary_no_action_no_direction,real,1h,2024
BTC,6000,7000,real_btc_2024_1h_6000_7000,data/1-12_2024_1h_BTCUSDT.csv,data/generated/2074_rf05_holdout/holdout_2074_btc_2024_1h_start6000_rows1000.csv,994,rf_05,8,7,0.875,dio_0fe7;dio_1xrt;dio_17dc;dio_1ba6;dio_0v65;dio_0ein;dio_0u24,dio_0qup,22,0.022132796780684104,0.22727272727272727,0.8831168831168831,dio_17dc,3,0.375,11,4,0.7488145,0.141866,0.20771697727272728,0.35784299999999997,familie_fragmentarisch_lesbar,passive_same_basis_family_followworld_summary_no_action_no_direction,real,1h,2024
BTC,12000,13000,real_btc_2024_15m_12000_13000,data/1-12_2024_15m_BTCUSDT.csv,data/generated/2074_rf05_holdout/holdout_2074_btc_2024_15m_start12000_rows1000.csv,994,rf_05,8,6,0.75,dio_0fe7;dio_1xrt;dio_17dc;dio_0v65;dio_0ein;dio_0qup,dio_1ba6;dio_0u24,22,0.022132796780684104,0.22727272727272727,0.8831168831168831,dio_0fe7,2,0.25,10,8,0.745167375,0.1451,0.19866495000000003,0.37735882499999995,familie_fragmentarisch_lesbar,passive_same_basis_family_followworld_summary_no_action_no_direction,real,15m,2024
BTC,24000,25000,real_btc_2024_15m_24000_25000,data/1-12_2024_15m_BTCUSDT.csv,data/generated/2074_rf05_holdout/holdout_2074_btc_2024_15m_start24000_rows1000.csv,994,rf_05,8,7,0.875,dio_0fe7;dio_1xrt;dio_17dc;dio_1ba6;dio_0v65;dio_0ein;dio_0qup,dio_0u24,20,0.02012072434607646,0.35,0.7428571428571429,dio_0fe7,3,0.375,7,6,0.7470865,0.14099050000000002,0.20776861904761906,0.4250554285714286,familie_fragmentarisch_lesbar,passive_same_basis_family_followworld_summary_no_action_no_direction,real,15m,2024
SOL,0,1000,real_sol_2024_1h_0_1000,data/1-12_2024_1h_SOLUSDT.csv,data/generated/2074_rf05_holdout/holdout_2074_sol_2024_1h_start0_rows1000.csv,994,rf_05,8,7,0.875,dio_0fe7;dio_1xrt;dio_17dc;dio_1ba6;dio_0v65;dio_0ein;dio_0u24,dio_0qup,23,0.023138832997987926,0.30434782608695654,0.7950310559006211,dio_0v65,1,0.125,15,3,0.7469993333333332,0.132066,0.03838159999999999,0.2912243333333335,familie_fragmentarisch_lesbar,passive_same_basis_family_followworld_summary_no_action_no_direction,real,1h,2024
SOL,0,1000,real_sol_2024_15m_0_1000,data/1-12_2024_15m_SOLUSDT.csv,data/generated/2074_rf05_holdout/holdout_2074_sol_2024_15m_start0_rows1000.csv,994,rf_05,8,8,1.0,dio_0fe7;dio_1xrt;dio_17dc;dio_1ba6;dio_0v65;dio_0ein;dio_0u24;dio_0qup,,24,0.02414486921529175,0.4166666666666667,0.6666666666666666,dio_1xrt,1,0.125,5,12,0.747195,0.13949391666666666,0.23638206666666667,0.4240095833333333,familie_als_ganzes_lesbar,passive_same_basis_family_followworld_summary_no_action_no_direction,real,15m,2024
SOL,3000,4000,real_sol_2024_1h_3000_4000,data/1-12_2024_1h_SOLUSDT.csv,data/generated/2074_rf05_holdout/holdout_2074_sol_2024_1h_start3000_rows1000.csv,994,rf_05,8,8,1.0,dio_0fe7;dio_1xrt;dio_17dc;dio_1ba6;dio_0v65;dio_0ein;dio_0u24;dio_0qup,,19,0.019114688128772636,0.2631578947368421,0.8421052631578948,dio_0fe7,0,0.0,7,3,0.7447646666666667,0.14718399999999998,0.2312957142857143,0.523706761904762,familie_als_ganzes_lesbar,passive_same_basis_family_followworld_summary_no_action_no_direction,real,1h,2024
SOL,6000,7000,real_sol_2024_1h_6000_7000,data/1-12_2024_1h_SOLUSDT.csv,data/generated/2074_rf05_holdout/holdout_2074_sol_2024_1h_start6000_rows1000.csv,994,rf_05,8,7,0.875,dio_0fe7;dio_1xrt;dio_17dc;dio_1ba6;dio_0v65;dio_0ein;dio_0qup,dio_0u24,24,0.02414486921529175,0.3333333333333333,0.761904761904762,dio_0v65,2,0.25,7,6,0.7473193333333333,0.1464215,0.35722880952380953,0.5749013095238095,familie_fragmentarisch_lesbar,passive_same_basis_family_followworld_summary_no_action_no_direction,real,1h,2024
