holdout_id,group,role_family,component,observed_relation,pseudo_same_relation,pseudo_families,mean_match_distance,median_source_event_ratio,observed_control_minus_real_family_continuity_score,pseudo_mean_control_minus_real_family_continuity_score,observed_percentile_control_minus_real_family_continuity_score,observed_control_minus_real_mean_family_event_share,pseudo_mean_control_minus_real_mean_family_event_share,observed_percentile_control_minus_real_mean_family_event_share,observed_control_minus_real_mean_member_coverage,pseudo_mean_control_minus_real_mean_member_coverage,observed_percentile_control_minus_real_mean_member_coverage
2081_30m_windows,overall,rf_05,volume,verstaerkt,3,100,0.2312181863878203,0.9826866916979557,0.10823854477473605,-0.02610986446389863,1.0,0.0039682539682539715,0.00013385870780236966,1.0,0.11805555555555558,-0.045798611111111116,1.0
2081_30m_windows,year:2024,rf_05,volume,verstaerkt,0,100,0.2312181863878203,0.9826866916979557,0.16999372367994803,-0.04555691036660939,1.0,0.004750726581712498,-0.0007545271629778675,1.0,0.20138888888888895,-0.0811111111111111,1.0
2081_30m_windows,year:2025,rf_05,volume,verstaerkt,41,100,0.2312181863878203,0.9826866916979557,0.04932049955559903,-0.00653543841117596,1.0,0.0031857813547954417,0.0010222445785826068,1.0,0.03472222222222221,-0.010486111111111116,0.825
2081_30m_windows,asset:BTC,rf_05,volume,verstaerkt,16,100,0.2312181863878203,0.9826866916979557,0.12306331749035149,-0.015555699825652951,1.0,0.004191817572099261,0.0008338922423429464,1.0,0.13194444444444442,-0.04583333333333334,1.0
2081_30m_windows,asset:SOL,rf_05,volume,verstaerkt,0,100,0.2312181863878203,0.9826866916979557,0.09688892745723199,-0.03566029661117062,1.0,0.003744690364408672,-0.0005661748267382071,1.0,0.10416666666666663,-0.04576388888888889,1.0
2081_30m_windows,overall,rf_06,volume,abgeschwaecht,4,100,0.5210120305799294,1.345,-0.10158117435846314,0.01614258428570052,0.0,-0.0011178180192264703,0.000938687681645428,0.0,-0.12847222222222224,0.04128472222222222,0.0
2081_30m_windows,year:2024,rf_06,volume,abgeschwaecht,4,100,0.5210120305799294,1.345,-0.1366369047619047,0.034581329238496064,0.0,-0.0015090543259557343,0.0010501900290632684,0.0,-0.17361111111111113,0.08673611111111111,0.0
2081_30m_windows,year:2025,rf_06,volume,abgeschwaecht,10,100,0.5210120305799294,1.345,-0.05940279620620187,-0.0032713886060898568,0.0,-0.0007265817124972058,0.0008271853342275876,0.0,-0.08333333333333334,-0.004166666666666667,0.0
2081_30m_windows,asset:BTC,rf_06,volume,abgeschwaecht,9,100,0.5210120305799294,1.345,-0.11545721187025532,0.022121129737931747,0.0,-0.001229599821149117,0.0005533199195171025,0.0,-0.1388888888888889,0.042083333333333334,0.0
2081_30m_windows,asset:SOL,rf_06,volume,abgeschwaecht,2,100,0.5210120305799294,1.345,-0.05881583694083692,0.01349603384760672,0.0,-0.0010060362173038226,0.0013240554437737534,0.0,-0.11805555555555558,0.04048611111111112,0.0
