follow_status,families,origin_present_in,follow_fields,max_follow_events
gereift_zu_robuster_feldsyntax,72,xrp_only:66;multi_only:6,tragende_rekopplung:41;offene_rekopplung:18;spannungsnahe_oeffnung:13,34
nicht_wiedergefunden,282,xrp_only:189;multi_only:93,-:282,0
wiedergefunden_jung,224,xrp_only:203;multi_only:21,tragende_rekopplung:98;offene_rekopplung:79;spannungsnahe_oeffnung:40;offener_feldkontakt:7,82
