dataset,worlds,sources,approximate_carried_opportunities,approximate_new_opportunities,excluded_non_simultaneous_carried,excluded_non_simultaneous_new,carried_opportunities,carried_continued,carried_continuation_rate,new_opportunities,new_continued,new_continuation_rate,continuation_rate_difference,continuation_rate_ratio,age_strata,age_stratified_common_odds_ratio,age_stratified_one_sided_p,source_age_strata,source_age_common_odds_ratio,source_age_one_sided_p,source_age_label_null_empirical_p,sources_with_positive_difference,sources_with_negative_difference,leave_one_out_positive,leave_one_out_negative,read_by_mini_dio,influences_field,influences_action
2091_basis,64,4,10872,10242,4769,4856,6103,4043,0.6624610847124365,5386,3492,0.6483475677682882,0.014113516944148308,1.021768442801026,40,1.0889439225806221,0.016278425899433638,110,1.0626727413246007,0.06697858444550282,0.06846576711644178,3,1,4,0,0,0,0
2092_holdout,60,6,6920,7169,2822,3193,4098,2550,0.6222547584187409,3976,2513,0.6320422535211268,-0.009787495102385857,0.9845144924285372,31,0.9352053141254324,0.925569810174831,94,0.9209366112572753,0.9591461520588158,0.9585207396301849,3,3,1,5,0,0,0
