role_family,component,response_axis,primary_direction,expected_sign,group_order,observed_sign_path,groups_matching_expected,groups_tested,overall_delta_event_share,overall_null_percentile,directional_null_match,strict_direction_replicated,overall_pseudo_same_relation
rf_05,volume,event_share,1,1,overall;year:2024;year:2025;asset:BTC;asset:SOL,1;1;1;1;1,5,5,0.0039682539682539715,1.0,1,1,3
rf_06,volume,event_share,0,,overall;year:2024;year:2025;asset:BTC;asset:SOL,-1;-1;-1;-1;-1,,5,-0.0011178180192264703,0.0,,,4
rf_07,volume,event_share,1,1,overall;year:2024;year:2025;asset:BTC;asset:SOL,1;1;1;1;1,5,5,0.004247708473060583,1.0,1,1,46
rf_08,volume,event_share,1,1,overall;year:2024;year:2025;asset:BTC;asset:SOL,-1;-1;1;-1;0,1,5,-0.00011178180192264724,0.515,0,0,57
rf_10,volume,event_share,0,,overall;year:2024;year:2025;asset:BTC;asset:SOL,-1;-1;-1;-1;-1,,5,-0.0006427453610552203,0.03,,,22
rf_13,volume,event_share,0,,overall;year:2024;year:2025;asset:BTC;asset:SOL,1;1;1;1;-1,,5,0.00030739995528727927,0.595,,,44
rf_17,volume,event_share,1,-1,overall;year:2024;year:2025;asset:BTC;asset:SOL,-1;-1;-1;-1;-1,5,5,-0.0007265817124972055,0.04,1,1,46
rf_21,volume,event_share,1,-1,overall;year:2024;year:2025;asset:BTC;asset:SOL,-1;-1;1;1;-1,3,5,-0.001173708920187793,0.0,1,0,6
