dataset,worlds,relations,age_layers,synchrony_pair_ages,lifecycle_pair_ages,lifecycle_share_of_synchrony,lifecycle_without_synchrony,transitions,transition_current_pairs,transition_future_pairs,retained_pair_identities,retention_rate,turnover_rate,identity_null_analytic_expected,identity_observed_to_expected_ratio,rhythm_null_empirical_p,identity_null_empirical_p,read_by_mini_dio,influences_field,influences_action
2091_basis,64,2580,61,414706,212466,0.512329216360506,0,50,182781,179062,96023,0.5253445379990261,0.47465546200097386,33047.02968334426,2.9056469195594814,0.015968063872255488,0.004975124378109453,0,0,0
2092_holdout,60,1932,50,332387,159199,0.4789567582366338,0,48,149018,149773,81318,0.5456924666818773,0.4543075333181227,31227.44357905919,2.6040556215921256,0.023952095808383235,0.004975124378109453,0,0,0
