transfer,target_source,predictions,cumulative_mean_score,frozen_source_mean_score,target_online_mean_score,target_full_mean_score_diagnostic,cumulative_minus_frozen_mean,cumulative_minus_online_mean,cumulative_minus_target_full_mean,cumulative_better_than_frozen,cumulative_equal_to_frozen,cumulative_worse_than_frozen,cumulative_frozen_nontie_win_share,cumulative_frozen_one_sided_sign_p,cumulative_better_than_online,cumulative_equal_to_online,cumulative_worse_than_online
2091_basis_plus_2092_holdout,DOGE_2024,1050,0.9288998357963875,0.9285385878489327,0.9132512315270936,0.9298932676518883,0.00036124794745484454,0.015648604269293924,-0.0009934318555008216,21,1019,10,0.6774193548387096,0.035377772990614176,145,815,90
2091_basis_plus_2092_holdout,DOGE_2025,1175,0.9276669112252385,0.9274908290535583,0.9143727072633896,0.9274981658107117,0.00017608217168011783,0.013294203961848864,0.00016874541452677983,32,1124,19,0.6274509803921569,0.045957274907927115,171,910,94
2091_basis_plus_2092_holdout,PAXG_2024,445,0.9516272762495157,0.9516079039132119,0.9348314606741573,0.9512204571871368,1.9372336303758398e-05,0.016795815575358388,0.00040681906237892407,3,439,3,0.5,0.65625,63,357,25
2091_basis_plus_2092_holdout,PAXG_2025,706,0.9520977825534824,0.9520611507277522,0.9377503174758229,0.9535508449741135,3.663182573019486e-05,0.014347465077659468,-0.0014530624206310452,16,674,16,0.5,0.5699749670457095,64,593,49
2091_basis_plus_2092_holdout,XRP_2024,1318,0.9218905342472922,0.9217204751190414,0.9073570195175553,0.9241405473287635,0.00017005912825074547,0.014533514729736798,-0.0022500130814714072,37,1265,16,0.6981132075471698,0.0027431724383800704,199,943,176
2091_basis_plus_2092_holdout,XRP_2025,1181,0.9264869047271453,0.9265744985255043,0.8990335484247716,0.9268956757861543,-8.759379835907645e-05,0.02745335630237379,-0.00040877105900902205,36,1099,46,0.43902439024390244,0.8878777358469591,235,854,92
2092_holdout_plus_2091_basis,BTC_2024,1815,0.9362081222785035,0.9362747711721319,0.9218030747356261,0.9372389584999555,-6.664889362836547e-05,0.014405047542877454,-0.001030836221452057,106,1585,124,0.4608695652173913,0.8949116361888784,182,1565,68
2092_holdout_plus_2091_basis,BTC_2025,2084,0.9280307720884156,0.9279456380409882,0.9185538047179741,0.929810847625534,8.513404742740519e-05,0.009476967370441456,-0.0017800755371184457,146,1786,152,0.4899328859060403,0.6574096448176936,216,1769,99
2092_holdout_plus_2091_basis,SOL_2024,1996,0.9499038399379404,0.9496533389359364,0.935120240480962,0.9500816148425885,0.0002505010020040097,0.014783599456978472,-0.00017777490464800598,112,1801,83,0.5743589743589743,0.02233625793029703,174,1761,61
2092_holdout_plus_2091_basis,SOL_2025,1617,0.9417978335029026,0.9414686695792687,0.9245267021764718,0.944002234324815,0.0003291639236339703,0.017271131326430864,-0.002204400821912343,91,1448,78,0.5384615384615384,0.17800206325234233,137,1391,89
