dataset,universe_scope,paths,sources,original_synchrony_excess,alternative_order_excess_mean,alternative_order_excess_min,alternative_order_excess_max,forward_rotation_excess_mean,forward_rotation_excess_min,forward_rotation_excess_max,reverse_rotation_excess_mean,reverse_rotation_excess_min,reverse_rotation_excess_max,original_minus_alternative_mean,alternative_orders_at_least_original,forward_orders_at_least_original,reverse_orders_at_least_original,order_empirical_upper_p,positive_sources,negative_sources,tie_sources,positive_sources_vs_forward,negative_sources_vs_forward,tie_sources_vs_forward,positive_sources_vs_reverse,negative_sources_vs_reverse,tie_sources_vs_reverse,source_sign_upper_p,positive_paths,negative_paths,tie_paths,positive_paths_vs_forward,nonpositive_paths_vs_forward,positive_paths_vs_reverse,nonpositive_paths_vs_reverse,alternative_orders
2091_basis,a,384,48,3987.338368539,1740.898156671,-824.017119856,4473.892245719,3534.907168362,-824.017119856,4473.892245719,96.389895953,-97.60120846,256.817724118,2246.440211868,4,4,0,0.208333,48,0,0,48,0,0,48,0,0,3.5527136788e-15,384,0,0,197,187,384,0,23
2091_basis,b,384,48,5101.622356484,1861.153728274,-121.842900315,4763.146022141,3588.325368482,-121.842900315,4763.146022141,277.913058083,120.214501542,678.100704913,3240.46862821,0,0,0,0.041667,48,0,0,48,0,0,48,0,0,3.5527136788e-15,384,0,0,379,5,384,0,23
2091_basis,all,768,48,9088.960725023,3602.051884944,-945.860020171,9237.03826786,7123.232536844,-945.860020171,9237.03826786,374.302954036,203.729103761,580.499496453,5486.908840079,1,1,0,0.083333,48,0,0,48,0,0,48,0,0,3.5527136788e-15,768,0,0,576,192,768,0,23
2092_holdout,a,352,44,4234.141993955,1838.980515787,122.887210513,4577.830815731,3665.682504816,630.724068517,4577.830815731,164.50369251,122.887210513,284.701913389,2395.161478168,5,5,0,0.25,44,0,0,44,0,0,44,0,0,5.68434188608e-14,352,0,0,244,108,352,0,23
2092_holdout,b,352,44,3865.594159114,1974.25325101,-10.058408892,5001.982880185,3989.757850403,283.966767362,5001.982880185,126.707368234,-10.058408892,480.821752257,1891.340908104,9,9,0,0.416667,44,0,0,3,41,0,44,0,0,5.68434188608e-14,264,88,0,151,201,352,0,23
2092_holdout,all,704,44,8099.736153069,3813.233766797,143.146022118,9127.761329321,7655.440355218,914.690835879,9127.761329321,291.211060744,143.146022118,765.523665646,4286.502386272,6,6,0,0.291667,44,0,0,44,0,0,44,0,0,5.68434188608e-14,616,88,0,395,309,704,0,23
