dataset,finalization_index,world_label,new_relation_events,changed_relations,active_relations,active_age_cohorts,maximum_current_relation_age,current_synchrony_pairs,new_lifecycle_observations,cumulative_lifecycle_observations,lifecycle_exact_at_finalization,lifecycle_prefix_exact,event_prefix_fingerprint,event_state_changed,maximum_event_finalization_read,future_event_reads
2091_basis,1,W2089_D_001,0,0,0,0,0,0,0,0,1,1,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1,1,0
2091_basis,2,W2089_D_002,17,17,17,0,0,0,0,0,1,1,07327e2cbaca35c19ca5b05d5478e42d4bfa53560bfbc0ae2f4987622c590a18,1,2,0
2091_basis,3,W2089_D_003,29,29,42,1,2,6,6,6,1,1,af6298c49a80e76f3cd66bd9ee65cf3a4459c4c74e978be43682847c7ce9b6c9,1,3,0
2091_basis,4,W2089_D_004,41,41,74,2,3,55,25,31,1,1,c2547a84c04278e3f879afd371bc6e410fd529011f2e429d33e702e375783906,1,4,0
2091_basis,5,W2089_D_005,49,49,104,3,4,256,70,101,1,1,8c2b5827907848ce461154e56dba4a8e2b6bfa277a66752606f98e0c7fca31fe,1,5,0
2091_basis,6,W2089_D_006,53,53,129,4,5,399,117,218,1,1,b1adcfd52ddbf58c40c0d46cbf533e8dd61def27682fe37da93532c37bc44734,1,6,0
2091_basis,7,W2089_D_007,68,68,164,5,6,508,166,384,1,1,58f493e98d616c9e288f23ad24ba221525f5ffb4e9735dbe281a7e654bc1b6e6,1,7,0
2091_basis,8,W2089_D_008,55,55,191,6,7,656,141,525,1,1,c5f1ca85b94b000e5ad01adcda2e2a508e5d03ab75b7b86e2a54500ce9339216,1,8,0
2091_basis,9,W2089_D_009,80,80,232,7,8,859,228,753,1,1,31af48899d73f4a6afeefb5836129a068946c6b2bc1ee8c17d177614f83daa1c,1,9,0
2091_basis,10,W2089_D_010,79,79,254,8,9,1214,446,1199,1,1,d3449c97e038cbb879808c10178d73547205f15ad9eb1020f7527beb30f54f39,1,10,0
2091_basis,11,W2089_D_011,90,90,300,8,10,1658,375,1574,1,1,6c290eb9020c306e7d9855a4ef20d3518af91be712f6e696efc0835dcb7cdd66,1,11,0
2091_basis,12,W2089_D_012,91,91,332,9,11,2007,473,2047,1,1,8a32c64ed733aac78e0c826bb8c447f2a852ecb14aa392289ed2f4a4bc44afc4,1,12,0
2091_basis,13,W2089_D_013,123,123,372,10,12,2469,741,2788,1,1,bddc68c3e7ee7ad807584da83a789c64f080de777b533513a0662ac08ae3188c,1,13,0
2091_basis,14,W2089_D_014,92,92,396,11,13,3001,713,3501,1,1,9230bbfba1785e9d2af351e99ef35a17f95f7a7fe2e9237e46cf338039b86080,1,14,0
2091_basis,15,W2089_D_015,140,140,455,11,13,3780,1018,4519,1,1,824f42983e17093bebf3eaee11b25c789300e16e262f84f7ba2c7ebf256debd5,1,15,0
2091_basis,16,W2089_D_016,126,126,505,13,14,4591,1270,5789,1,1,8b1d9cb08266f3b875c3a193cba777a6890cae3c4ce0ddff724c7d0034e66eb2,1,16,0
2091_basis,17,W2089_D_017,101,101,539,13,15,4506,632,6421,1,1,a0d86d3960eae234265c6080e4a36e44a6ec9ab6f0620894092c5890e8723e0f,1,17,0
2091_basis,18,W2089_D_018,103,103,555,14,16,5653,1550,7971,1,1,1308202f648231d1294cc8ca283ac1afd60b2ccdfd817294e8075ab8c81e9983,1,18,0
2091_basis,19,W2089_D_019,96,96,573,15,17,7658,1290,9261,1,1,774934657cb147a39b21bfb43d5d16286432339056c84f6dfe9cb9349557a3af,1,19,0
2091_basis,20,W2089_D_020,126,126,608,16,18,8597,1653,10914,1,1,03cf8c784590b0dfb6db445291bb03de69dad16d827d55538950301479336edf,1,20,0
2091_basis,21,W2089_D_021,141,141,659,17,19,10065,1438,12352,1,1,57efd604b1c7ca55d7a7dd07bcb9872b8826a1feeeb39b56edc891de115b84af,1,21,0
2091_basis,22,W2089_D_022,145,145,705,17,20,10985,2062,14414,1,1,359e11a5df369032dfa196445bd55843bb213ec2962e6d643b725842882bd085,1,22,0
2091_basis,23,W2089_D_023,114,114,738,17,21,11528,1244,15658,1,1,2199daf2f99406a896cafee1515025477b04b73793605256fe835f6cf79a8747,1,23,0
2091_basis,24,W2089_D_024,105,105,747,18,22,11853,1327,16985,1,1,de1cfef540bb40ed5b0b75276d1583cc901965c130c4680234c7e39ed99f108c,1,24,0
2091_basis,25,W2089_D_025,143,143,788,19,23,13731,2284,19269,1,1,c45edf6fde51bb4d78a8c61bfb4a20e2c19b6dc01390511ff4d850106a6320b9,1,25,0
2091_basis,26,W2089_D_026,197,197,867,19,24,15004,2748,22017,1,1,22c00b8656d45aea664ec19ebcedbcd524a1e57d776f29311ad6b437b9e6ef63,1,26,0
2091_basis,27,W2089_D_027,174,174,918,21,25,15349,1902,23919,1,1,b0915346d24418b1a3a33438ee64aef5c64ad80f35ac4eb05130efde63816d33,1,27,0
2091_basis,28,W2089_D_028,140,140,931,22,26,17664,3361,27280,1,1,22402e45cbb048089c7806e0fef26748014b2a214c63f5f63adb42b71dd7860a,1,28,0
2091_basis,29,W2089_D_029,189,189,995,23,27,18143,1863,29143,1,1,59282c2af7d89b5de199f520cf3427137b7e1afffccd6fc630c80869d3d0732f,1,29,0
2091_basis,30,W2089_D_030,172,172,1029,24,28,21896,3715,32858,1,1,23ea8cf522920c4fc4d0e2d436d8d0924f4f8772f6ea575f176d43cce342fa6f,1,30,0
2091_basis,31,W2089_D_031,143,143,1056,25,29,23861,3312,36170,1,1,75f28536efbd246c8d65d6267a1e16b7e9d0078607b1c03dd2a0434453b7bda8,1,31,0
2091_basis,32,W2089_D_032,212,212,1136,26,30,27392,4194,40364,1,1,d9ecf9d909dc9176de9c5411fee7cd36bfad8f05f312f1ed7918093224f95a71,1,32,0
2091_basis,33,W2089_D_033,173,173,1160,28,31,28624,3780,44144,1,1,e32ce3071a7f0fceff9533fa5f98c23bf7b57f978655a8175871c0e31c875952,1,33,0
2091_basis,34,W2089_D_034,197,197,1192,27,32,31899,6012,50156,1,1,f1881a873f1f0fb8f3f2ad90fb7f382f5e258ca599c285045a92760fb453a762,1,34,0
2091_basis,35,W2089_D_035,189,189,1226,29,33,33478,3277,53433,1,1,ece3ed27df4ae8ed1b7929d065afd82a073c39ae5e032ea295b82922dbdcf224,1,35,0
2091_basis,36,W2089_D_036,181,181,1291,28,34,33424,2477,55910,1,1,277bf08c4ccdb41fdc943df34ecf3cfffe366e67979cfd20a8f2e9a4a87c030b,1,36,0
2091_basis,37,W2089_D_037,150,150,1322,29,35,33328,2558,58468,1,1,245efdfea4dc4cc42568fa0d865482dd5b8d8d8921d1e68c52383a79268986d2,1,37,0
2091_basis,38,W2089_D_038,122,122,1334,31,36,34004,1923,60391,1,1,5868f22cdb7e5a7de3fd56b0966ebecc7bede4084351c1a7881cf446ee934c53,1,38,0
2091_basis,39,W2089_D_039,136,136,1343,31,37,33690,1813,62204,1,1,644fcae1678d46c33e871c1af61a3808a7cf1b6434d975228bfdfc677ec138ef,1,39,0
2091_basis,40,W2089_D_040,200,200,1368,33,38,36034,4939,67143,1,1,b3eba9778b2c2033b8807bd62ee9c19308e912c15d8c0a5f60d313e50714ca7a,1,40,0
2091_basis,41,W2089_D_041,200,200,1440,34,39,37702,3350,70493,1,1,1ef0ffb2f82efb93d04fecd5bd91e7eb88c787e5782f8a61a0affb9ec9e2b025,1,41,0
2091_basis,42,W2089_D_042,142,142,1446,35,40,37741,3508,74001,1,1,2796a6c09f22dd74a2bb8fcd25eba4913418d6ef64ddb2f932854728765e2840,1,42,0
2091_basis,43,W2089_D_043,230,230,1482,35,41,41118,6534,80535,1,1,b24365cde728117d4f79be9da57c94d885ffda7be152f388dd5008072638a37e,1,43,0
2091_basis,44,W2089_D_044,174,174,1527,38,42,41565,2694,83229,1,1,c0ae8b83f9f883583d0e7ed0d4bb4851d7a776a77e60185809dc4479fac40247,1,44,0
2091_basis,45,W2089_D_045,200,200,1542,38,43,47564,7919,91148,1,1,38c2e0c86afb48db16ce09472a65659aea19ad70aaa1e9862e3b2cea3998d9d6,1,45,0
2091_basis,46,W2089_D_046,166,166,1560,40,44,48554,2905,94053,1,1,164c155ce5a061c83e49a9168a252f241a101fc6bc6f8bd88e7011b2d8d7fb45,1,46,0
2091_basis,47,W2089_D_047,216,216,1654,39,45,48256,1483,95536,1,1,c08fe0c35b3a4c3214de71f555824283dd4cdbe80f70cbf641cf875e2467de6c,1,47,0
