relation_age,scope,forward_edges,reverse_edges,shared_edges,shared_edge_nodes,edge_jaccard
2,raw_equal,5401,4515,87,101,0.008851358225658764
2,event_cadence,38077,32784,2190,700,0.031891191332585805
2,breadth_growth,449768,415270,189450,946,0.28042238760901617
2,profile_growth,118532,107052,29291,831,0.14922080767016654
2,full_movement,5478,4606,90,107,0.009005403241945167
2,robust,5401,4515,87,101,0.008851358225658764
3,raw_equal,118,81,0,0,0.0
3,event_cadence,2599,2065,61,52,0.013252226808603084
3,breadth_growth,129714,119612,29284,445,0.13308368402395906
3,profile_growth,21821,18898,2748,211,0.07237101998893893
3,full_movement,311,285,0,0,0.0
3,robust,123,85,0,0,0.0
5,raw_equal,2,2,0,0,0.0
5,event_cadence,286,259,8,8,0.0148975791433892
5,breadth_growth,25268,23305,3332,101,0.07365000773634535
5,profile_growth,2951,1784,109,23,0.02356247297881539
5,full_movement,112,114,2,4,0.008928571428571428
5,robust,4,3,0,0,0.0
10,raw_equal,0,0,0,0,0.0
10,event_cadence,87,85,1,2,0.005847953216374269
10,breadth_growth,1888,1766,171,19,0.04909560723514212
10,profile_growth,250,118,6,4,0.016574585635359115
10,full_movement,54,47,0,0,0.0
10,robust,0,0,0,0,0.0
