group,real_worlds,real_world_presence_ratio,real_whole_family_ratio,real_mean_member_coverage,real_mean_family_event_share,real_mean_phase_complete_ratio,real_member_distribution_drift,real_mean_afterimage_delta,real_mean_temporal_delta,real_family_continuity_score,shuffle_world_presence_ratio,real_minus_shuffle_world_presence_ratio,shuffle_whole_family_ratio,real_minus_shuffle_whole_family_ratio,shuffle_mean_member_coverage,real_minus_shuffle_mean_member_coverage,shuffle_mean_family_event_share,real_minus_shuffle_mean_family_event_share,shuffle_mean_phase_complete_ratio,real_minus_shuffle_mean_phase_complete_ratio,shuffle_member_distribution_drift,real_minus_shuffle_member_distribution_drift,shuffle_mean_afterimage_delta,real_minus_shuffle_mean_afterimage_delta,shuffle_mean_temporal_delta,real_minus_shuffle_mean_temporal_delta,shuffle_family_continuity_score,real_minus_shuffle_family_continuity_score,random_sign_world_presence_ratio,real_minus_random_sign_world_presence_ratio,random_sign_whole_family_ratio,real_minus_random_sign_whole_family_ratio,random_sign_mean_member_coverage,real_minus_random_sign_mean_member_coverage,random_sign_mean_family_event_share,real_minus_random_sign_mean_family_event_share,random_sign_mean_phase_complete_ratio,real_minus_random_sign_mean_phase_complete_ratio,random_sign_member_distribution_drift,real_minus_random_sign_member_distribution_drift,random_sign_mean_afterimage_delta,real_minus_random_sign_mean_afterimage_delta,random_sign_mean_temporal_delta,real_minus_random_sign_mean_temporal_delta,random_sign_family_continuity_score,real_minus_random_sign_family_continuity_score,sign_shuffle_world_presence_ratio,real_minus_sign_shuffle_world_presence_ratio,sign_shuffle_whole_family_ratio,real_minus_sign_shuffle_whole_family_ratio,sign_shuffle_mean_member_coverage,real_minus_sign_shuffle_mean_member_coverage,sign_shuffle_mean_family_event_share,real_minus_sign_shuffle_mean_family_event_share,sign_shuffle_mean_phase_complete_ratio,real_minus_sign_shuffle_mean_phase_complete_ratio,sign_shuffle_member_distribution_drift,real_minus_sign_shuffle_member_distribution_drift,sign_shuffle_mean_afterimage_delta,real_minus_sign_shuffle_mean_afterimage_delta,sign_shuffle_mean_temporal_delta,real_minus_sign_shuffle_mean_temporal_delta,sign_shuffle_family_continuity_score,real_minus_sign_shuffle_family_continuity_score,magnitude_shuffle_world_presence_ratio,real_minus_magnitude_shuffle_world_presence_ratio,magnitude_shuffle_whole_family_ratio,real_minus_magnitude_shuffle_whole_family_ratio,magnitude_shuffle_mean_member_coverage,real_minus_magnitude_shuffle_mean_member_coverage,magnitude_shuffle_mean_family_event_share,real_minus_magnitude_shuffle_mean_family_event_share,magnitude_shuffle_mean_phase_complete_ratio,real_minus_magnitude_shuffle_mean_phase_complete_ratio,magnitude_shuffle_member_distribution_drift,real_minus_magnitude_shuffle_member_distribution_drift,magnitude_shuffle_mean_afterimage_delta,real_minus_magnitude_shuffle_mean_afterimage_delta,magnitude_shuffle_mean_temporal_delta,real_minus_magnitude_shuffle_mean_temporal_delta,magnitude_shuffle_family_continuity_score,real_minus_magnitude_shuffle_family_continuity_score,wick_shuffle_world_presence_ratio,real_minus_wick_shuffle_world_presence_ratio,wick_shuffle_whole_family_ratio,real_minus_wick_shuffle_whole_family_ratio,wick_shuffle_mean_member_coverage,real_minus_wick_shuffle_mean_member_coverage,wick_shuffle_mean_family_event_share,real_minus_wick_shuffle_mean_family_event_share,wick_shuffle_mean_phase_complete_ratio,real_minus_wick_shuffle_mean_phase_complete_ratio,wick_shuffle_member_distribution_drift,real_minus_wick_shuffle_member_distribution_drift,wick_shuffle_mean_afterimage_delta,real_minus_wick_shuffle_mean_afterimage_delta,wick_shuffle_mean_temporal_delta,real_minus_wick_shuffle_mean_temporal_delta,wick_shuffle_family_continuity_score,real_minus_wick_shuffle_family_continuity_score,volume_shuffle_world_presence_ratio,real_minus_volume_shuffle_world_presence_ratio,volume_shuffle_whole_family_ratio,real_minus_volume_shuffle_whole_family_ratio,volume_shuffle_mean_member_coverage,real_minus_volume_shuffle_mean_member_coverage,volume_shuffle_mean_family_event_share,real_minus_volume_shuffle_mean_family_event_share,volume_shuffle_mean_phase_complete_ratio,real_minus_volume_shuffle_mean_phase_complete_ratio,volume_shuffle_member_distribution_drift,real_minus_volume_shuffle_member_distribution_drift,volume_shuffle_mean_afterimage_delta,real_minus_volume_shuffle_mean_afterimage_delta,volume_shuffle_mean_temporal_delta,real_minus_volume_shuffle_mean_temporal_delta,volume_shuffle_family_continuity_score,real_minus_volume_shuffle_family_continuity_score,paired_shuffle_windows,paired_shuffle_event_share_real_wins,paired_shuffle_coverage_real_wins,paired_shuffle_joint_real_advantage,paired_random_sign_windows,paired_random_sign_event_share_real_wins,paired_random_sign_coverage_real_wins,paired_random_sign_joint_real_advantage,paired_sign_shuffle_windows,paired_sign_shuffle_event_share_real_wins,paired_sign_shuffle_coverage_real_wins,paired_sign_shuffle_joint_real_advantage,paired_magnitude_shuffle_windows,paired_magnitude_shuffle_event_share_real_wins,paired_magnitude_shuffle_coverage_real_wins,paired_magnitude_shuffle_joint_real_advantage,paired_wick_shuffle_windows,paired_wick_shuffle_event_share_real_wins,paired_wick_shuffle_coverage_real_wins,paired_wick_shuffle_joint_real_advantage,paired_volume_shuffle_windows,paired_volume_shuffle_event_share_real_wins,paired_volume_shuffle_coverage_real_wins,paired_volume_shuffle_joint_real_advantage
overall,12,1.0,0.16666666666666666,0.8229166666666666,0.021965124077800133,0.21875,0.11182712487301241,0.21320021189574315,0.4111403143849206,0.7577227599054889,1.0,0.0,0.0,0.16666666666666666,0.7604166666666666,0.0625,0.018611670020120725,0.0033534540576794086,0.14583333333333334,0.07291666666666666,0.07844828558220299,0.033378839290809426,0.17128308035113035,0.041917131544612796,0.36299228008357387,0.04814803430134673,0.6974843146718146,0.060238445233674276,1.0,0.0,0.25,-0.08333333333333334,0.84375,-0.02083333333333337,0.022719651240778002,-0.0007545271629778687,0.2604166666666667,-0.041666666666666685,0.09146734771477878,0.02035977715823363,0.2051933074106449,0.008006904485098248,0.3879061839470715,0.02323413043784911,0.7821865115972588,-0.024463751691769953,1.0,0.0,0.16666666666666666,0.0,0.8020833333333334,0.02083333333333326,0.01970154258886653,0.0022635814889336026,0.19791666666666666,0.020833333333333343,0.09845640383813099,0.01337072103488142,0.20714786844636845,0.006052343449374692,0.41039374379208754,0.0007465705928330624,0.7481962386018236,0.00952652130366527,1.0,0.0,0.4166666666666667,-0.25,0.875,-0.05208333333333337,0.022719651240778002,-0.0007545271629778687,0.28125,-0.0625,0.2356851353244446,-0.12385801045143219,0.1902685859103859,0.02293162598535725,0.4684577550722426,-0.057317440687321974,0.8298310929537867,-0.07210833304829778,1.0,0.0,0.08333333333333333,0.08333333333333333,0.8020833333333334,0.02083333333333326,0.025821596244131457,-0.0038564721663313234,0.25,-0.03125,0.09349890826736884,0.01832821660564357,0.2325763116464554,-0.01937609975071225,0.3861844298141673,0.024955884570753317,0.733110119047619,0.02461264085786985,1.0,0.0,0.16666666666666666,0.0,0.8854166666666666,-0.0625,0.028755868544600938,-0.006790744466800804,0.3854166666666667,-0.16666666666666669,0.12147108083354925,-0.00964395596053684,0.24804205954369704,-0.034841847647953894,0.4247897667378917,-0.013649452352971103,0.7791933482576704,-0.02147058835218152,12,9,6,6,12,5,2,2,12,7,6,5,12,5,2,2,12,3,5,1,12,1,3,0
asset:BTC,6,1.0,0.0,0.7291666666666666,0.019114688128772636,0.22916666666666666,0.09301100059284634,0.1953905341089466,0.385633750595238,0.6914238721804511,1.0,0.0,0.0,0.0,0.75,-0.02083333333333337,0.01743796109993293,0.0016767270288397078,0.14583333333333334,0.08333333333333331,0.11519607843137256,-0.022185077838526218,0.1487883640873016,0.04660217002164502,0.30265596567460323,0.08297778492063479,0.6938186813186813,-0.002394809138230203,1.0,0.0,0.16666666666666666,-0.16666666666666666,0.7916666666666666,-0.0625,0.0204560697518444,-0.0013413816230717635,0.20833333333333334,0.020833333333333315,0.08019587325687162,0.012815127335974716,0.21081422833555333,-0.015423694226606721,0.3388974603202353,0.0467362902750027,0.7409787275565963,-0.049554855376145235,1.0,0.0,0.16666666666666666,-0.16666666666666666,0.7916666666666666,-0.0625,0.017605633802816902,0.0015090543259557339,0.1875,0.04166666666666666,0.08199535133202215,0.011015649260824184,0.22103132037037035,-0.025640786261423743,0.4800763074074074,-0.0944425568121694,0.7442261904761903,-0.052802318295739226,1.0,0.0,0.0,0.0,0.7708333333333334,-0.04166666666666674,0.02112676056338028,-0.002012072434607645,0.22916666666666666,0.0,0.2888729960069134,-0.19586199541406707,0.20947487727272726,-0.014084343163780655,0.5533311548821549,-0.16769740428691687,0.7023313492063492,-0.010907477025898116,1.0,0.0,0.0,0.0,0.7291666666666666,0.0,0.024144869215291753,-0.005030181086519116,0.25,-0.020833333333333343,0.08706195244055073,0.005949048152295605,0.25679082765799016,-0.061400293549043555,0.40840177407638656,-0.022768023481148536,0.6901289682539683,0.0012949039264827933,1.0,0.0,0.16666666666666666,-0.16666666666666666,0.875,-0.14583333333333337,0.02934272300469484,-0.010228034875922203,0.4166666666666667,-0.18750000000000003,0.14099052386912211,-0.047979523276275776,0.24335179185906686,-0.04796125775012025,0.4172067862433862,-0.03157303564814817,0.7783996598639455,-0.08697578768349445,6,4,2,2,6,2,0,0,6,3,2,2,6,2,1,1,6,1,2,1,6,0,1,0
asset:SOL,6,1.0,0.3333333333333333,0.9166666666666666,0.024815560026827634,0.20833333333333334,0.16229746642762913,0.23100988968253966,0.4366468781746032,0.8232142857142857,1.0,0.0,0.0,0.3333333333333333,0.7708333333333334,0.14583333333333326,0.019785378940308518,0.005030181086519116,0.14583333333333334,0.0625,0.1302475552067203,0.03204991122090883,0.19377779661495909,0.037232093067580574,0.42332859449254445,0.01331828368205873,0.7011475988700564,0.12206668684422928,1.0,0.0,0.3333333333333333,0.0,0.8958333333333334,0.02083333333333326,0.024983232729711605,-0.00016767270288397043,0.3125,-0.10416666666666666,0.16362175314221078,-0.0013242867145816517,0.1995723864857365,0.03143750319680316,0.4369149075739076,-0.0002680293993044258,0.822250519335251,0.0009637663790347251,1.0,0.0,0.16666666666666666,0.16666666666666666,0.8125,0.10416666666666663,0.021797451374916163,0.0030181086519114712,0.20833333333333334,0.0,0.1299829915599628,0.03231447486766634,0.1932644165223665,0.037745473160173154,0.34071118017676766,0.09593569799783552,0.7503456959706959,0.07286858974358978,1.0,0.0,0.8333333333333334,-0.5,0.9791666666666666,-0.0625,0.024312541918175723,0.0005030181086519113,0.3333333333333333,-0.12499999999999997,0.2015220174643592,-0.03922455103673006,0.17106229454804456,0.0599475951344951,0.3835843552623302,0.05306252291227298,0.9476508620689655,-0.12443657635467986,1.0,0.0,0.16666666666666666,0.16666666666666666,0.875,0.04166666666666663,0.02749832327297116,-0.002682763246143527,0.25,-0.04166666666666666,0.11830082318345087,0.04399664324417826,0.20836179563492063,0.022648094047619027,0.36396708555194807,0.07267979262265511,0.7759944831591173,0.04721980255516833,1.0,0.0,0.16666666666666666,0.16666666666666666,0.8958333333333334,0.02083333333333326,0.028169014084507043,-0.0033534540576794086,0.3541666666666667,-0.14583333333333334,0.1329563740389773,0.029341092388651818,0.2527323272283272,-0.021722437545787565,0.4323727472323972,0.004274130942205967,0.7791879251700681,0.0440263605442176,6,5,4,4,6,3,2,2,6,4,4,3,6,3,1,1,6,2,3,0,6,1,2,0
timeframe:1h,6,1.0,0.16666666666666666,0.8333333333333334,0.02062374245472837,0.16666666666666666,0.12965393734037467,0.19197737101370851,0.3881933591269841,0.7641986062717769,1.0,0.0,0.0,0.16666666666666666,0.7916666666666666,0.04166666666666674,0.019282360831656607,0.0013413816230717635,0.1875,-0.020833333333333343,0.050084344561136224,0.07956959277923845,0.14300209169071668,0.04897527932299184,0.3043621314333814,0.08383122769360268,0.7135429606625258,0.050655645609251176,1.0,0.0,0.16666666666666666,0.0,0.8125,0.02083333333333337,0.02129443326626425,-0.0006706908115358817,0.1875,-0.020833333333333343,0.08591776465989312,0.04373617268048155,0.18503716087523583,0.00694021013847268,0.3441053647574648,0.04408799436951932,0.7549974221972252,0.009201184074551727,1.0,0.0,0.16666666666666666,0.0,0.8125,0.02083333333333337,0.018947015425888666,0.0016767270288397043,0.1875,-0.020833333333333343,0.12048615341448198,0.009167783925892695,0.2347566527777778,-0.04277928176406928,0.42895557638888887,-0.040762217261904765,0.7496299515381373,0.014568654733639663,1.0,0.0,0.5,-0.33333333333333337,0.8958333333333334,-0.0625,0.02347417840375587,-0.002850435949027501,0.2916666666666667,-0.12500000000000003,0.18387269801537637,-0.0542187606750017,0.1927094233044733,-0.0007320522907647842,0.49915499019961523,-0.11096163107263113,0.8525212585034014,-0.0883226522316245,1.0,0.0,0.0,0.16666666666666666,0.7916666666666666,0.04166666666666674,0.02716297786720322,-0.00653923541247485,0.3333333333333333,-0.16666666666666666,0.08230195151346593,0.047351985826908735,0.2629922121156621,-0.07101484110195358,0.3864699483488734,0.0017234107781107233,0.7117394179894179,0.05245918828235907,1.0,0.0,0.3333333333333333,-0.16666666666666666,0.8958333333333334,-0.0625,0.028504359490274984,-0.007880617035546614,0.4375,-0.27083333333333337,0.1188986232790989,0.010755314061275764,0.26302541155372405,-0.07104804054001554,0.42880378579059825,-0.04061042666361414,0.8162587535014005,-0.0520601472296236,6,4,3,3,6,2,1,1,6,3,3,2,6,2,0,0,6,0,3,0,6,0,2,0
timeframe:15m,6,1.0,0.16666666666666666,0.8125,0.023306505700871897,0.2708333333333333,0.15887065066344921,0.23442305277777775,0.4340872696428571,0.7515726704350805,1.0,0.0,0.0,0.16666666666666666,0.7291666666666666,0.08333333333333337,0.017940979208584843,0.005365526492287054,0.10416666666666667,0.16666666666666663,0.15966999247501745,-0.0007993418115682382,0.199564069011544,0.03485898376623375,0.42162242873376626,0.012464840909090835,0.6778385068980863,0.07373416353699414,1.0,0.0,0.3333333333333333,-0.16666666666666666,0.875,-0.0625,0.024144869215291753,-0.0008383635144198556,0.3333333333333333,-0.0625,0.09710054234459743,0.06177010831885178,0.22534945394605396,0.00907359883172379,0.43170700313667815,0.002380266506178952,0.8094246031746032,-0.057851932739522716,1.0,0.0,0.16666666666666666,0.0,0.7916666666666666,0.02083333333333337,0.0204560697518444,0.0028504359490274973,0.20833333333333334,0.06249999999999997,0.12784765109392204,0.03102299956952717,0.1795390841149591,0.05488396866281864,0.3918319111952862,0.04225535844757089,0.7465993364558937,0.004973333979186756,1.0,0.0,0.3333333333333333,-0.16666666666666666,0.8541666666666666,-0.04166666666666663,0.021965124077800133,0.0013413816230717635,0.2708333333333333,0.0,0.2932609782584465,-0.13439032759499728,0.1878277485162985,0.04659530426147926,0.43776051994487,-0.003673250302012876,0.8002487731733915,-0.04867610273831102,1.0,0.0,0.16666666666666666,0.0,0.8125,0.0,0.02448021462105969,-0.001173708920187793,0.16666666666666666,0.10416666666666666,0.1242763500037147,0.03459430065973451,0.2021604111772487,0.03226264160052905,0.3858989112794613,0.0481883583633958,0.754596787345075,-0.00302411690999449,1.0,0.0,0.0,0.16666666666666666,0.875,-0.0625,0.029007377598926895,-0.005700871898054998,0.3333333333333333,-0.0625,0.13486029019897222,0.024010360464476993,0.23305870753367006,0.0013643452441076953,0.42077574768518516,0.013311521957671935,0.7421294384805945,0.009443231954485931,6,5,3,3,6,3,1,1,6,4,3,3,6,3,2,2,6,3,2,1,6,1,1,0
