dataset,universe_scope,configuration,width,support
2091_basis,all,2|5|55,3,1
2091_basis,all,2|37,2,1
2091_basis,all,7|13,2,1
2091_basis,all,7|13|32,3,1
2091_basis,all,7|55,2,2
2091_basis,all,13|32,2,1
2091_basis,all,13|43|62,3,22
2091_basis,all,16|23,2,17
2091_basis,all,16|48,2,1
2091_basis,all,21|43,2,45
2091_basis,all,21|48,2,49
2091_basis,all,23|32,2,8
2091_basis,all,23|43,2,11
2091_basis,all,26|35,2,48
2091_basis,all,26|35|48,3,1
2091_basis,all,26|35|48|58,4,42
2091_basis,all,32|37,2,11
2091_basis,all,43|62,2,23
2091_basis,universe_a,2|37,2,1
2091_basis,universe_a,21|48,2,49
2091_basis,universe_a,23|43,2,11
2091_basis,universe_a,26|35,2,48
2091_basis,universe_a,32|37,2,11
2091_basis,universe_b,2|5|55,3,1
2091_basis,universe_b,7|13,2,1
2091_basis,universe_b,7|13|32,3,1
2091_basis,universe_b,7|55,2,2
2091_basis,universe_b,13|32,2,1
2091_basis,universe_b,13|43|62,3,22
2091_basis,universe_b,16|23,2,17
2091_basis,universe_b,16|48,2,1
2091_basis,universe_b,21|43,2,45
2091_basis,universe_b,23|32,2,8
2091_basis,universe_b,26|35|48,3,1
2091_basis,universe_b,26|35|48|58,4,42
2091_basis,universe_b,43|62,2,23
2092_holdout,all,10|37|55,3,44
2092_holdout,all,16|62,2,3
2092_holdout,all,21|24|26|35|48|58,6,11
2092_holdout,all,21|48,2,2
2092_holdout,all,23|43,2,95
2092_holdout,all,23|62,2,17
2092_holdout,all,32|43,2,15
2092_holdout,universe_a,16|62,2,3
2092_holdout,universe_a,21|24|26|35|48|58,6,11
2092_holdout,universe_a,21|48,2,2
2092_holdout,universe_a,23|43,2,48
2092_holdout,universe_a,23|62,2,17
2092_holdout,universe_a,32|43,2,15
2092_holdout,universe_b,10|37|55,3,44
2092_holdout,universe_b,23|43,2,47
