dataset,episode_prefix,source_identities,universe_a_targets,universe_b_targets,source_target_streams,streams_reaching_episode_prefix,minimum_strict_postboundary_episodes,median_strict_postboundary_episodes,maximum_strict_postboundary_episodes,minimum_first_strict_open_delay,median_first_strict_open_delay,maximum_first_strict_open_delay,minimum_first_strict_closure_delay,median_first_strict_closure_delay,maximum_first_strict_closure_delay,streams_with_boundary_crossing_episode,zero_universe_a_profiles,zero_universe_b_profiles,minimum_universe_a_transition_observations,maximum_universe_a_transition_observations,minimum_universe_b_transition_observations,maximum_universe_b_transition_observations,a_to_b_mean_identity_auc,a_to_b_median_identity_rank,a_to_b_unique_nearest,a_to_b_label_null_max_auc,a_to_b_auc_label_p,b_to_a_mean_identity_auc,b_to_a_median_identity_rank,b_to_a_unique_nearest,b_to_a_label_null_max_auc,b_to_a_auc_label_p,mutual_nearest_edges,same_source_mutual_edges_posthoc,same_source_edge_share_posthoc,edge_label_null_permutations,edge_label_null_mean_same_source_edges,edge_label_null_max_same_source_edges,same_source_edge_label_p,field_reset_at_hidden_boundary,segmenter_reset_at_hidden_boundary,segmenter_received_hidden_boundary,profile_includes_preboundary_episode,episode_prefix_is_research_scale,profile_used_reset_field,graph_used_source_label,graph_used_asset_or_year,field_learning_used,memory_read,memory_written,influences_action
2091_basis,1,48,8,8,768,768,172,183.0,205,1,3.0,13,2,7.0,27,640,0,0,80,248,114,296,0.6150265957446809,13.5,4,0.5656028368794326,0.000244081034903588,0.6145833333333334,18.0,5,0.5704787234042553,0.000244081034903588,6,3,0.5,4096,0.125244140625,2,0.000244081034903588,0,0,0,0,1,0,0,0,0,0,0,0
2091_basis,2,48,8,8,768,768,172,183.0,205,1,3.0,13,2,7.0,27,640,0,0,198,423,288,554,0.6285460992907801,16.5,2,0.5766843971631206,0.000244081034903588,0.612145390070922,18.0,2,0.5722517730496454,0.000244081034903588,2,1,0.5,4096,0.0390625,2,0.03880888454967049,0,0,0,0,1,0,0,0,0,0,0,0
2091_basis,4,48,8,8,768,768,172,183.0,205,1,3.0,13,2,7.0,27,640,0,0,555,806,697,869,0.5704787234042553,20.0,1,0.5456560283687943,0.000244081034903588,0.5383421985815603,21.0,1,0.527482269503546,0.000244081034903588,1,0,0.0,4096,0.02001953125,1,1.0,0,0,0,0,1,0,0,0,0,0,0,0
2091_basis,8,48,8,8,768,768,172,183.0,205,1,3.0,13,2,7.0,27,640,0,0,1252,1528,1258,1425,0.5084219858156028,23.5,1,0.5101950354609929,0.00244081034903588,0.5028812056737588,24.0,1,0.506427304964539,0.057359043202343175,1,0,0.0,4096,0.0224609375,1,1.0,0,0,0,0,1,0,0,0,0,0,0,0
2091_basis,16,48,8,8,768,768,172,183.0,205,1,3.0,13,2,7.0,27,640,0,0,2538,2802,2531,2734,0.5097517730496454,25.0,1,0.5150709219858156,0.013668537954600928,0.524822695035461,23.0,1,0.53125,0.001708567244325116,1,0,0.0,4096,0.019775390625,1,1.0,0,0,0,0,1,0,0,0,0,0,0,0
2091_basis,32,48,8,8,768,768,172,183.0,205,1,3.0,13,2,7.0,27,640,0,0,5479,5762,5252,5485,0.5132978723404256,22.5,1,0.5177304964539007,0.007566512082011228,0.5097517730496454,24.5,1,0.5115248226950354,0.001952648279228704,2,0,0.0,4096,0.043701171875,2,1.0,0,0,0,0,1,0,0,0,0,0,0,0
2091_basis,64,48,8,8,768,768,172,183.0,205,1,3.0,13,2,7.0,27,640,0,0,10569,10775,10734,10922,0.5155141843971631,24.5,1,0.5168439716312057,0.000976324139614352,0.5066489361702128,25.5,1,0.5186170212765957,0.1257017329753478,1,0,0.0,4096,0.022216796875,1,1.0,0,0,0,0,1,0,0,0,0,0,0,0
2091_basis,all,48,8,8,768,768,172,183.0,205,1,3.0,13,2,7.0,27,640,0,0,31252,31427,31741,31980,0.5438829787234043,22.5,1,0.5283687943262412,0.000244081034903588,0.5523049645390071,22.0,1,0.5363475177304965,0.000244081034903588,2,0,0.0,4096,0.04248046875,1,1.0,0,0,0,0,1,0,0,0,0,0,0,0
2092_holdout,1,44,8,8,704,704,176,186.0,205,1,3.0,10,2,8.0,20,592,0,0,52,179,127,257,0.6421775898520085,15.0,2,0.6503699788583509,0.000488162069807176,0.5467758985200846,21.0,2,0.5668604651162791,0.003173053453746644,6,0,0.0,4096,0.13232421875,2,1.0,0,0,0,0,1,0,0,0,0,0,0,0
2092_holdout,2,44,8,8,704,704,176,186.0,205,1,3.0,10,2,8.0,20,592,0,0,182,347,258,442,0.5864164904862579,15.5,1,0.6046511627906976,0.002196729314132292,0.5454545454545454,20.5,2,0.5769027484143763,0.013668537954600928,2,0,0.0,4096,0.0458984375,1,1.0,0,0,0,0,1,0,0,0,0,0,0,0
2092_holdout,4,44,8,8,704,704,176,186.0,205,1,3.0,10,2,8.0,20,592,0,0,539,706,583,804,0.5335623678646935,22.0,2,0.5539112050739957,0.010007322431047107,0.5412262156448203,21.0,1,0.5422832980972516,0.000488162069807176,2,0,0.0,4096,0.045654296875,2,1.0,0,0,0,0,1,0,0,0,0,0,0,0
2092_holdout,8,44,8,8,704,704,176,186.0,205,1,3.0,10,2,8.0,20,592,0,0,1264,1410,1175,1361,0.5179704016913319,23.5,2,0.5317124735729387,0.02806931901391262,0.5110993657505285,21.5,2,0.5369978858350951,0.12667805711496216,2,0,0.0,4096,0.048583984375,2,1.0,0,0,0,0,1,0,0,0,0,0,0,0
2092_holdout,16,44,8,8,704,704,176,186.0,205,1,3.0,10,2,8.0,20,592,0,0,2350,2460,2508,2717,0.5243128964059196,23.5,1,0.5354122621564482,0.003905296558457408,0.5581395348837209,20.0,1,0.5745243128964059,0.002196729314132292,1,0,0.0,4096,0.01904296875,1,1.0,0,0,0,0,1,0,0,0,0,0,0,0
2092_holdout,32,44,8,8,704,704,176,186.0,205,1,3.0,10,2,8.0,20,592,0,0,4981,5137,5261,5516,0.49841437632135305,22.0,1,0.5211416490486258,0.6197217476202099,0.5295983086680761,22.0,1,0.5385835095137421,0.002684891383939468,1,0,0.0,4096,0.022216796875,1,1.0,0,0,0,0,1,0,0,0,0,0,0,0
2092_holdout,64,44,8,8,704,704,176,186.0,205,1,3.0,10,2,8.0,20,592,0,0,10056,10215,11241,11467,0.5058139534883721,21.5,2,0.5169133192389006,0.09909690017085672,0.5110993657505285,22.5,1,0.5232558139534884,0.06150842079570417,2,0,0.0,4096,0.040283203125,2,1.0,0,0,0,0,1,0,0,0,0,0,0,0
2092_holdout,all,44,8,8,704,704,176,186.0,205,1,3.0,10,2,8.0,20,592,0,0,31187,31305,31587,31794,0.5031712473572939,22.0,1,0.516384778012685,0.25970222113741764,0.49841437632135305,22.5,1,0.514799154334038,0.6541371735416158,1,0,0.0,4096,0.027099609375,1,1.0,0,0,0,0,1,0,0,0,0,0,0,0
