preview_symbol,target_group,chain,world,run,tick,window_start_tick,window_end_tick,window_label,raw_direction,raw_net_pct,raw_range_pct,raw_avg_body_pct,raw_direction_changes,sehen_form_stability,sehen_form_change,sehen_form_flow,hoeren_energy_tone,hoeren_energy_shift,perception_auditory_loudness,perception_visual_sharpness,mcm_carry_quality,mcm_strain_quality,mcm_rekopplung_quality,mcm_field_phase_signature_depth,mcm_field_phase_signature_drift
dio_mcm_episode_1y7uo9c,oberflaeche_rekoppelt,long_btc_sol,FPSIG_LONG_REAL_BTC_0_17K,debug\2026_field_phase_signature_long_real_chain\dio_mini_lauf_1,467,371,466,weite_unruhige_steigend,steigend,1.7408046396597272,2.0654228641799866,0.09373061872290253,52.0,0.57861,-0.609798,0.72767,-0.208164,-0.234838,0.219367,0.512196,0.404733,0.229918,0.616006,0.451068,0.0
dio_mcm_episode_1y7uo9c,oberflaeche_rekoppelt,long_btc_sol,FPSIG_LONG_REAL_BTC_0_17K,debug\2026_field_phase_signature_long_real_chain\dio_mini_lauf_1,2157,2061,2156,weite_unruhige_fallend,fallend,-1.9632836161652112,2.1505180307518086,0.1121453431443125,50.0,-0.10365,0.67142,-0.488518,-0.268319,-0.100716,0.197926,0.364642,0.407213,0.222286,0.619869,0.46917,0.034554
dio_mcm_episode_1y7uo9c,oberflaeche_rekoppelt,long_btc_sol,FPSIG_LONG_REAL_BTC_0_17K,debug\2026_field_phase_signature_long_real_chain\dio_mini_lauf_1,2158,2062,2157,weite_unruhige_fallend,fallend,-1.7628259773425574,2.1876491490632985,0.11318422011331254,51.0,-0.222565,0.153314,0.201158,-0.42106,-0.165239,0.313615,0.6245,0.535446,0.202992,0.683915,0.501792,0.089974
dio_mcm_episode_16yidit,oberflaeche_rekoppelt,long_btc_sol,FPSIG_LONG_REAL_BTC_0_17K,debug\2026_field_phase_signature_long_real_chain\dio_mini_lauf_1,2198,2102,2197,weite_unruhige_steigend,steigend,0.42480134823104965,1.6647597745598732,0.13215506333823013,48.0,-0.353723,-0.91654,0.065386,0.344903,0.468201,0.396688,0.250426,0.380907,0.264794,0.59223,0.441979,0.0
dio_mcm_episode_16yidit,oberflaeche_rekoppelt,long_btc_sol,FPSIG_LONG_REAL_BTC_0_17K,debug\2026_field_phase_signature_long_real_chain\dio_mini_lauf_1,2226,2130,2225,weite_unruhige_fallend,fallend,-2.8066599339033353,2.9245006591744933,0.1632607841960407,50.0,0.279299,0.584832,-0.623795,0.349767,0.254301,0.309672,0.456131,0.389704,0.252894,0.599876,0.463041,0.019415
dio_mcm_episode_16bqw8k,rekopplung_oeffnet,long_btc_sol,FPSIG_LONG_REAL_BTC_0_17K,debug\2026_field_phase_signature_long_real_chain\dio_mini_lauf_1,2517,2421,2516,weite_unruhige_seitwaerts,seitwaerts,-0.11599000491211087,3.081017875830254,0.13349420067773068,36.0,0.842864,-0.718858,-0.758252,0.77965,0.789164,0.783645,0.689421,0.402295,0.27723,0.59677,0.443922,0.0
dio_mcm_episode_16bqw8k,rekopplung_oeffnet,long_btc_sol,FPSIG_LONG_REAL_BTC_0_17K,debug\2026_field_phase_signature_long_real_chain\dio_mini_lauf_1,2541,2445,2540,weite_unruhige_fallend,fallend,-0.5668674797488812,3.0895075387624646,0.15042030348363955,43.0,0.442412,-0.668429,-0.607895,0.708322,0.571712,0.650946,0.617957,0.368564,0.27676,0.586985,0.458888,0.030805
dio_mcm_episode_16yidit,oberflaeche_rekoppelt,long_btc_sol,FPSIG_LONG_REAL_BTC_0_17K,debug\2026_field_phase_signature_long_real_chain\dio_mini_lauf_1,2759,2663,2758,weite_unruhige_fallend,fallend,-0.5548227885801875,2.741724460707131,0.11176742508048594,48.0,0.092852,-0.700835,0.595828,-0.446112,-0.297485,0.383689,0.360575,0.37922,0.268371,0.587713,0.478651,0.021324
dio_mcm_episode_0xg0gjh,rekopplung_oeffnet,long_btc_sol,FPSIG_LONG_REAL_BTC_0_17K,debug\2026_field_phase_signature_long_real_chain\dio_mini_lauf_1,3907,3811,3906,weite_unruhige_steigend,steigend,0.7637241283657462,2.7503735350177276,0.09114941785977235,42.0,-0.091615,-0.735811,0.491739,-0.134137,-0.844507,0.432492,0.313111,0.379239,0.258169,0.592206,0.43922,0.0
dio_mcm_episode_0xg0gjh,rekopplung_oeffnet,long_btc_sol,FPSIG_LONG_REAL_BTC_0_17K,debug\2026_field_phase_signature_long_real_chain\dio_mini_lauf_1,4947,4851,4946,weite_unruhige_fallend,fallend,-1.7022325706209362,2.460488255405053,0.07882169304417974,51.0,0.270761,-0.592793,-0.43723,0.708918,0.723447,0.71502,0.57202,0.414966,0.273293,0.602435,0.458977,0.07519
