asset,window_start,role_family,control_kind,real_member_coverage,control_member_coverage,real_minus_control_member_coverage,real_family_event_share,control_family_event_share,real_minus_control_family_event_share,real_phase_complete_ratio,control_phase_complete_ratio,real_minus_control_phase_complete_ratio,real_mean_afterimage_delta,control_mean_afterimage_delta,real_minus_control_mean_afterimage_delta,real_mean_temporal_delta,control_mean_temporal_delta,real_minus_control_mean_temporal_delta,real_joint_coverage_event_advantage
BTC,5000,rf_05,random_sign,0.75,0.75,0.0,0.030181086519114688,0.01609657947686117,0.01408450704225352,0.25,0.375,-0.125,0.3636024272727273,0.10516114285714284,0.25844128441558445,0.4486446181818182,0.23147325714285716,0.21717136103896106,0
BTC,6000,rf_05,random_sign,0.75,0.625,0.125,0.022132796780684104,0.01710261569416499,0.005030181086519113,0.25,0.125,0.125,0.13670754545454544,0.18397778787878788,-0.04727024242424244,0.18726710909090905,0.41605148484848486,-0.22878437575757582,1
BTC,7000,rf_05,random_sign,0.875,0.875,0.0,0.023138832997987926,0.014084507042253521,0.009054325955734405,0.25,0.0,0.25,0.17208922222222223,0.04865264285714285,0.12343657936507937,0.23826516666666664,0.06544814285714284,0.1728170238095238,0
DOGE,5000,rf_05,random_sign,0.625,0.75,-0.125,0.015090543259557344,0.028169014084507043,-0.013078470824949699,0.125,0.375,-0.25,0.180823625,0.18340342045454547,-0.0025797954545454804,0.59076525,0.3201262045454546,0.2706390454545454,0
DOGE,6000,rf_05,random_sign,0.875,0.625,0.25,0.023138832997987926,0.018108651911468814,0.005030181086519113,0.375,0.125,0.25,0.17636325454545454,0.2891396666666667,-0.11277641212121214,0.3229314545454546,0.4243435,-0.10141204545454541,1
DOGE,7000,rf_05,random_sign,0.625,0.75,-0.125,0.01710261569416499,0.01609657947686117,0.0010060362173038226,0.25,0.125,0.125,0.20707950000000003,0.11172800000000001,0.09535150000000002,0.4337449166666667,0.2744399444444445,0.15930497222222223,0
PAXG,5000,rf_05,random_sign,1.0,0.625,0.375,0.03219315895372234,0.022132796780684104,0.010060362173038233,0.375,0.375,0.0,0.277602175,0.272622625,0.004979549999999999,0.33801464999999997,0.6312405,-0.29322585,1
PAXG,6000,rf_05,random_sign,0.875,0.75,0.125,0.015090543259557344,0.018108651911468814,-0.0030181086519114695,0.0,0.25,-0.25,-0.004193242424242433,0.10568019999999999,-0.10987344242424242,-0.07248554545454544,0.10370879999999993,-0.17619434545454538,0
PAXG,7000,rf_05,random_sign,1.0,0.875,0.125,0.019114688128772636,0.018108651911468814,0.0010060362173038226,0.125,0.125,0.0,0.18006899999999998,0.19374095,-0.013671950000000016,0.518235625,0.4320872,0.08614842499999997,1
SOL,5000,rf_05,random_sign,0.875,1.0,-0.125,0.01710261569416499,0.02716297786720322,-0.01006036217303823,0.25,0.125,0.125,0.129852,0.2275882,-0.0977362,0.40781019999999996,0.5108990999999999,-0.10308889999999998,0
SOL,6000,rf_05,random_sign,0.75,0.75,0.0,0.023138832997987926,0.018108651911468814,0.005030181086519113,0.0,0.0,0.0,0.1912748717948718,0.1482422888888889,0.043032582905982886,0.3308728846153846,0.2886112666666667,0.04226161794871791,0
SOL,7000,rf_05,random_sign,0.625,0.75,-0.125,0.022132796780684104,0.022132796780684104,0.0,0.25,0.25,0.0,0.23766444444444446,0.27819683333333334,-0.04053238888888888,0.364047388888889,0.706843,-0.342795611111111,0
XRP,5000,rf_05,random_sign,0.625,0.75,-0.125,0.022132796780684104,0.030181086519114688,-0.008048289738430584,0.5,0.375,0.125,0.23593188571428575,0.2376117474747475,-0.0016798617604617538,0.4414559428571429,0.24517271717171718,0.19628322568542572,0
XRP,6000,rf_05,random_sign,0.875,0.75,0.125,0.03219315895372234,0.02012072434607646,0.012072434607645878,0.125,0.375,-0.25,0.10855718181818177,0.1974934761904762,-0.08893629437229442,0.1772187202797202,0.375988619047619,-0.1987698987678988,1
XRP,7000,rf_05,random_sign,0.875,0.75,0.125,0.02716297786720322,0.018108651911468814,0.009054325955734407,0.25,0.125,0.125,0.2275891,0.11424810000000003,0.11334099999999996,0.394627575,0.3439062,0.05072137500000001,1
BTC,5000,rf_05,shuffle,0.75,0.75,0.0,0.030181086519114688,0.015090543259557344,0.015090543259557344,0.25,0.125,0.125,0.3636024272727273,0.153887,0.2097154272727273,0.4486446181818182,0.5789569999999999,-0.13031238181818172,0
BTC,6000,rf_05,shuffle,0.75,0.875,-0.125,0.022132796780684104,0.02112676056338028,0.0010060362173038226,0.25,0.125,0.125,0.13670754545454544,0.14164567500000003,-0.004938129545454584,0.18726710909090905,0.34255395,-0.15528684090909095,0
BTC,7000,rf_05,shuffle,0.875,1.0,-0.125,0.023138832997987926,0.02414486921529175,-0.0010060362173038226,0.25,0.25,0.0,0.17208922222222223,0.22737430952380952,-0.05528508730158729,0.23826516666666664,0.5881808571428572,-0.34991569047619053,0
DOGE,5000,rf_05,shuffle,0.625,0.75,-0.125,0.015090543259557344,0.02012072434607646,-0.005030181086519115,0.125,0.25,-0.125,0.180823625,0.163575,0.01724862499999999,0.59076525,0.5414371,0.049328150000000015,0
DOGE,6000,rf_05,shuffle,0.875,0.5,0.375,0.023138832997987926,0.01006036217303823,0.013078470824949697,0.375,0.125,0.25,0.17636325454545454,0.22068666666666667,-0.04432341212121213,0.3229314545454546,0.3908256666666667,-0.0678942121212121,1
DOGE,7000,rf_05,shuffle,0.625,0.75,-0.125,0.01710261569416499,0.022132796780684104,-0.005030181086519113,0.25,0.375,-0.125,0.20707950000000003,0.316149196969697,-0.10906969696969698,0.4337449166666667,0.3961065000000001,0.03763841666666662,0
PAXG,5000,rf_05,shuffle,1.0,0.875,0.125,0.03219315895372234,0.01710261569416499,0.015090543259557346,0.375,0.25,0.125,0.277602175,0.11946706666666666,0.15813510833333333,0.33801464999999997,0.2088129333333334,0.12920171666666658,1
PAXG,6000,rf_05,shuffle,0.875,0.75,0.125,0.015090543259557344,0.015090543259557344,0.0,0.0,0.0,0.0,-0.004193242424242433,0.09166383333333333,-0.09585707575757577,-0.07248554545454544,0.2353043333333334,-0.30778987878787883,0
PAXG,7000,rf_05,shuffle,1.0,0.875,0.125,0.019114688128772636,0.01609657947686117,0.0030181086519114678,0.125,0.125,0.0,0.18006899999999998,0.10249814285714286,0.07757085714285712,0.518235625,0.3453431714285714,0.17289245357142857,1
SOL,5000,rf_05,shuffle,0.875,0.875,0.0,0.01710261569416499,0.022132796780684104,-0.005030181086519113,0.25,0.25,0.0,0.129852,0.2310932,-0.1012412,0.40781019999999996,0.4546049,-0.04679470000000002,0
SOL,6000,rf_05,shuffle,0.75,0.875,-0.125,0.023138832997987926,0.023138832997987926,0.0,0.0,0.25,-0.25,0.1912748717948718,0.17892154545454544,0.012353326340326348,0.3308728846153846,0.5009944675324676,-0.17012158291708296,0
SOL,7000,rf_05,shuffle,0.625,0.875,-0.25,0.022132796780684104,0.019114688128772636,0.0030181086519114678,0.25,0.25,0.0,0.23766444444444446,0.26255883333333335,-0.024894388888888896,0.364047388888889,0.5019312777777778,-0.1378838888888888,0
XRP,5000,rf_05,shuffle,0.625,0.75,-0.125,0.022132796780684104,0.022132796780684104,0.0,0.5,0.25,0.25,0.23593188571428575,0.0880617222222222,0.14787016349206356,0.4414559428571429,0.10474372222222228,0.3367122206349206,0
