role_family,component,response_axis,observations,holdouts,mean_value,median_value,minimum_value,maximum_value,positive_observations,negative_observations,zero_observations,observation_directional_persistence,mean_null_percentile,minimum_null_percentile,maximum_null_percentile,holdout_ids,holdout_mean_path,holdout_sign_path,holdout_directional_persistence,axis_persistence_percentile,axis_mean_null_percentile,axis_signed_mean_percentile
rf_05,volume,continuity,10,2,-0.02107951345184709,-0.019020698080141396,-0.07682465230402058,0.03498254837214698,3,7,0,0.4,0.726,0.1,1.0,2083_5m_windows;2086_5m_windows,0.013816;-0.055975,1;-1,0.0,0.0625,0.8125,0.6875
rf_05,volume,event_share,10,2,0.004457299351665549,0.0034652358596020567,0.0026827632461435304,0.008718980549966462,10,0,0,1.0,1.0,1.0,1.0,2083_5m_windows;2086_5m_windows,0.005701;0.003214,1;1,1.0,0.6875,0.9375,0.9375
rf_05,volume,member_coverage,10,2,-0.02256944444444442,-0.020833333333333315,-0.06944444444444442,0.02083333333333337,3,7,0,0.4,0.946,0.8,1.0,2083_5m_windows;2086_5m_windows,0.006944;-0.052083,1;-1,0.0,0.1875,0.9375,0.6875
rf_06,volume,continuity,10,2,-0.04040629957346166,-0.03956967832407432,-0.10028108465608465,0.00568086883876362,1,9,0,0.8,0.5,0.0,1.0,2083_5m_windows;2086_5m_windows,-0.022113;-0.058700,-1;-1,1.0,0.5,0.5625,0.5625
rf_06,volume,event_share,10,2,-0.0017046724793203668,-0.0015090543259557348,-0.004024144869215292,0.00016767270288397043,1,9,0,0.8,0.23399999999999999,0.0,0.75,2083_5m_windows;2086_5m_windows,-0.001090;-0.002319,-1;-1,1.0,0.25,0.4375,0.1875
rf_06,volume,member_coverage,10,2,-0.11631944444444443,-0.11805555555555555,-0.24305555555555552,0.0,0,9,1,0.9,0.4035,0.0,1.0,2083_5m_windows;2086_5m_windows,-0.083333;-0.149306,-1;-1,1.0,0.8125,0.4375,0.4375
rf_07,volume,continuity,10,2,-0.00922948276347263,-0.007037102928907357,-0.021354127236480114,0.0021654889446091063,1,9,0,0.8,0.618,0.49,0.82,2083_5m_windows;2086_5m_windows,-0.013602;-0.004857,-1;-1,1.0,0.5,0.6875,0.8125
rf_07,volume,event_share,10,2,0.0023753632908562485,0.002487145092778897,0.0001676727028839739,0.004191817572099264,10,0,0,1.0,0.929,0.53,1.0,2083_5m_windows;2086_5m_windows,0.002180;0.002571,1;1,1.0,0.6875,0.8125,0.8125
rf_07,volume,member_coverage,10,2,0.0,0.0,0.0,0.0,0,0,10,0.0,0.695,0.56,0.815,2083_5m_windows;2086_5m_windows,0.000000;0.000000,0;0,0.0,0.0625,0.6875,0.8125
rf_08,volume,continuity,10,2,0.0970466776822025,0.055528113316077043,-0.02847222222222212,0.2541062801932368,9,1,0,0.8,0.9339999999999999,0.78,1.0,2083_5m_windows;2086_5m_windows,0.141418;0.052675,1;1,1.0,0.5,0.9375,0.9375
rf_08,volume,event_share,10,2,0.000768499888218198,0.0007684998882181975,0.00022356360384529362,0.001453163424994411,10,0,0,1.0,0.8705,0.75,1.0,2083_5m_windows;2086_5m_windows,0.000699;0.000838,1;1,1.0,0.6875,0.6875,0.6875
rf_08,volume,member_coverage,10,2,0.10416666666666669,0.05555555555555558,-0.02777777777777779,0.2777777777777778,9,1,0,0.8,0.944,0.805,1.0,2083_5m_windows;2086_5m_windows,0.152778;0.055556,1;1,1.0,0.5625,0.8125,0.9375
rf_10,volume,continuity,10,2,-0.1783474562932767,-0.17181372549019608,-0.4787280701754385,0.09951298701298705,2,8,0,0.6,0.348,0.0,0.95,2083_5m_windows;2086_5m_windows,-0.330245;-0.026450,-1;-1,1.0,0.1875,0.1875,0.1875
rf_10,volume,event_share,10,2,-0.0005868544600938968,-0.00039123630672926465,-0.0021238542365302933,0.00011178180192264681,3,7,0,0.4,0.28,0.0,0.64,2083_5m_windows;2086_5m_windows,-0.001006;-0.000168,-1;-1,1.0,0.0625,0.5625,0.5625
rf_10,volume,member_coverage,10,2,-0.18055555555555555,-0.15277777777777776,-0.47222222222222227,0.08333333333333331,1,8,1,0.7,0.3375,0.0,0.9,2083_5m_windows;2086_5m_windows,-0.305556;-0.055556,-1;-1,1.0,0.3125,0.1875,0.1875
rf_13,volume,continuity,10,2,-0.07643863719995707,-0.06790420425987725,-0.19087301587301586,0.029532001479837255,1,9,0,0.8,0.416,0.02,0.84,2083_5m_windows;2086_5m_windows,-0.056759;-0.096119,-1;-1,1.0,0.5,0.4375,0.3125
rf_13,volume,event_share,10,2,-0.000670690811535882,-0.0004191817572099262,-0.0019561815336463224,0.00011178180192264681,1,9,0,0.8,0.219,0.0,0.56,2083_5m_windows;2086_5m_windows,-0.000168;-0.001174,-1;-1,1.0,0.25,0.3125,0.4375
rf_13,volume,member_coverage,10,2,-0.12037037037037035,-0.1296296296296296,-0.2777777777777778,0.05555555555555558,1,9,0,0.8,0.3505,0.0,0.855,2083_5m_windows;2086_5m_windows,-0.046296;-0.194444,-1;-1,1.0,0.5625,0.3125,0.3125
rf_17,volume,continuity,10,2,-0.2534172689934782,-0.3043817878028404,-0.32463768115942027,-0.061111111111111116,0,10,0,1.0,0.12200000000000001,0.0,0.53,2083_5m_windows;2086_5m_windows,-0.190769;-0.316066,-1;-1,1.0,0.875,0.0625,0.0625
rf_17,volume,event_share,10,2,-0.0016068634026380508,-0.0016208361278783816,-0.0025709814442208805,-0.0006706908115358819,0,10,0,1.0,0.034,0.0,0.14,2083_5m_windows;2086_5m_windows,-0.001174;-0.002040,-1;-1,1.0,0.6875,0.1875,0.3125
