symbol_family,xrp_events,multi_events,xrp_field,multi_field,same_field,xrp_reifung,multi_reifung,same_reifung,xrp_field_share,multi_field_share,xrp_mcm,multi_mcm
dio_104t,3380,2412,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,1,1.0,1.0,0.577/0.150/0.724,0.588/0.163/0.726
dio_155c,1872,1208,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,1,1.0,1.0,0.563/0.160/0.716,0.580/0.171/0.721
dio_0m9z,1734,1191,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,1,1.0,1.0,0.558/0.167/0.710,0.575/0.181/0.713
dio_0l7p,1046,2063,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,1,1.0,1.0,0.575/0.133/0.729,0.594/0.151/0.733
dio_0h9h,1318,1012,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,1,1.0,1.0,0.573/0.140/0.726,0.590/0.157/0.730
dio_14wj,964,1696,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,1,1.0,1.0,0.577/0.127/0.733,0.599/0.143/0.739
dio_00ly,852,619,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,1,1.0,1.0,0.568/0.136/0.726,0.587/0.156/0.730
dio_1lsu,566,527,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,1,1.0,1.0,0.551/0.155/0.712,0.576/0.172/0.719
dio_0pz6,586,486,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,1,1.0,1.0,0.572/0.132/0.730,0.592/0.152/0.733
dio_0dd2,616,431,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,1,1.0,1.0,0.571/0.136/0.729,0.587/0.156/0.732
dio_06er,370,565,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,1,1.0,1.0,0.574/0.120/0.736,0.597/0.143/0.741
dio_17ct,550,349,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,1,1.0,1.0,0.560/0.150/0.717,0.578/0.167/0.722
dio_06s7,342,604,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,1,1.0,1.0,0.566/0.122/0.730,0.594/0.145/0.736
dio_0tay,470,334,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,1,1.0,1.0,0.562/0.141/0.721,0.581/0.163/0.725
dio_1jc2,308,390,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,1,1.0,1.0,0.568/0.113/0.733,0.597/0.137/0.740
dio_1kpz,290,601,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,1,1.0,1.0,0.564/0.120/0.730,0.595/0.145/0.737
dio_09bn,444,283,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,1,1.0,1.0,0.568/0.129/0.729,0.586/0.149/0.733
dio_1fll,282,501,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,1,1.0,1.0,0.576/0.109/0.741,0.599/0.131/0.747
dio_1r55,278,349,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,1,1.0,1.0,0.545/0.149/0.713,0.572/0.168/0.722
dio_1q85,526,276,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,1,1.0,1.0,0.551/0.161/0.709,0.568/0.179/0.712
dio_0nlj,248,292,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,1,1.0,1.0,0.568/0.114/0.735,0.594/0.139/0.740
dio_00ja,684,242,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,1,1.0,1.0,0.551/0.163/0.704,0.562/0.183/0.702
dio_01hu,234,450,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,1,1.0,1.0,0.553/0.134/0.721,0.581/0.155/0.730
dio_0kx9,234,380,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,1,1.0,1.0,0.565/0.113/0.732,0.596/0.137/0.740
dio_1492,218,300,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,1,1.0,1.0,0.566/0.115/0.733,0.594/0.140/0.739
dio_1tiu,236,216,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,1,1.0,1.0,0.561/0.125/0.729,0.585/0.146/0.736
dio_19pg,352,215,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,1,1.0,1.0,0.545/0.158/0.703,0.562/0.179/0.706
dio_1uof,212,200,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,1,1.0,1.0,0.544/0.143/0.708,0.571/0.163/0.714
dio_07uk,216,198,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,1,1.0,1.0,0.551/0.139/0.719,0.576/0.159/0.725
dio_03uk,178,464,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,1,0.9887640449438202,1.0,0.485/0.221/0.658,0.591/0.146/0.736
dio_1gp2,330,171,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,1,1.0,1.0,0.549/0.150/0.709,0.562/0.169/0.709
dio_10dv,248,168,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,1,1.0,1.0,0.553/0.139/0.722,0.569/0.157/0.725
dio_04uf,290,163,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,1,1.0,1.0,0.536/0.171/0.696,0.555/0.185/0.701
dio_1u5i,286,162,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,1,1.0,1.0,0.556/0.129/0.721,0.570/0.149/0.723
dio_0z9t,282,157,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,1,1.0,1.0,0.549/0.150/0.714,0.564/0.167/0.718
dio_1ewh,642,150,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,1,1.0,1.0,0.556/0.149/0.715,0.559/0.168/0.710
dio_06jk,226,149,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,1,1.0,1.0,0.538/0.153/0.708,0.558/0.170/0.715
dio_0obq,542,149,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,1,1.0,1.0,0.542/0.161/0.706,0.550/0.178/0.707
dio_05yg,290,147,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,1,1.0,1.0,0.530/0.181/0.689,0.545/0.196/0.691
dio_0fl2,194,146,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,1,1.0,1.0,0.559/0.121/0.730,0.577/0.142/0.734
dio_0ly7,146,176,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,1,1.0,1.0,0.561/0.111/0.734,0.589/0.134/0.741
dio_1o4z,206,145,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,1,1.0,1.0,0.542/0.150/0.706,0.562/0.168/0.710
dio_02n3,138,590,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,1,1.0,1.0,0.556/0.112/0.730,0.593/0.138/0.741
dio_0g2r,354,138,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,1,1.0,1.0,0.548/0.149/0.710,0.558/0.168/0.709
dio_05ap,130,196,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,1,1.0,1.0,0.558/0.110/0.735,0.590/0.136/0.741
dio_0n0i,136,129,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,1,1.0,1.0,0.563/0.106/0.736,0.587/0.128/0.740
dio_161t,132,126,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,1,1.0,1.0,0.533/0.148/0.710,0.552/0.163/0.716
dio_06qi,248,125,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,1,1.0,1.0,0.549/0.143/0.717,0.563/0.158/0.718
dio_0jqc,136,122,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,1,1.0,1.0,0.545/0.136/0.720,0.561/0.153/0.722
dio_1350,120,172,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,1,1.0,1.0,0.546/0.125/0.722,0.580/0.149/0.730
dio_17db,110,133,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,1,1.0,1.0,0.507/0.181/0.683,0.534/0.204/0.686
dio_1cic,106,116,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,1,1.0,1.0,0.535/0.133/0.713,0.560/0.157/0.715
dio_13o0,104,127,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,1,1.0,1.0,0.555/0.106/0.732,0.586/0.128/0.740
dio_169a,140,103,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,1,1.0,1.0,0.517/0.170/0.693,0.537/0.190/0.695
dio_0pq6,168,95,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,1,1.0,1.0,0.539/0.148/0.706,0.548/0.165/0.705
dio_1v2w,210,95,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,1,1.0,1.0,0.526/0.177/0.684,0.529/0.191/0.681
dio_0jkk,294,94,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,1,1.0,1.0,0.525/0.185/0.685,0.532/0.196/0.685
dio_12fw,218,90,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,1,1.0,1.0,0.526/0.171/0.691,0.536/0.187/0.690
dio_087m,168,86,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,1,1.0,1.0,0.559/0.118/0.730,0.569/0.138/0.730
dio_1xrt,218,85,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,1,1.0,1.0,0.545/0.139/0.714,0.550/0.158/0.712
dio_0fe7,254,83,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,1,1.0,1.0,0.547/0.139/0.715,0.550/0.155/0.712
dio_17dc,120,78,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,1,1.0,1.0,0.531/0.145/0.708,0.548/0.162/0.710
dio_0g3b,74,86,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,1,1.0,1.0,0.551/0.102/0.734,0.577/0.123/0.739
dio_0v65,98,74,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,1,1.0,1.0,0.536/0.129/0.712,0.555/0.146/0.715
dio_1mwv,134,73,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,1,1.0,1.0,0.541/0.140/0.715,0.554/0.155/0.715
dio_0oc3,72,175,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,1,1.0,1.0,0.501/0.166/0.688,0.546/0.189/0.700
dio_0pxr,138,72,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,1,1.0,1.0,0.522/0.167/0.692,0.534/0.181/0.692
dio_1ba6,72,74,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,1,1.0,1.0,0.532/0.121/0.716,0.555/0.136/0.720
dio_02xf,70,150,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,1,1.0,1.0,0.518/0.146/0.696,0.561/0.170/0.707
dio_0ein,80,69,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,1,1.0,1.0,0.530/0.130/0.710,0.553/0.145/0.715
dio_0om4,126,68,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,1,1.0,1.0,0.546/0.129/0.719,0.553/0.146/0.715
dio_1mjc,68,99,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,1,1.0,1.0,0.540/0.116/0.722,0.570/0.134/0.732
dio_14d9,98,66,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,1,1.0,1.0,0.526/0.147/0.703,0.543/0.164/0.705
dio_1wdi,66,85,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,1,1.0,1.0,0.528/0.122/0.713,0.559/0.139/0.721
dio_1772,222,63,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,1,1.0,1.0,0.525/0.170/0.694,0.526/0.182/0.690
dio_08l0,62,112,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,1,1.0,1.0,0.519/0.142/0.700,0.556/0.164/0.709
dio_1ygx,60,86,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,1,1.0,1.0,0.545/0.102/0.733,0.577/0.123/0.740
dio_18v0,238,56,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,1,1.0,1.0,0.516/0.183/0.687,0.506/0.198/0.679
dio_0jmo,98,55,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,1,0.9591836734693877,0.9818181818181818,0.440/0.218/0.644,0.473/0.217/0.656
dio_18kx,108,54,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,1,1.0,1.0,0.543/0.130/0.716,0.547/0.143/0.714
dio_1rqi,80,53,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,1,1.0,1.0,0.542/0.119/0.723,0.555/0.136/0.727
dio_0lsd,154,50,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,1,1.0,1.0,0.522/0.168/0.691,0.520/0.174/0.688
dio_1rcm,50,68,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,1,1.0,1.0,0.497/0.166/0.686,0.526/0.183/0.693
dio_1yoi,106,48,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldoffen,0,0.9622641509433962,0.75,0.433/0.232/0.635,0.475/0.234/0.648
dio_0kd6,46,63,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,1,1.0,1.0,0.517/0.130/0.711,0.546/0.147/0.719
dio_0ahb,74,45,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,1,1.0,1.0,0.510/0.164/0.684,0.514/0.175/0.684
