sequence,worlds,checkpoints,final_relations,history_entries,storage_format,all_checkpoints_exact_2081,all_sources_unchanged,all_history_prefixes_preserved,memory_size_bytes,consolidation_document_bytes,2081_baseline_memory_size_bytes,consolidation_overhead_bytes,consolidation_overhead_percent,passive_only,offline_only,read_by_mini_dio,influences_field,influences_action,deletes_memory,dampens_memory,2082_verbose_memory_size_bytes,saved_vs_2082_bytes,saved_vs_2082_percent,removed_2082_overhead_percent
forward,81,5,2046,5311,compact_delta_v1,1,1,1,13133069,921539,12057026,1076043,8.92461374803372,1,1,0,0,0,0,0,16009722,2876653,17.968163344747648,72.77698563208503
reverse,81,5,2085,5165,compact_delta_v1,1,1,1,13189448,917210,12119957,1069491,8.824214475348386,1,1,0,0,0,0,0,16040293,2850845,17.77302322345359,72.71940466327376
