sequence,scope,edges,nodes,mean_degree,zero_distance_edges
forward,raw_equal,75316,971,155.1307929969104,75316
forward,depth_rank_movement,45727,1282,71.33697347893916,45546
forward,support_rank_movement,45618,1231,74.11535337124289,45441
forward,full_rank_movement,45615,1225,74.4734693877551,45441
forward,robust,45491,977,93.12384851586489,45441
reverse,raw_equal,83453,942,177.18259023354565,83453
reverse,depth_rank_movement,48699,1244,78.29421221864952,48524
reverse,support_rank_movement,48571,1198,81.08681135225376,48399
reverse,full_rank_movement,48571,1198,81.08681135225376,48399
reverse,robust,48442,940,103.06808510638298,48399
