dataset,universe_scope,source_key_posthoc,paths,observed_synchrony_excess,collective_null_excess_mean,observed_minus_collective_null_mean,direction,empirical_upper_p
2091_basis,b,2091_basis|BTC|2024|13000,8,107.209466263,71.191685549,36.017780714,positive,0.030303
2091_basis,b,2091_basis|BTC|2024|14000,8,106.314199396,69.013941339,37.300258057,positive,0.030303
2091_basis,b,2091_basis|BTC|2024|15000,8,105.901309165,67.756640231,38.144668934,positive,0.030303
2091_basis,b,2091_basis|BTC|2024|2000,8,105.901309165,67.902662387,37.998646778,positive,0.030303
2091_basis,b,2091_basis|BTC|2024|3000,8,107.04531722,70.008150806,37.037166414,positive,0.030303
2091_basis,b,2091_basis|BTC|2024|5000,8,106.673716013,68.446846677,38.226869336,positive,0.030303
2091_basis,b,2091_basis|BTC|2024|6000,8,106.278952669,69.449490181,36.829462488,positive,0.030303
2091_basis,b,2091_basis|BTC|2024|7000,8,106.191339376,75.04207578,31.149263596,positive,0.030303
2091_basis,b,2091_basis|BTC|2024|8000,8,106.278952669,69.970638218,36.308314451,positive,0.030303
2091_basis,b,2091_basis|BTC|2024|9000,8,106.278952669,73.088620342,33.190332327,positive,0.030303
2091_basis,b,2091_basis|BTC|2025|0,8,104.095669688,72.729166667,31.366503021,positive,0.060606
2091_basis,b,2091_basis|BTC|2025|10000,8,106.278952669,69.785246727,36.493705942,positive,0.030303
2091_basis,b,2091_basis|BTC|2025|11000,8,107.04531722,70.76941717,36.27590005,positive,0.030303
2091_basis,b,2091_basis|BTC|2025|14000,8,107.04531722,69.801170695,37.244146525,positive,0.030303
2091_basis,b,2091_basis|BTC|2025|15000,8,106.962739175,69.157760574,37.804978601,positive,0.030303
2091_basis,b,2091_basis|BTC|2025|3000,8,107.419939576,72.933943857,34.485995719,positive,0.030303
2091_basis,b,2091_basis|BTC|2025|4000,8,107.04531722,73.543775176,33.501542044,positive,0.030303
2091_basis,b,2091_basis|BTC|2025|5000,8,106.355488419,68.875660876,37.479827543,positive,0.030303
2091_basis,b,2091_basis|BTC|2025|6000,8,106.410876133,67.784239678,38.626636455,positive,0.030303
2091_basis,b,2091_basis|BTC|2025|9000,8,105.901309165,66.4806143,39.420694865,positive,0.030303
2091_basis,b,2091_basis|SOL|2024|0,8,107.04531722,70.704651309,36.340665911,positive,0.030303
2091_basis,b,2091_basis|SOL|2024|1000,8,106.191339376,71.351617573,34.839721803,positive,0.030303
2091_basis,b,2091_basis|SOL|2024|11000,8,106.422960724,70.340823263,36.082137461,positive,0.030303
2091_basis,b,2091_basis|SOL|2024|12000,8,106.650553877,69.172866314,37.477687563,positive,0.030303
2091_basis,b,2091_basis|SOL|2024|14000,8,105.735146021,69.621632679,36.113513342,positive,0.060606
2091_basis,b,2091_basis|SOL|2024|15000,8,105.231621348,70.209183031,35.022438317,positive,0.030303
2091_basis,b,2091_basis|SOL|2024|3000,8,106.044310171,70.130916415,35.913393756,positive,0.030303
