relation_age,scope,permutations,seed,observed_shared_edges,null_mean_shared_edges,null_sd_shared_edges,null_max_shared_edges,observed_to_null_ratio,z_score,empirical_p_ge_observed
2,raw_equal,200,2086,87,25.005,5.6449069965766485,40,3.4793041391721657,10.98246614826371,0.004975124378109453
2,event_cadence,200,2086,2190,1402.73,62.66591657352504,1578,1.5612412937628766,12.562969522296976,0.004975124378109453
2,breadth_growth,200,2086,189450,169069.69,3747.665746021115,180574,1.1205438420097653,5.4381343964940605,0.004975124378109453
2,profile_growth,200,2086,29291,12018.185,461.1952414921472,13598,2.437223257921225,37.45228364480883,0.004975124378109453
2,full_movement,200,2086,90,25.965,5.722217664507355,43,3.466204506065858,11.190591437509218,0.004975124378109453
2,robust,200,2086,87,25.005,5.6449069965766485,40,3.4793041391721657,10.98246614826371,0.004975124378109453
3,raw_equal,200,2086,0,0.025,0.15612494995995996,1,0.0,-0.16012815380508713,1.0
3,event_cadence,200,2086,61,12.345,3.745126833633275,27,4.941271769947347,12.99154932833026,0.004975124378109453
3,breadth_growth,200,2086,29284,19980.345,1294.5617775815103,24061,1.4656403580618853,7.1867215308805195,0.004975124378109453
3,profile_growth,200,2086,2748,563.705,99.67220261938631,870,4.874890235140721,21.9147860947858,0.004975124378109453
3,full_movement,200,2086,0,0.175,0.4408798022137099,2,0.0,-0.3969335839866199,1.0
3,robust,200,2086,0,0.025,0.15612494995995996,1,0.0,-0.16012815380508713,1.0
5,raw_equal,200,2086,0,0,0.0,0,0.0,0.0,1.0
5,event_cadence,200,2086,8,0.255,0.49997499937496875,3,31.372549019607842,15.49077455809234,0.004975124378109453
5,breadth_growth,200,2086,3332,1044.905,214.5506373213559,1913,3.188806637924022,10.659931047300356,0.004975124378109453
5,profile_growth,200,2086,109,9.615,6.922916654127796,38,11.336453458138326,14.35594345061797,0.004975124378109453
5,full_movement,200,2086,2,0.05,0.23979157616563598,2,40.0,8.132062148225915,0.009950248756218905
5,robust,200,2086,0,0,0.0,0,0.0,0.0,1.0
10,raw_equal,200,2086,0,0,0.0,0,0.0,0.0,1.0
10,event_cadence,200,2086,1,0.085,0.2788816953476868,1,11.76470588235294,3.280961121737492,0.08955223880597014
10,breadth_growth,200,2086,171,13.795,9.06879126455119,47,12.395795578108011,17.334724707414466,0.004975124378109453
10,profile_growth,200,2086,6,0.055,0.24894778569009204,2,109.0909090909091,23.88050965595155,0.004975124378109453
10,full_movement,200,2086,0,0.015,0.12155245781143217,1,0.0,-0.12340351046845907,1.0
10,robust,200,2086,0,0,0.0,0,0.0,0.0,1.0
