relation_age,observations,edges,finalizations
2,164239,164239,62
3,32465,32465,60
4,7996,7996,59
5,3653,3653,57
6,1341,1341,56
7,703,703,55
8,454,454,53
9,260,260,51
10,222,222,50
11,150,150,46
12,130,130,45
13,78,78,42
14,72,72,40
15,68,68,38
16,67,67,39
17,47,47,32
18,47,47,32
19,42,42,34
20,42,42,30
21,39,39,29
22,32,32,25
23,33,33,27
24,34,34,25
25,27,27,24
26,22,22,19
27,23,23,19
28,17,17,17
29,26,26,23
30,19,19,18
31,18,18,16
32,13,13,12
33,11,11,10
34,9,9,8
35,7,7,7
36,6,6,6
37,7,7,7
38,4,4,4
39,4,4,4
40,6,6,6
41,4,4,4
42,6,6,6
43,3,3,3
44,2,2,2
45,2,2,2
46,3,3,3
47,3,3,3
48,2,2,2
49,2,2,2
50,2,2,2
51,2,2,2
52,2,2,2
