preview_symbol,target_group,chain,world,run,tick,window_start_tick,window_end_tick,window_label,raw_direction,raw_net_pct,raw_range_pct,raw_avg_body_pct,raw_direction_changes,sehen_form_stability,sehen_form_change,sehen_form_flow,hoeren_energy_tone,hoeren_energy_shift,perception_auditory_loudness,perception_visual_sharpness,mcm_carry_quality,mcm_strain_quality,mcm_rekopplung_quality,mcm_field_phase_signature_depth,mcm_field_phase_signature_drift
dio_mcm_episode_0x60uui,oberflaeche_rekoppelt_spaet,long_btc_sol,FPSIG_LONG_REAL_BTC_0_17K,debug\2026_field_phase_signature_long_real_chain\dio_mini_lauf_1,4992,4944,4991,weite_unruhige_fallend,fallend,-0.7604032889690824,1.127856916489208,0.14038339524308313,21.0,0.018031,-0.480309,-0.298513,0.481489,0.675789,0.563095,0.552395,0.369942,0.270198,0.590262,0.438501,0.0
dio_mcm_episode_16bqw8k,rekopplung_oeffnet,long_btc_sol,FPSIG_LONG_REAL_BTC_0_17K,debug\2026_field_phase_signature_long_real_chain\dio_mini_lauf_1,5441,5393,5440,weite_unruhige_steigend,steigend,1.0237314661935226,1.8168113062080815,0.1112758167964727,18.0,0.934549,-0.784495,-0.899305,0.838563,0.627728,0.750012,0.687642,0.362452,0.289025,0.579178,0.47321,0.031237
dio_mcm_episode_0x60uui,oberflaeche_rekoppelt_spaet,long_btc_sol,FPSIG_LONG_REAL_BTC_0_17K,debug\2026_field_phase_signature_long_real_chain\dio_mini_lauf_1,5442,5394,5441,weite_unruhige_steigend,steigend,0.633969522684094,1.8176665702299446,0.1194582804173464,18.0,0.150632,0.895734,-0.784663,0.154999,-0.602045,0.342758,0.271181,0.39183,0.258544,0.595226,0.454086,0.087281
dio_mcm_episode_16bqw8k,rekopplung_oeffnet,long_btc_sol,FPSIG_LONG_REAL_BTC_0_17K,debug\2026_field_phase_signature_long_real_chain\dio_mini_lauf_1,5551,5503,5550,weite_unruhige_steigend,steigend,0.9108025781019071,1.4128790459563925,0.14563380861888744,26.0,0.805434,0.807334,0.700667,0.791972,0.759824,0.77847,0.649061,0.369418,0.293034,0.582426,0.481214,0.15234
dio_mcm_episode_16bqw8k,rekopplung_oeffnet,long_btc_sol,FPSIG_LONG_REAL_BTC_0_17K,debug\2026_field_phase_signature_long_real_chain\dio_mini_lauf_1,5655,5607,5654,weite_unruhige_fallend,fallend,-0.3096586531052556,2.988656098486193,0.19327367770556453,23.0,0.79292,-0.454311,-0.681415,0.769141,0.723969,0.750169,0.714909,0.352747,0.296549,0.573937,0.49278,0.037939
dio_mcm_episode_16bqw8k,rekopplung_oeffnet,long_btc_sol,FPSIG_LONG_REAL_BTC_0_17K,debug\2026_field_phase_signature_long_real_chain\dio_mini_lauf_1,5676,5628,5675,weite_unruhige_fallend,fallend,-0.4703443267346745,4.1278509146543545,0.25591605921519917,26.0,0.63501,-0.997687,-0.947171,0.671186,0.779441,0.716653,0.578876,0.364588,0.286686,0.577486,0.502656,0.053478
dio_mcm_episode_0x60uui,oberflaeche_rekoppelt_spaet,long_btc_sol,FPSIG_LONG_REAL_BTC_0_17K,debug\2026_field_phase_signature_long_real_chain\dio_mini_lauf_1,5770,5722,5769,weite_unruhige_fallend,fallend,-1.5035582922738884,2.3760942685084308,0.21307277253458254,22.0,-0.077377,-0.974131,-0.604416,0.544357,0.597423,0.566645,0.380486,0.372517,0.272927,0.584418,0.469716,0.047157
dio_mcm_episode_16bqw8k,rekopplung_oeffnet,long_btc_sol,FPSIG_LONG_REAL_BTC_0_17K,debug\2026_field_phase_signature_long_real_chain\dio_mini_lauf_1,5777,5729,5776,weite_unruhige_fallend,fallend,-1.8681515454330198,2.8900165393005754,0.24820463228776846,21.0,0.72058,-0.947439,-0.89356,0.782625,0.701286,0.748462,0.607118,0.360515,0.292444,0.574707,0.511575,0.03936
dio_mcm_episode_0x60uui,oberflaeche_rekoppelt_spaet,long_btc_sol,FPSIG_LONG_REAL_BTC_0_17K,debug\2026_field_phase_signature_long_real_chain\dio_mini_lauf_1,5826,5778,5825,weite_unruhige_seitwaerts,seitwaerts,0.11272708220968236,3.0875700108608557,0.17704142294317152,24.0,0.12674,-0.727246,-0.496167,0.550768,0.701295,0.61399,0.505227,0.367171,0.279012,0.583001,0.484044,0.030659
dio_mcm_episode_16bqw8k,rekopplung_oeffnet,long_btc_sol,FPSIG_LONG_REAL_BTC_0_17K,debug\2026_field_phase_signature_long_real_chain\dio_mini_lauf_1,5953,5905,5952,weite_unruhige_seitwaerts,seitwaerts,0.17805813031734827,2.4254167740878505,0.19916026757711638,25.0,0.919862,0.894413,0.876711,0.815434,0.760923,0.792539,0.668171,0.367391,0.300729,0.577198,0.517404,0.144188
