role_family,component,response_axis,observations,holdouts,mean_value,median_value,minimum_value,maximum_value,positive_observations,negative_observations,zero_observations,observation_directional_persistence,mean_null_percentile,minimum_null_percentile,maximum_null_percentile,holdout_ids,holdout_mean_path,holdout_sign_path,holdout_directional_persistence,axis_persistence_percentile,axis_mean_null_percentile,axis_signed_mean_percentile
rf_05,volume,continuity,5,1,0.10950100259157332,0.10823854477473605,0.04932049955559903,0.16999372367994803,5,0,0,1.0,1.0,1.0,1.0,2081_30m_windows,0.109501,1,1.0,0.625,0.9375,0.9375
rf_05,volume,event_share,5,1,0.003968253968253969,0.0039682539682539715,0.0031857813547954417,0.004750726581712498,5,0,0,1.0,1.0,1.0,1.0,2081_30m_windows,0.003968,1,1.0,0.6875,0.875,0.8125
rf_05,volume,member_coverage,5,1,0.11805555555555555,0.11805555555555558,0.03472222222222221,0.20138888888888895,5,0,0,1.0,0.965,0.825,1.0,2081_30m_windows,0.118056,1,1.0,0.75,0.9375,0.9375
rf_06,volume,continuity,5,1,-0.0943787848275324,-0.10158117435846314,-0.1366369047619047,-0.05881583694083692,0,5,0,1.0,0.0,0.0,0.0,2081_30m_windows,-0.094379,-1,1.0,0.625,0.0625,0.1875
rf_06,volume,event_share,5,1,-0.00111781801922647,-0.0011178180192264703,-0.0015090543259557343,-0.0007265817124972058,0,5,0,1.0,0.0,0.0,0.0,2081_30m_windows,-0.001118,-1,1.0,0.6875,0.0625,0.1875
rf_06,volume,member_coverage,5,1,-0.12847222222222224,-0.12847222222222224,-0.17361111111111113,-0.08333333333333334,0,5,0,1.0,0.0,0.0,0.0,2081_30m_windows,-0.128472,-1,1.0,0.75,0.0625,0.1875
rf_07,volume,continuity,5,1,-0.005704421468880794,-0.0055137716761622935,-0.008513687451068952,-0.0029794149512459844,0,5,0,1.0,0.59,0.51,0.65,2081_30m_windows,-0.005704,-1,1.0,0.625,0.8125,0.6875
rf_07,volume,event_share,5,1,0.004247708473060585,0.004247708473060583,0.0030181086519114678,0.005477308294209702,5,0,0,1.0,1.0,1.0,1.0,2081_30m_windows,0.004248,1,1.0,0.6875,0.875,0.9375
rf_07,volume,member_coverage,5,1,0.0,0.0,0.0,0.0,0,0,5,0.0,0.623,0.58,0.67,2081_30m_windows,0.000000,0,0.0,0.0625,0.6875,0.6875
rf_08,volume,continuity,5,1,-0.08302973523405588,-0.09300213675213664,-0.20765873015873004,0.03973429951690832,1,4,0,0.6,0.494,0.2,0.83,2081_30m_windows,-0.083030,-1,1.0,0.1875,0.5625,0.4375
