sequence,left_world,right_world,left_nodes,right_nodes,shared_nodes,node_jaccard,left_edges,right_edges,shared_edges,edge_jaccard
real_first,real_anchor,real_follow,19,13,6,0.23076923076923078,27,19,3,0.06976744186046512
real_first,real_anchor,null_shuffle,19,16,11,0.4583333333333333,27,24,8,0.18604651162790697
real_first,real_anchor,null_random,19,11,7,0.30434782608695654,27,18,6,0.15384615384615385
real_first,real_follow,null_shuffle,13,16,6,0.2608695652173913,19,24,3,0.075
real_first,real_follow,null_random,13,11,5,0.2631578947368421,19,18,6,0.1935483870967742
real_first,null_shuffle,null_random,16,11,5,0.22727272727272727,24,18,6,0.16666666666666666
null_first,real_anchor,real_follow,19,13,7,0.28,27,19,4,0.09523809523809523
null_first,real_anchor,null_shuffle,19,16,11,0.4583333333333333,27,24,10,0.24390243902439024
null_first,real_anchor,null_random,19,11,7,0.30434782608695654,27,18,6,0.15384615384615385
null_first,real_follow,null_shuffle,13,16,7,0.3181818181818182,19,24,3,0.075
null_first,real_follow,null_random,13,11,4,0.2,19,18,5,0.15625
null_first,null_shuffle,null_random,16,11,5,0.22727272727272727,24,18,6,0.16666666666666666
