symbol_family,events,holdout_labels,dominant_field_contact_class,dominant_field_share,field_classes,syntax_reifung,avg_carry,avg_strain,avg_rekopplung
dio_104t,7493,doge_random:1;btc_random:1;xrp_random:1;paxg_random:1;btc_shuffle:1;doge_shuffle:1;xrp_shuffle:1;paxg_shuffle:1,tragende_rekopplung,1.0,tragende_rekopplung:7493,weltuebergreifend_feldstabil,0.588016425532794,0.16293645990498318,0.726531490043384
dio_0l7p,5777,doge_shuffle:1;btc_shuffle:1;xrp_shuffle:1;doge_random:1;xrp_random:1;btc_random:1;paxg_shuffle:1;paxg_random:1,tragende_rekopplung,1.0,tragende_rekopplung:5777,weltuebergreifend_feldstabil,0.594454034139406,0.1522572831042872,0.7337616922861778
dio_14wj,3945,xrp_shuffle:1;doge_shuffle:1;paxg_shuffle:1;paxg_random:1;xrp_random:1;btc_shuffle:1;doge_random:1;btc_random:1,tragende_rekopplung,1.0,tragende_rekopplung:3945,weltuebergreifend_feldstabil,0.5982369760393371,0.14447248107469426,0.7387751362350197
dio_0m9z,3930,xrp_random:1;doge_random:1;btc_random:1;paxg_random:1;btc_shuffle:1;xrp_shuffle:1;doge_shuffle:1;paxg_shuffle:1,tragende_rekopplung,1.0,tragende_rekopplung:3930,weltuebergreifend_feldstabil,0.5752600392716556,0.18206367427717474,0.7135653233256004
dio_155c,3714,doge_random:1;xrp_random:1;btc_random:1;btc_shuffle:1;paxg_random:1;xrp_shuffle:1;doge_shuffle:1;paxg_shuffle:1,tragende_rekopplung,1.0,tragende_rekopplung:3714,weltuebergreifend_feldstabil,0.5800086835109171,0.1722885483420633,0.7203113494351249
dio_0h9h,3196,doge_random:1;btc_random:1;paxg_random:1;xrp_random:1;xrp_shuffle:1;btc_shuffle:1;doge_shuffle:1;paxg_shuffle:1,tragende_rekopplung,1.0,tragende_rekopplung:3196,weltuebergreifend_feldstabil,0.5900858849358974,0.15752523450670866,0.7303714690374813
dio_06er,2071,paxg_random:1;paxg_shuffle:1;doge_random:1;xrp_shuffle:1;xrp_random:1;doge_shuffle:1;btc_shuffle:1;btc_random:1,tragende_rekopplung,1.0,tragende_rekopplung:2071,weltuebergreifend_feldstabil,0.6002003130812734,0.14305792652917357,0.7428745956125102
dio_0pz6,2012,btc_random:1;doge_random:1;btc_shuffle:1;xrp_random:1;doge_shuffle:1;xrp_shuffle:1;paxg_random:1;paxg_shuffle:1,tragende_rekopplung,1.0,tragende_rekopplung:2012,weltuebergreifend_feldstabil,0.5955593988382653,0.15267817504527348,0.7350764021816827
dio_00ly,1773,btc_random:1;doge_random:1;xrp_random:1;paxg_random:1;paxg_shuffle:1;btc_shuffle:1;xrp_shuffle:1;doge_shuffle:1,tragende_rekopplung,1.0,tragende_rekopplung:1773,weltuebergreifend_feldstabil,0.5877099894510565,0.15786654575086717,0.7290921145704577
dio_06s7,1761,doge_shuffle:1;btc_random:1;doge_random:1;xrp_random:1;xrp_shuffle:1;btc_shuffle:1;paxg_shuffle:1;paxg_random:1,tragende_rekopplung,1.0,tragende_rekopplung:1761,weltuebergreifend_feldstabil,0.5954579777923652,0.1458765847089484,0.737044595762772
