support_rank,left_node,right_node,scope_count,total_supported_world_pairs,real_real_supported,real_real_all_scopes,real_real_eligible,real_real_rate,real_null_supported,real_null_all_scopes,real_null_eligible,real_null_rate,null_null_supported,null_null_all_scopes,null_null_eligible,null_null_rate,real_rate_advantage,real_2025_supported,real_2025_all_scopes,real_2025_eligible,real_crossyear_supported,real_crossyear_all_scopes,real_crossyear_eligible,real_2024_supported,real_2024_all_scopes,real_2024_eligible
24,dio_mcm_episode_1nxni6k,dio_mcm_episode_1wjjpaf,3,326,31,0,98,0.3163265306122449,136,1,588,0.23129251700680273,159,1,816,0.1948529411764706,0.08503401360544219,12,0,24,14,0,50,5,0,24
25,dio_mcm_episode_1ohydo7,dio_mcm_episode_1orxzd6,3,320,7,0,78,0.08974358974358974,117,2,365,0.32054794520547947,196,20,409,0.4792176039119804,-0.38947401416839067,0,0,21,4,0,42,3,0,15
26,dio_mcm_episode_1o7n3vj,dio_mcm_episode_1o7yrz8,3,313,42,13,123,0.34146341463414637,157,32,354,0.4435028248587571,114,24,225,0.5066666666666667,-0.16520325203252034,10,4,39,21,6,63,11,3,21
27,dio_mcm_episode_05dxhcl,dio_mcm_episode_1x557o1,3,305,37,0,231,0.16017316017316016,146,6,834,0.1750599520383693,122,2,690,0.17681159420289855,-0.016638434029738386,9,0,69,19,0,117,9,0,45
28,dio_mcm_episode_040q3nh,dio_mcm_episode_1qpd84c,3,299,53,2,90,0.5888888888888889,150,13,231,0.6493506493506493,96,18,138,0.6956521739130435,-0.10676328502415455,14,0,23,25,2,46,14,0,21
29,dio_mcm_episode_1o7gsvl,dio_mcm_episode_1qpd84c,3,295,35,9,49,0.7142857142857143,143,29,219,0.6529680365296804,117,23,191,0.612565445026178,0.06131767775603392,11,3,14,18,4,26,6,2,9
30,dio_mcm_episode_1o7n3vj,dio_mcm_episode_1ugezq6,3,290,39,5,123,0.3170731707317073,143,9,372,0.3844086021505376,108,3,259,0.416988416988417,-0.09991524625670967,14,1,39,19,4,63,6,0,21
31,dio_mcm_episode_0ffk9vo,dio_mcm_episode_0l909ce,3,288,47,5,83,0.5662650602409639,135,8,294,0.45918367346938777,106,5,257,0.41245136186770426,0.10708138677157614,17,2,30,24,3,42,6,0,11
32,dio_mcm_episode_1nxni6k,dio_mcm_episode_1orxzd6,3,287,15,5,98,0.15306122448979592,106,19,526,0.20152091254752852,166,26,661,0.25113464447806355,-0.09807341998826763,5,2,21,8,3,51,2,0,26
33,dio_mcm_episode_0ffk9vo,dio_mcm_episode_14y2lc5,3,282,35,1,46,0.7608695652173914,131,6,167,0.7844311377245509,116,8,146,0.7945205479452054,-0.03365098272781408,16,1,17,16,0,23,3,0,6
34,dio_mcm_episode_1rj8742,dio_mcm_episode_1tvdhgs,3,281,15,3,51,0.29411764705882354,123,37,312,0.3942307692307692,143,33,401,0.3566084788029925,-0.10011312217194568,0,0,11,10,2,29,5,1,11
35,dio_mcm_episode_1qpd84c,dio_mcm_episode_1x3djkm,3,252,37,0,156,0.23717948717948717,117,0,580,0.20172413793103447,98,5,504,0.19444444444444445,0.0354553492484527,13,0,38,19,0,80,5,0,38
36,dio_mcm_episode_1f1nrkg,dio_mcm_episode_1qlxgj7,3,250,34,0,204,0.16666666666666666,133,2,536,0.24813432835820895,83,0,313,0.26517571884984026,-0.0985090521831736,8,0,51,18,0,108,8,0,45
37,dio_mcm_episode_040q3nh,dio_mcm_episode_1o7gsvl,3,219,21,5,93,0.22580645161290322,100,8,284,0.352112676056338,98,9,189,0.5185185185185185,-0.29271206690561524,4,0,27,13,5,48,4,0,18
38,dio_mcm_episode_1o7gsvl,dio_mcm_episode_1o7n3vj,1,215,8,0,164,0.04878048780487805,81,0,627,0.1291866028708134,126,0,574,0.21951219512195122,-0.17073170731707316,1,0,60,4,0,80,3,0,24
39,dio_mcm_episode_0b4v1an,dio_mcm_episode_0vklbgh,3,206,9,9,9,1.0,72,70,75,0.96,125,110,144,0.8680555555555556,0.040000000000000036,0,0,0,9,9,9,0,0,0
40,dio_mcm_episode_04appcg,dio_mcm_episode_1o7gsvl,3,204,23,4,31,0.7419354838709677,94,15,118,0.7966101694915254,87,14,109,0.7981651376146789,-0.05622965374371114,13,2,15,8,1,14,2,1,2
41,dio_mcm_episode_1ohydo7,dio_mcm_episode_1x3djkm,1,204,34,0,210,0.1619047619047619,85,0,943,0.09013785790031813,85,0,1005,0.0845771144278607,0.07176690400444379,10,0,68,20,0,108,4,0,34
42,dio_mcm_episode_0ff8lrz,dio_mcm_episode_0ffk9vo,3,203,30,2,41,0.7317073170731707,96,9,160,0.6,77,7,153,0.5032679738562091,0.13170731707317074,11,0,14,15,2,21,4,0,6
43,dio_mcm_episode_0t4969n,dio_mcm_episode_1x557o1,2,200,27,0,198,0.13636363636363635,107,0,576,0.1857638888888889,66,0,255,0.25882352941176473,-0.12245989304812838,12,0,69,14,0,99,1,0,30
44,dio_mcm_episode_1w9k3lg,dio_mcm_episode_1wjjpaf,3,196,20,1,24,0.8333333333333334,93,22,114,0.8157894736842105,83,27,102,0.8137254901960784,0.01754385964912286,9,0,9,9,1,12,2,0,3
45,dio_mcm_episode_0l909ce,dio_mcm_episode_15a14p0,3,190,12,3,95,0.12631578947368421,84,18,322,0.2608695652173913,94,7,259,0.36293436293436293,-0.23661857346067872,9,2,41,3,1,48,0,0,6
46,dio_mcm_episode_1ohydo7,dio_mcm_episode_1wjjpaf,3,185,8,0,69,0.11594202898550725,67,6,400,0.1675,110,9,518,0.21235521235521235,-0.0964131833697051,2,0,23,4,0,35,2,0,11
47,dio_mcm_episode_0l909ce,dio_mcm_episode_0mx1107,3,182,31,6,47,0.6595744680851063,86,27,140,0.6142857142857143,65,16,100,0.65,0.009574468085106314,15,2,23,16,4,24,0,0,0
48,dio_mcm_episode_0satl98,dio_mcm_episode_0vorwpi,3,179,0,0,0,0.0,102,79,102,1.0,77,62,78,0.9871794871794872,-1.0,0,0,0,0,0,0,0,0,0
49,dio_mcm_episode_0ilwqth,dio_mcm_episode_1wjjpaf,3,178,8,1,24,0.3333333333333333,68,10,126,0.5396825396825397,102,17,141,0.723404255319149,-0.39007092198581567,5,1,9,3,0,12,0,0,3
50,dio_mcm_episode_1o7n3vj,dio_mcm_episode_1qpd84c,1,168,17,0,164,0.10365853658536585,80,0,545,0.14678899082568808,71,0,435,0.1632183908045977,-0.059559854219231864,9,0,50,6,0,84,2,0,30
51,dio_mcm_episode_0ff8lrz,dio_mcm_episode_1o7n3vj,3,165,21,0,123,0.17073170731707318,78,2,468,0.16666666666666666,66,3,425,0.15529411764705883,0.004065040650406526,5,0,39,13,0,63,3,0,21
52,dio_mcm_episode_0ff8lrz,dio_mcm_episode_1ugezq6,3,157,30,12,35,0.8571428571428571,78,26,113,0.6902654867256637,49,24,83,0.5903614457831325,0.16687737041719342,6,3,9,16,5,18,8,4,8
53,dio_mcm_episode_0gslldm,dio_mcm_episode_1f1nrkg,3,157,24,3,54,0.4444444444444444,76,8,184,0.41304347826086957,57,5,120,0.475,-0.030555555555555558,3,0,5,11,0,28,10,3,21
54,dio_mcm_episode_14y2lc5,dio_mcm_episode_1o7yrz8,3,157,24,11,39,0.6153846153846154,76,25,114,0.6666666666666666,57,8,72,0.7916666666666666,-0.1762820512820512,4,0,11,12,4,20,8,7,8
55,dio_mcm_episode_040q3nh,dio_mcm_episode_04asuuf,3,154,23,0,66,0.3484848484848485,80,3,258,0.31007751937984496,51,3,189,0.2698412698412698,0.03840732910500355,5,0,21,12,0,34,6,0,11
56,dio_mcm_episode_1o7yrz8,dio_mcm_episode_1ohydo7,3,154,21,1,69,0.30434782608695654,77,5,238,0.3235294117647059,56,3,164,0.34146341463414637,-0.037115588547189826,8,1,21,12,0,36,1,0,12
57,dio_mcm_episode_0l909ce,dio_mcm_episode_1ugezq6,3,152,31,3,69,0.4492753623188406,81,11,198,0.4090909090909091,40,12,134,0.29850746268656714,0.04018445322793146,4,1,17,17,1,35,10,1,17
58,dio_mcm_episode_1vpfj3r,dio_mcm_episode_1x3djkm,3,152,5,0,100,0.05,61,6,369,0.16531165311653118,86,6,324,0.2654320987654321,-0.21543209876543212,1,0,21,2,0,52,2,0,27
59,dio_mcm_episode_0l0x9lk,dio_mcm_episode_0satl98,3,150,34,25,34,1.0,77,53,77,1.0,39,22,39,1.0,0.0,0,0,0,22,16,22,12,9,12
60,dio_mcm_episode_04asuuf,dio_mcm_episode_1o7n3vj,3,148,19,1,129,0.14728682170542637,67,4,569,0.11775043936731107,62,3,574,0.10801393728222997,0.0295363823381153,5,0,50,11,1,62,3,0,17
61,dio_mcm_episode_0t4969n,dio_mcm_episode_1f1nrkg,3,145,41,9,93,0.44086021505376344,74,13,149,0.4966442953020134,30,1,52,0.5769230769230769,-0.13606286186931343,9,0,21,22,3,54,10,6,18
62,dio_mcm_episode_0ffk9vo,dio_mcm_episode_15a14p0,3,145,7,0,46,0.15217391304347827,59,2,190,0.3105263157894737,79,6,176,0.44886363636363635,-0.2966897233201581,6,0,25,1,0,19,0,0,2
63,dio_mcm_episode_1ny5ha7,dio_mcm_episode_1wjjpaf,3,144,16,4,27,0.5925925925925926,76,13,127,0.5984251968503937,52,7,83,0.6265060240963856,-0.033913431503793,5,3,8,8,1,14,3,0,5
64,dio_mcm_episode_14wgkn2,dio_mcm_episode_1o7n3vj,3,141,8,2,23,0.34782608695652173,60,10,179,0.33519553072625696,73,16,225,0.3244444444444444,0.012630556230264767,4,1,14,4,1,9,0,0,0
65,dio_mcm_episode_04appcg,dio_mcm_episode_1x3djkm,3,141,11,1,89,0.12359550561797752,61,0,329,0.18541033434650456,69,1,294,0.23469387755102042,-0.1110983719330429,7,1,33,4,0,45,0,0,11
66,dio_mcm_episode_05dxhcl,dio_mcm_episode_1rj8742,3,141,9,0,33,0.2727272727272727,81,13,177,0.4576271186440678,51,6,174,0.29310344827586204,-0.1848998459167951,1,0,6,6,0,17,2,0,10
67,dio_mcm_episode_14y2lc5,dio_mcm_episode_1o7n3vj,3,137,16,4,147,0.10884353741496598,61,5,514,0.11867704280155641,60,4,435,0.13793103448275862,-0.029087497067792636,3,0,50,9,4,73,4,0,24
68,dio_mcm_episode_05bno88,dio_mcm_episode_1x557o1,2,134,23,0,51,0.45098039215686275,70,0,158,0.4430379746835443,41,0,105,0.3904761904761905,0.007942417473318475,10,0,14,11,0,26,2,0,11
69,dio_mcm_episode_0gslldm,dio_mcm_episode_0t4969n,3,131,17,1,42,0.40476190476190477,67,10,122,0.5491803278688525,47,9,54,0.8703703703703703,-0.4656084656084656,2,0,5,10,0,26,5,1,11
70,dio_mcm_episode_1orxzd6,dio_mcm_episode_1w9k3lg,3,129,18,0,28,0.6428571428571429,62,5,99,0.6262626262626263,49,7,79,0.620253164556962,0.016594516594516606,8,0,9,7,0,15,3,0,4
71,dio_mcm_episode_0ilwqth,dio_mcm_episode_1orxzd6,3,129,14,0,27,0.5185185185185185,62,7,112,0.5535714285714286,53,9,111,0.4774774774774775,-0.03505291005291011,7,0,9,7,0,15,0,0,3
72,dio_mcm_episode_0l909ce,dio_mcm_episode_1vu7n3a,3,126,21,1,98,0.21428571428571427,61,6,264,0.23106060606060605,44,8,140,0.3142857142857143,-0.1,6,0,36,11,1,51,4,0,11
73,dio_mcm_episode_04asuuf,dio_mcm_episode_1ugezq6,3,124,23,5,33,0.696969696969697,61,20,136,0.4485294117647059,40,16,111,0.36036036036036034,0.24844028520499112,5,1,9,14,3,18,4,1,6
74,dio_mcm_episode_0ilwqth,dio_mcm_episode_0qxnz4m,3,124,20,8,23,0.8695652173913043,63,39,66,0.9545454545454546,41,28,42,0.9761904761904762,-0.10662525879917184,4,2,5,12,5,14,4,1,4
75,dio_mcm_episode_07iaozp,dio_mcm_episode_1x557o1,2,124,18,0,161,0.11180124223602485,69,0,498,0.13855421686746988,37,0,303,0.12211221122112212,-0.026752974631445034,7,0,69,11,0,81,0,0,11
76,dio_mcm_episode_1ohydo7,dio_mcm_episode_1xdd59l,2,124,18,0,123,0.14634146341463414,53,0,438,0.12100456621004566,53,0,303,0.17491749174917492,-0.028576028334540787,5,0,42,10,0,63,3,0,18
77,dio_mcm_episode_0qxnz4m,dio_mcm_episode_1wjjpaf,3,123,12,2,33,0.36363636363636365,59,9,158,0.37341772151898733,52,8,123,0.42276422764227645,-0.0591278640059128,2,1,6,7,1,18,3,0,9
78,dio_mcm_episode_0qxnz4m,dio_mcm_episode_1orxzd6,2,123,20,0,41,0.4878048780487805,63,0,136,0.4632352941176471,40,0,93,0.43010752688172044,0.0245695839311334,3,0,6,11,0,20,6,0,15
79,dio_mcm_episode_02cpbzo,dio_mcm_episode_040q3nh,3,122,21,3,30,0.7,63,16,108,0.5833333333333334,38,18,72,0.5277777777777778,0.11666666666666659,5,0,9,12,2,16,4,1,5
80,dio_mcm_episode_0bsaqu1,dio_mcm_episode_1x557o1,2,121,0,0,0,0.0,48,0,81,0.5925925925925926,73,0,156,0.46794871794871795,-0.5925925925925926,0,0,0,0,0,0,0,0,0
81,dio_mcm_episode_1o7n3vj,dio_mcm_episode_1xdd59l,3,120,22,2,243,0.09053497942386832,60,5,696,0.08620689655172414,38,0,444,0.08558558558558559,0.004328082872144173,11,1,69,10,1,126,1,0,48
82,dio_mcm_episode_1f1nrkg,dio_mcm_episode_1tvdhgs,3,119,16,0,173,0.09248554913294797,56,0,605,0.09256198347107437,47,1,397,0.11838790931989925,-0.025902360186951273,9,0,51,6,0,90,1,0,32
83,dio_mcm_episode_040q3nh,dio_mcm_episode_1x3djkm,3,118,10,0,210,0.047619047619047616,58,0,684,0.0847953216374269,50,0,462,0.10822510822510822,-0.06060606060606061,4,0,57,5,0,108,1,0,45
84,dio_mcm_episode_04asuuf,dio_mcm_episode_1vu7n3a,3,117,19,1,48,0.3958333333333333,58,5,180,0.32222222222222224,40,7,109,0.3669724770642202,0.02886085626911311,9,0,22,9,1,22,1,0,4
85,dio_mcm_episode_1qpd84c,dio_mcm_episode_1vpfj3r,3,116,14,3,39,0.358974358974359,58,20,122,0.47540983606557374,44,13,93,0.4731182795698925,-0.11643547709121477,3,1,8,8,0,20,3,2,11
86,dio_mcm_episode_1vpfj3r,dio_mcm_episode_1vu7n3a,3,111,31,5,42,0.7380952380952381,55,7,107,0.514018691588785,25,5,56,0.44642857142857145,0.22407654650645314,9,2,13,18,2,24,4,1,5
87,dio_mcm_episode_040q3nh,dio_mcm_episode_1vu7n3a,3,111,34,8,93,0.3655913978494624,53,10,177,0.2994350282485876,24,5,78,0.3076923076923077,0.057899090157154665,16,4,32,14,4,50,4,0,11
88,dio_mcm_episode_040q3nh,dio_mcm_episode_04appcg,3,110,23,10,47,0.48936170212765956,52,19,130,0.4,35,14,81,0.43209876543209874,0.05726293669556082,8,2,17,13,8,24,2,0,6
89,dio_mcm_episode_0vklbgh,dio_mcm_episode_0vorwpi,3,109,0,0,0,0.0,18,18,18,1.0,91,85,96,0.9479166666666666,-1.0,0,0,0,0,0,0,0,0,0
90,dio_mcm_episode_0ff8lrz,dio_mcm_episode_14y2lc5,3,100,15,2,36,0.4166666666666667,51,10,141,0.3617021276595745,34,13,129,0.26356589147286824,0.054964539007092195,2,1,9,9,1,19,4,0,8
91,dio_mcm_episode_14y2lc5,dio_mcm_episode_1ohydo7,3,96,11,0,81,0.13580246913580246,45,0,333,0.13513513513513514,40,2,320,0.125,0.000667334000667319,3,0,31,8,0,39,0,0,11
92,dio_mcm_episode_0l0x9lk,dio_mcm_episode_0vklbgh,3,94,6,6,6,1.0,40,36,41,0.975609756097561,48,39,48,1.0,0.0,0,0,0,6,6,6,0,0,0
93,dio_mcm_episode_040q3nh,dio_mcm_episode_1vpfj3r,3,93,22,3,57,0.38596491228070173,53,8,150,0.35333333333333333,18,3,90,0.2,0.0326315789473684,3,1,12,9,1,30,10,1,15
94,dio_mcm_episode_04asuuf,dio_mcm_episode_0ff8lrz,3,92,9,0,35,0.2571428571428571,42,6,165,0.2545454545454545,41,9,186,0.22043010752688172,0.0025974025974025983,1,0,11,5,0,18,3,0,6
