dataset,universe_scope,preceding_context_sha256,context_nonzero_slots,context_total_strength,collective_configuration,support
2092_holdout,all,401fa254f950e882bbf9516b3378c3aa7ef223ad38861ba54a5b770d502572f4,30,38,21|48,2
2092_holdout,all,6666503ac4571a2b79f61983beffefafd984131c64a27ee8339af7a4a4fe22c8,27,37,23|43,24
2092_holdout,all,6666503ac4571a2b79f61983beffefafd984131c64a27ee8339af7a4a4fe22c8,27,37,23|62,2
2092_holdout,all,6cb9615aa756528a5e5ced0de0ae500d90161d72edd20e700154434de46f0e51,18,18,16|62,3
2092_holdout,all,97a3c36dd2d20e4f02ded17423291610a9b050524835630cab4db715475f044f,28,32,23|62,15
2092_holdout,all,a9c7ffae77e7efe7427fcb0c1ea64f610575df377c731b62978e9bb59e215a21,23,25,10|37|55,44
2092_holdout,all,a9ec1f90df80dc2bb29dd9b76bc1b230c61b25cc78beef74cfe19a3315e50286,36,46,23|43,34
2092_holdout,all,f113237e25a987ea85a61749a1bf72f19d14c46ad24857192e6dd6efb0252347,20,20,21|24|26|35|48|58,11
2092_holdout,universe_a,1b88c5c6b0ea2a9400f94bbe690391d10685e88306cd146d7744023cdea3fb0a,17,25,32|43,15
2092_holdout,universe_a,2800fbe44c6fc83abdd4451c5009d974c99cd1f3ca10f070fd22773f7f23231e,14,14,23|43,24
2092_holdout,universe_a,401fa254f950e882bbf9516b3378c3aa7ef223ad38861ba54a5b770d502572f4,30,38,21|48,2
2092_holdout,universe_a,6666503ac4571a2b79f61983beffefafd984131c64a27ee8339af7a4a4fe22c8,27,37,23|43,24
2092_holdout,universe_a,6666503ac4571a2b79f61983beffefafd984131c64a27ee8339af7a4a4fe22c8,27,37,23|62,2
2092_holdout,universe_a,6cb9615aa756528a5e5ced0de0ae500d90161d72edd20e700154434de46f0e51,18,18,16|62,3
2092_holdout,universe_a,97a3c36dd2d20e4f02ded17423291610a9b050524835630cab4db715475f044f,28,32,23|62,15
2092_holdout,universe_a,f113237e25a987ea85a61749a1bf72f19d14c46ad24857192e6dd6efb0252347,20,20,21|24|26|35|48|58,11
2092_holdout,universe_b,01ddea6281a95a27b9f8e458e010301a72cc579f23b9d0accf1611833b28079b,13,15,23|43,13
2092_holdout,universe_b,a9c7ffae77e7efe7427fcb0c1ea64f610575df377c731b62978e9bb59e215a21,23,25,10|37|55,44
2092_holdout,universe_b,a9ec1f90df80dc2bb29dd9b76bc1b230c61b25cc78beef74cfe19a3315e50286,36,46,23|43,34
