role_family,target_members,member_symbols,global_found_members,global_member_coverage,worlds,worlds_present,world_presence_ratio,whole_family_worlds,whole_family_ratio,partial_family_worlds,missing_worlds,assets_present,mean_member_coverage,total_follow_events,source_total_events,source_event_concentration,family_event_concentration,family_event_balance,source_dominant_member,follow_dominant_member,dominant_member_shift,member_distribution_drift,internal_role_reading,source_member_event_profile,member_event_profile,mean_family_event_share,mean_phase_complete_ratio,mean_rekopplung_spaet,mean_strain_spaet,mean_afterimage_delta,mean_temporal_delta,family_continuity_score,followworld_reading,boundary,control_kind
rf_05,8,dio_0fe7;dio_1xrt;dio_17dc;dio_1ba6;dio_0v65;dio_0ein;dio_0u24;dio_0qup,8,1.0,15,15,1.0,1,0.06666666666666667,14,0,5,0.7833333333333333,274,2397,0.26533166458072593,0.23357664233576642,0.8759124087591241,dio_0fe7,dio_1xrt,dio_0fe7->dio_1xrt,0.14038990343769128,leichter_dominanzwechsel_bei_naher_verteilung,dio_0fe7:636;dio_1xrt:567;dio_17dc:317;dio_1ba6:269;dio_0v65:253;dio_0ein:196;dio_0u24:85;dio_0qup:74,dio_0fe7:46;dio_1xrt:64;dio_17dc:31;dio_1ba6:42;dio_0v65:44;dio_0ein:34;dio_0u24:4;dio_0qup:9,0.018376928236083164,0.18333333333333332,0.745699108054353,0.14069524191438193,0.1676123778811929,0.3898390141847042,0.7250912408759124,familienraum_breit_anschlussfaehig,passive_same_basis_family_followworld_family_no_action_no_direction,shuffle
rf_06,8,dio_0s8r;dio_1xme;dio_0f8s;dio_0nx9;dio_0gh3;dio_1ejq;dio_0lr0;dio_1yhs,7,0.875,15,15,1.0,0,0.0,15,0,5,0.425,73,800,0.18375,0.2465753424657534,0.8610567514677104,dio_0s8r,dio_0s8r,stabil:dio_0s8r,0.3727054794520548,rollenverteilung_stark_verschoben,dio_0s8r:147;dio_1xme:126;dio_0f8s:111;dio_0nx9:105;dio_0gh3:92;dio_1ejq:82;dio_0lr0:72;dio_1yhs:65,dio_0s8r:18;dio_1xme:2;dio_0f8s:0;dio_0nx9:2;dio_0gh3:17;dio_1ejq:9;dio_0lr0:16;dio_1yhs:9,0.004896042924211938,0.025,0.71012775,0.18431381410256412,0.0445895,0.17878974444444445,0.5848556751467711,fragmentarischer_folgeweltanschluss,passive_same_basis_family_followworld_family_no_action_no_direction,shuffle
rf_07,2,dio_1ewh;dio_0g2r,2,1.0,15,15,1.0,15,1.0,0,0,5,1.0,293,2342,0.611870196413322,0.5358361774744027,0.9283276450511946,dio_1ewh,dio_1ewh,stabil:dio_1ewh,0.07603401893891926,rollenverteilung_nahe_stabil,dio_1ewh:1433;dio_0g2r:909,dio_1ewh:157;dio_0g2r:136,0.01965124077800134,0.9,0.7436653301587302,0.15906401063492065,0.40993298714285714,0.3609503261640211,0.9928327645051194,familienraum_konsistent_anschlussfaehig,passive_same_basis_family_followworld_family_no_action_no_direction,shuffle
rf_08,2,dio_0h6t;dio_1w94,2,1.0,15,13,0.8666666666666667,7,0.4666666666666667,6,2,5,0.6666666666666666,33,307,0.504885993485342,0.6363636363636364,0.7272727272727273,dio_0h6t,dio_0h6t,stabil:dio_0h6t,0.13147764287829433,rollenverteilung_nahe_stabil,dio_0h6t:155;dio_1w94:152,dio_0h6t:21;dio_1w94:12,0.0022132796780684107,0.03333333333333333,0.7307010714285714,0.1506325,0.03918196153846154,0.17374782692307691,0.7027272727272728,familienraum_breit_anschlussfaehig,passive_same_basis_family_followworld_family_no_action_no_direction,shuffle
rf_10,2,dio_0jsd;dio_0ioc,2,1.0,15,13,0.8666666666666667,5,0.3333333333333333,8,2,5,0.6,33,435,0.5563218390804597,0.6060606060606061,0.7878787878787878,dio_0jsd,dio_0jsd,stabil:dio_0jsd,0.049738766980146315,rollenverteilung_nahe_stabil,dio_0jsd:242;dio_0ioc:193,dio_0jsd:20;dio_0ioc:13,0.0022132796780684107,0.06666666666666667,0.6983426666666667,0.2022604074074074,0.06256183333333333,0.2819334358974359,0.6587878787878787,familienraum_breit_anschlussfaehig,passive_same_basis_family_followworld_family_no_action_no_direction,shuffle
rf_13,3,dio_1sub;dio_1t9l;dio_14l0,3,1.0,15,14,0.9333333333333333,3,0.2,11,1,5,0.5777777777777777,46,434,0.6036866359447005,0.41304347826086957,0.8804347826086955,dio_1sub,dio_14l0,dio_1sub->dio_14l0,0.2558605489881788,offener_innerer_dominanzwechsel,dio_1sub:262;dio_1t9l:93;dio_14l0:79,dio_1sub:16;dio_1t9l:11;dio_14l0:19,0.0030851777330650567,0.08888888888888888,0.6929082361111112,0.20049684722222225,0.07810564285714286,0.359248,0.6569323671497584,familienraum_offen_anschlussfaehig,passive_same_basis_family_followworld_family_no_action_no_direction,shuffle
rf_17,2,dio_1udx;dio_1cmd,2,1.0,15,15,1.0,9,0.6,6,0,5,0.8,50,307,0.5407166123778502,0.6,0.8,dio_1udx,dio_1udx,stabil:dio_1udx,0.0592833876221498,rollenverteilung_nahe_stabil,dio_1udx:166;dio_1cmd:141,dio_1udx:30;dio_1cmd:20,0.00335345405767941,0.0,0.6981046833333333,0.1982294666666667,0.07614570000000001,0.33027494444444444,0.8299999999999998,familienraum_konsistent_anschlussfaehig,passive_same_basis_family_followworld_family_no_action_no_direction,shuffle
rf_21,2,dio_1pij;dio_1v2w,2,1.0,15,15,1.0,13,0.8666666666666667,2,0,5,0.9333333333333333,119,1446,0.7143845089903181,0.5882352941176471,0.8235294117647058,dio_1pij,dio_1v2w,dio_1pij->dio_1v2w,0.3026198031079652,starker_innerer_dominanzwechsel,dio_1pij:1033;dio_1v2w:413,dio_1pij:49;dio_1v2w:70,0.007981220657276996,0.5,0.7117122154761905,0.18565545595238095,0.2126452288888889,0.38732025444444446,0.9323529411764706,familienraum_konsistent_anschlussfaehig,passive_same_basis_family_followworld_family_no_action_no_direction,shuffle
rf_05,8,dio_0fe7;dio_1xrt;dio_17dc;dio_1ba6;dio_0v65;dio_0ein;dio_0u24;dio_0qup,8,1.0,15,15,1.0,1,0.06666666666666667,14,0,5,0.7583333333333333,302,2397,0.26533166458072593,0.26158940397350994,0.8438978240302744,dio_0fe7,dio_1xrt,dio_0fe7->dio_1xrt,0.08739262930760582,leichter_dominanzwechsel_bei_naher_verteilung,dio_0fe7:636;dio_1xrt:567;dio_17dc:317;dio_1ba6:269;dio_0v65:253;dio_0ein:196;dio_0u24:85;dio_0qup:74,dio_0fe7:62;dio_1xrt:79;dio_17dc:36;dio_1ba6:38;dio_0v65:36;dio_0ein:35;dio_0u24:11;dio_0qup:5,0.020254862508383636,0.20833333333333334,0.7484606734872534,0.14158240276334777,0.17983247210678213,0.35802266244829245,0.7131397824030273,familienraum_breit_anschlussfaehig,passive_same_basis_family_followworld_family_no_action_no_direction,random_sign
rf_06,8,dio_0s8r;dio_1xme;dio_0f8s;dio_0nx9;dio_0gh3;dio_1ejq;dio_0lr0;dio_1yhs,8,1.0,15,15,1.0,0,0.0,15,0,5,0.2833333333333333,46,800,0.18375,0.2826086956521739,0.8198757763975156,dio_0s8r,dio_0lr0,dio_0s8r->dio_0lr0,0.24168478260869564,offener_innerer_dominanzwechsel,dio_0s8r:147;dio_1xme:126;dio_0f8s:111;dio_0nx9:105;dio_0gh3:92;dio_1ejq:82;dio_0lr0:72;dio_1yhs:65,dio_0s8r:10;dio_1xme:6;dio_0f8s:2;dio_0nx9:5;dio_0gh3:6;dio_1ejq:1;dio_0lr0:13;dio_1yhs:3,0.0030851777330650567,0.0,0.7194045714285714,0.17941116666666668,0.024705755555555556,0.1563612611111111,0.5311542443064181,familienraum_offen_anschlussfaehig,passive_same_basis_family_followworld_family_no_action_no_direction,random_sign
rf_07,2,dio_1ewh;dio_0g2r,2,1.0,15,15,1.0,15,1.0,0,0,5,1.0,294,2342,0.611870196413322,0.5816326530612245,0.8367346938775511,dio_1ewh,dio_1ewh,stabil:dio_1ewh,0.030237543352097496,rollenverteilung_nahe_stabil,dio_1ewh:1433;dio_0g2r:909,dio_1ewh:171;dio_0g2r:123,0.019718309859154928,0.8333333333333334,0.7445376659259259,0.15828469648148147,0.3655732200865801,0.3537772861279461,0.983673469387755,familienraum_konsistent_anschlussfaehig,passive_same_basis_family_followworld_family_no_action_no_direction,random_sign
rf_08,2,dio_0h6t;dio_1w94,2,1.0,15,14,0.9333333333333333,9,0.6,5,1,5,0.7666666666666667,48,307,0.504885993485342,0.6041666666666666,0.7916666666666667,dio_0h6t,dio_1w94,dio_0h6t->dio_1w94,0.10905266015200868,leichter_dominanzwechsel_bei_naher_verteilung,dio_0h6t:155;dio_1w94:152,dio_0h6t:19;dio_1w94:29,0.0032193158953722333,0.1,0.7373230454545454,0.14464756060606063,0.09170889285714286,0.3120327261904762,0.7941666666666667,familienraum_breit_anschlussfaehig,passive_same_basis_family_followworld_family_no_action_no_direction,random_sign
rf_10,2,dio_0jsd;dio_0ioc,2,1.0,15,12,0.8,1,0.06666666666666667,11,3,5,0.43333333333333335,19,435,0.5563218390804597,0.8421052631578947,0.3157894736842106,dio_0jsd,dio_0jsd,stabil:dio_0jsd,0.28578342407743496,rollenverteilung_verschoben,dio_0jsd:242;dio_0ioc:193,dio_0jsd:16;dio_0ioc:3,0.0012743125419181758,0.0,0.6853004,0.21293299999999998,0.01652358333333333,0.10477550000000001,0.476578947368421,kernlastiger_folgeweltanschluss,passive_same_basis_family_followworld_family_no_action_no_direction,random_sign
rf_13,3,dio_1sub;dio_1t9l;dio_14l0,3,1.0,15,15,1.0,2,0.13333333333333333,13,0,5,0.5555555555555555,40,434,0.6036866359447005,0.4,0.8999999999999999,dio_1sub,dio_14l0,dio_1sub->dio_14l0,0.2286866359447005,offener_innerer_dominanzwechsel,dio_1sub:262;dio_1t9l:93;dio_14l0:79,dio_1sub:15;dio_1t9l:9;dio_14l0:16,0.0026827632461435278,0.02222222222222222,0.6881411333333334,0.20326526666666664,0.04390588888888889,0.20540965555555557,0.661111111111111,familienraum_offen_anschlussfaehig,passive_same_basis_family_followworld_family_no_action_no_direction,random_sign
rf_17,2,dio_1udx;dio_1cmd,2,1.0,15,7,0.4666666666666667,2,0.13333333333333333,5,8,5,0.3,10,307,0.5407166123778502,0.5,1.0,dio_1udx,dio_1udx,stabil:dio_1udx,0.04071661237785018,rollenverteilung_nahe_stabil,dio_1udx:166;dio_1cmd:141,dio_1udx:5;dio_1cmd:5,0.0006706908115358819,0.0,0.6956595000000001,0.1973725,0.014226285714285716,0.08831214285714285,0.395,familienraum_offen_anschlussfaehig,passive_same_basis_family_followworld_family_no_action_no_direction,random_sign
rf_21,2,dio_1pij;dio_1v2w,2,1.0,15,15,1.0,11,0.7333333333333333,4,0,5,0.8666666666666667,99,1446,0.7143845089903181,0.797979797979798,0.404040404040404,dio_1pij,dio_1v2w,dio_1pij->dio_1v2w,0.5123643069701161,starker_innerer_dominanzwechsel,dio_1pij:1033;dio_1v2w:413,dio_1pij:20;dio_1v2w:79,0.006639839034205231,0.23333333333333334,0.7140299555555555,0.17945956666666665,0.2511488888888889,0.5378764666666667,0.8404040404040405,familienraum_konsistent_anschlussfaehig,passive_same_basis_family_followworld_family_no_action_no_direction,random_sign
