dataset,universe_scope,projection_left,projection_right,paths,sources,left_closures,right_closures,observed_same_tick_closures,uniform_shift_expected,observed_to_expected_ratio,null_mean,null_max,empirical_upper_p,positive_sources,negative_sources,tie_sources
2091_basis,a,activation_rank,activation_above_mean,384,48,71350,86390,17453,16104.88721,1.083708,16093.3,16479,0.004975,48,0,0
2091_basis,a,activation_rank,afterimage_rank,384,48,71350,101202,20661,18900.634441,1.093138,18901.745,19187,0.004975,48,0,0
2091_basis,a,activation_rank,afterimage_above_mean,384,48,71350,32125,6067,5979.417925,1.014647,5981.25,6128,0.104478,47,1,0
2091_basis,a,activation_above_mean,afterimage_above_mean,384,48,86390,32125,11296,7308.661631,1.545563,7305.34,7516,0.004975,48,0,0
2091_basis,b,activation_rank,activation_above_mean,384,48,71524,89700,18829,16808.192346,1.120228,16807.475,17180,0.004975,48,0,0
2091_basis,b,activation_rank,afterimage_rank,384,48,71524,100043,21242,18736.620342,1.133716,18733.76,19088,0.004975,48,0,0
2091_basis,b,activation_rank,afterimage_above_mean,384,48,71524,32652,6594,6131.649547,1.075404,6127.41,6341,0.004975,48,0,0
2091_basis,b,activation_above_mean,afterimage_above_mean,384,48,89700,32652,12786,7684.377644,1.663895,7685.425,7896,0.004975,48,0,0
2091_basis,all,activation_rank,activation_above_mean,768,48,142874,176090,36282,32913.079557,1.102358,32915.38,33228,0.004975,48,0,0
2091_basis,all,activation_rank,afterimage_rank,768,48,142874,201245,41903,37637.254783,1.113338,37632.455,38128,0.004975,48,0,0
2091_basis,all,activation_rank,afterimage_above_mean,768,48,142874,64777,12661,12111.067472,1.045407,12105.83,12395,0.004975,48,0,0
2091_basis,all,activation_above_mean,afterimage_above_mean,768,48,176090,64777,24082,14993.039275,1.606212,14989.32,15409,0.004975,48,0,0
2092_holdout,a,activation_rank,activation_above_mean,352,44,66449,79801,16591,15115.364552,1.097625,15133.97,15413,0.004975,44,0,0
2092_holdout,a,activation_rank,afterimage_rank,352,44,66449,90518,19689,17164.21148,1.147096,17166.825,17468,0.004975,44,0,0
2092_holdout,a,activation_rank,afterimage_above_mean,352,44,66449,29082,5199,5496.216516,0.945923,5491.45,5663,1.0,0,44,0
2092_holdout,a,activation_above_mean,afterimage_above_mean,352,44,79801,29082,10941,6706.858006,1.631315,6712.125,6936,0.004975,44,0,0
2092_holdout,b,activation_rank,activation_above_mean,352,44,66004,81703,17064,15365.512588,1.110539,15378.57,15630,0.004975,44,0,0
2092_holdout,b,activation_rank,afterimage_rank,352,44,66004,91474,17999,17241.56999,1.04393,17225.56,17503,0.004975,44,0,0
2092_holdout,b,activation_rank,afterimage_above_mean,352,44,66004,29308,5552,5516.601208,1.006417,5517.22,5654,0.308458,33,11,0
2092_holdout,b,activation_above_mean,afterimage_above_mean,352,44,81703,29308,10727,6861.405841,1.563382,6854.065,7042,0.004975,44,0,0
2092_holdout,all,activation_rank,activation_above_mean,704,44,132453,161504,33655,30480.87714,1.104135,30472.59,30973,0.004975,44,0,0
2092_holdout,all,activation_rank,afterimage_rank,704,44,132453,181992,37688,34405.78147,1.095397,34410.605,34916,0.004975,44,0,0
2092_holdout,all,activation_rank,afterimage_above_mean,704,44,132453,58390,10751,11012.817724,0.976226,11011.41,11340,1.0,0,44,0
2092_holdout,all,activation_above_mean,afterimage_above_mean,704,44,161504,58390,21668,13568.263847,1.596962,13560.4,13904,0.004975,44,0,0
